Year,S069
1948,0.0374999999999999
1949,0.0605000000025
1950,0.0520833333325
1951,0.0328333333349999
1952,0.03025
1953,0.02925
1954,0.0559166666674999
1955,0.043666666665
1956,0.0412499999975
1957,0.0429999999975
1958,0.0684166666675
1959,0.0544999999999999
1960,0.055416666665
1961,0.0669166666675
1962,0.0556666666649999
1963,0.0564166666675
1964,0.0515833333349999
1965,0.045083333335
1966,0.0379166666674999
1967,0.0384166666649999
1968,0.0355833333324999
1969,0.0349166666675
1970,0.0498333333349999
1971,0.0594999999975
1972,0.0560000000025
1973,0.0485833333324999
1974,0.056416666665
1975,0.0847500000024999
1976,0.0769999999999999
1977,0.0705
1978,0.0606666666649999
1979,0.0585000000025
1980,0.0717499999999999
1981,0.076166666665
1982,0.09708333334
1983,0.0959999999999999
1984,0.0750833333325
1985,0.0719166666649999
1986,0.07
1987,0.0617499999999999
1988,0.0549166666675
1989,0.0525833333324999
1990,0.056166666665
1991,0.0685
1992,0.0749166666674999
1993,0.0690833333325
1994,0.061
1995,0.0559166666699999
1996,0.0540833333325
1997,0.0494166666675
1998,0.0449999999975
1999,0.0421666666675
2000,0.04
2001,0.0476666666674999
2002,0.0578333333325
2003,0.06
2004,0.05525
2005,0.051
2006,0.04625
2007,0.04625
2008,0.058
2009,0.0929999999999999
2010,0.0962499999999999
2011,0.0903333333333332
