Year,S003
1780,1024.87
1781,1054.45
1782,1098.47
1783,1150.76
1784,1264.71
1785,1305.38
1786,1307.36
1787,1294.21
1788,1310.26
1789,1361.51
1790,1396.7
1791,1420.78
1792,1420.96
1793,1401.02
1794,1411.21
1795,1440.54
1796,1461.59
1797,1416.53
1798,1376.04
1799,1436.5
1800,1470.97
1801,1494.0
1802,1509.94
1803,1552.06
1804,1573.4
1805,1543.48
1806,1501.46
1807,1492.64
1808,1501.25
1809,1484.73
1810,1498.65
1811,1533.61
1812,1546.46
1813,1556.73
1814,1602.14
1815,1625.62
1816,1634.32
1817,1635.3
1818,1608.2
1819,1620.43
1820,1717.85
1821,1807.01
1822,1872.85
1823,1874.33
1824,1850.94
1825,1895.18
1826,1897.46
1827,1860.29
1828,1885.41
1829,1883.69
1830,1837.66
1831,1826.35
1832,1831.47
1833,1868.92
1834,1921.89
1835,1986.41
1836,2083.89
1837,2154.24
1838,2153.09
1839,2109.35
1840,2131.71
1841,2223.56
1842,2390.64
1843,2495.11
1844,2490.43
1845,2512.8
1846,2543.06
1847,2486.22
1848,2520.57
1849,2640.56
1850,2605.51
1851,2594.13
1852,2856.71
1853,3010.65
1854,2976.69
1855,2991.78
1856,2785.64
1857,2763.06
1858,2801.48
1859,2804.78
1860,2813.59
1861,2868.02
1862,3030.0
1863,3200.3
1864,3170.2
1865,3090.61
1866,3151.56
1867,3242.69
1868,3283.23
1869,3595.59
1870,3816.27
1871,4193.03
1872,4296.41
1873,4290.16
1874,4114.3
1875,4034.45
1876,4277.96
1877,4503.77
1878,4663.95
1879,4698.82
1880,5060.21
1881,5010.71
1882,5147.16
1883,4737.01
1884,4418.2
1885,4841.13
1886,4686.77
1887,4804.22
1888,5245.57
1889,5514.89
1890,5556.85
1891,5739.42
1892,5913.87
1893,5975.56
1894,5656.37
1895,6170.23
1896,6300.18
1897,6346.36
1898,5551.62
1899,5835.8
1900,5776.26
1901,5870.91
1902,6051.07
1903,6167.66
1904,5587.06
1905,5657.46
1906,6352.56
1907,6108.39
1908,6586.95
1909,6607.38
1910,6459.68
1911,6190.81
1912,6444.86
1913,7169.82
1914,7250.57
1915,7310.68
1916,7684.37
1917,7651.82
1918,7644.85
1919,8016.21
1920,7247.46
1921,6724.98
1922,5808.77
1923,5699.74
1924,6280.59
1925,6791.67
1926,7629.06
1927,7971.4
1928,7637.21
1929,8187.56
1930,8831.99
1931,10240.48
1932,11999.11
1933,13771.49
1934,14705.52
1935,14381.68
1936,12675.67
1937,12323.25
1938,12645.35
1939,12364.94
1940,13224.86
1941,14007.01
1942,14296.55
1943,14709.99
1944,14362.87
1945,15128.12
1946,15156.85
1947,15186.78
1948,14801.8
1949,15595.89
1950,15661.1
1951,15766.13
1952,16466.05
1953,16939.78
1954,17674.95
1955,18575.54
1956,19559.1
1957,19836.28
1958,20590.3
1959,21021.43
1960,20819.74
1961,21249.25
1962,22139.92
1963,23200.07
1964,22860.9
1965,22592.27
1966,23574.65
1967,24412.02
1968,25502.52
1969,26009.97
1970,25640.46
1971,26030.4
1972,25281.85
1973,26185.81
1974,27822.62
1975,28717.52
1976,29443.29
1977,30115.34
1978,31069.41
1979,31876.78
1980,32112.35
1981,31614.01
1982,32255.32
1983,32746.79
1984,33670.65
1985,34111.44
1986,34977.42
1987,36101.89
1988,37238.28
1989,38591.91
1990,39749.59
1991,39767.99
1992,40061.71
1993,40696.59
1994,41726.8
1995,42612.3
1996,43331.93
1997,43726.18
1998,43177.7
1999,41313.18
2000,42204.92
2001,42185.9124958665
2002,42496.551594781326
2003,43283.1054524408
2004,44544.67780752902
2005,45671.10072041537
2006,46498.7811350612
2007,46978.09492256994
2008,46591.95849073341
2009,44992.9944819802
2010,45818.22286095044
2011,46168.87241785446
2012,46861.23428438975
2013,47495.389897163936
2014,48312.76330667688
2015,49347.95358184062
2016,49859.59196378991
2017,50733.06625850113
2018,51930.80958836526
2019,52995.25518572736
2020,51684.68439360461
2021,54754.802165345056
2022,55823.55150808258
2023,56989.53674830017
2024,58052.36738423455
