Year,S041
1940,1.0
1941,1.0
1942,1.0
1943,1.0
1944,1.0
1945,1.0
1946,1.0
1947,1.0
1948,1.34
1949,1.5
1950,1.59
1951,1.75
1952,1.75
1953,1.99
1954,1.6
1955,1.89
1956,2.77
1957,3.12
1958,2.15
1959,3.36
1960,3.53
1961,3.0
1962,3.0
1963,3.23
1964,3.55
1965,4.04
1966,4.5
1967,4.19
1968,5.17
1969,5.87
1970,5.95
1971,4.88
1972,4.5
1973,6.45
1974,7.83
1975,6.25
1976,5.5
1977,5.46
1978,7.46
1979,10.29
1980,11.77
1981,13.42
1982,11.01
1983,8.5
1984,8.8
1985,7.69
1986,6.32
1987,5.66
1988,6.2
1989,6.93
1990,6.98
1991,5.45
1992,3.25
1993,3.0
1994,3.6
1995,5.21
1996,5.02
1997,5.0
1998,4.92
1999,4.62
2000,5.73
2001,3.4
2002,1.17
2003,2.12
2004,2.34
2005,4.19
2006,5.96
2007,5.86
2008,2.39
2009,0.5
2010,0.72
2011,0.75
