Year,S209
1925,98.1
1926,101.0
1927,102.4
1928,104.7
1929,103.6
1930,98.5
1931,88.4
1932,82.4
1933,83.2
1934,84.2
1935,83.7
1936,92.0
1937,95.2
1938,93.9
1939,94.4
1940,100.1
1941,112.1
1942,118.9
1943,119.3
1944,120.2
1945,131.2
1946,159.4
1947,190.1
1948,208.1
1949,212.2
1950,238.1
1951,258.5
1952,273.5
1953,287.0
1954,295.3
1955,325.0
1956,360.7
1957,386.9
1958,394.4
1959,411.6
1960,419.9
1961,430.3
1962,444.2
1963,458.3
1964,483.9
1965,517.4
1966,563.4
1967,610.8
1968,672.6
1969,741.1
1970,815.7
1971,895.2
1972,972.2
1973,1097.4
1974,1346.4
1975,1495.4
1976,1643.8
1977,1829.9
1978,2081.5
1979,2399.7
1980,2761.2
1981,3125.3
1982,3318.6
1983,3415.3
1984,3618.4
1985,3819.3
1986,3989.7
1987,4197.6
1988,4462.9
1989,4728.2
1990,4993.1
1991,5105.1
1992,5275.6
1993,5523.9
1994,5823.9
1995,6154.2
1996,6469.9
1997,6830.5
1998,7217.6
1999,7641.6
2000,8175.4
2001,8595.6
2002,8907.7
2003,9185.8
2004,9909.5
2005,10768.3
2006,11679.9
2007,12317.8
2008,13138.0
2009,12701.7
2010,12994.6
2011,13530.8
