Year,S093
1983,58.4550733451372
1984,59.1106555172755
1985,60.0831140504168
1986,61.2796549556619
1987,62.6096531036074
1988,64.017686815293
1989,65.4612378807227
1990,66.9396112217474
1991,68.4884993814108
1992,70.1651987905391
1993,72.0371208861444
1994,74.1850251173337
1995,76.7222997243522
1996,79.7494826962719
1997,83.3828890249215
1998,87.7553388751666
1999,92.9168235216239
2000,98.8397808501582
2001,105.374480511418
2002,112.169794347551
2003,118.625849395589
2004,124.010074749091
2005,127.762641007657
2006,129.603618023398
2007,129.578449238349
2008,128.223541914309
2009,125.909518820695
2010,122.843767307781
2011,119.138579537633
2012,114.81280999924
2013,109.890927386214
2014,104.406272292175
2015,98.3982760368818
2016,91.9833072171696
2017,85.3947516695059
2018,78.9461621581863
2019,72.9401439308114
2020,67.6428406133998
2021,63.3529943926621
2022,60.203819049175
2023,58.2419984195885
2024,57.4644781500608
2025,57.8752839025542
