Year,S207
1947,34.5
1948,39.2
1949,34.6
1950,37.5
1951,42.7
1952,43.1
1953,42.0
1954,42.3
1955,44.3
1956,45.9
1957,47.8
1958,50.2
1959,50.3
1960,50.7
1961,53.2
1962,55.3
1963,56.5
1964,59.4
1965,63.9
1966,68.2
1967,69.8
1968,74.2
1969,77.5
1970,78.5
1971,84.7
1972,96.0
1973,113.6
1974,113.5
1975,119.6
1976,132.2
1977,146.0
1978,167.5
1979,181.1
1980,173.5
1981,181.6
1982,174.8
1983,190.7
1984,233.1
1985,246.1
1986,262.6
1987,294.2
1988,334.8
1989,351.6
1990,365.1
1991,367.3
1992,414.9
1993,449.6
1994,485.1
1995,516.0
1996,583.7
1997,628.2
1998,687.5
1999,746.8
2000,817.5
2001,870.7
2002,890.3
2003,930.6
2004,1033.8
2005,1069.8
2006,1133.0
2007,1090.4
2008,1097.9
2009,979.4
2010,1103.4
2011,1157.3
