Year,S211
1925,77.769
1926,79.727
1927,80.892
1928,81.55
1929,81.369
1930,76.628
1931,68.367
1932,61.955
1933,60.951
1934,61.071
1935,61.096
1936,64.147
1937,67.517
1938,66.281
1939,66.356
1940,69.879
1941,76.541
1942,80.512
1943,81.242
1944,82.345
1945,90.328
1946,109.554
1947,131.622
1948,146.79
1949,155.144
1950,171.295
1951,189.284
1952,201.502
1953,213.013
1954,222.866
1955,243.021
1956,271.506
1957,292.041
1958,301.41
1959,314.077
1960,323.054
1961,331.447
1962,343.819
1963,357.177
1964,377.34
1965,407.794
1966,450.093
1967,489.841
1968,543.968
1969,602.442
1970,665.399
1971,731.546
1972,812.716
1973,922.601
1974,1107.313
1975,1252.398
1976,1369.168
1977,1520.544
1978,1723.549
1979,1976.173
1980,2277.833
1981,2579.67
1982,2756.942
1983,2844.878
1984,2993.218
1985,3158.155
1986,3317.184
1987,3459.685
1988,3681.151
1989,3886.439
