Year,S086
1949,-1.4704799772682833
1950,-1.5983344093826557
1951,-1.571495005009775
1952,-1.5537806104883571
1953,-1.1801821491398157
1954,-1.2746855842983615
1955,-1.3355489400599465
1956,-0.7726981574035062
1957,-0.5761676683434167
1958,-1.1184422083850043
1959,-1.1634159455390831
1960,-0.9195425713888492
1961,-1.191901579817335
1962,-1.2113193862331912
1963,-1.2372670880923755
1964,-1.0413840835899804
1965,-0.7018873190434006
1966,-0.3792990066440308
1967,-0.3880971980516907
1968,-0.2859388773198982
1969,0.188711769787739
1970,0.5799239663476542
1971,0.2120015495284253
1972,0.213840916354192
1973,0.5352884403652082
1974,1.1072931321263455
1975,0.4929239204548427
1976,0.4664454613328069
1977,0.7718239216398983
1978,1.248888375662932
1979,2.003418092122878
1980,2.4241614594107364
1981,2.388082013314407
1982,2.328380921297357
1983,1.2531792083420754
1984,1.0866643827793945
1985,1.160665300529104
1986,0.9051823385518803
1987,0.4404636711989181
1988,0.2486878028780072
1989,0.36326286115759
1990,0.3595268812964266
1991,0.0539337701804203
1992,-0.1561594466813965
1993,-0.0111767225894311
1994,-0.0488804608468987
1995,0.1165674042863728
1996,-0.0223296893712138
1997,0.0625823405209999
1998,0.3514351931436222
1999,0.5664185746643449
2000,0.8861395673783343
2001,0.5658534722445379
2002,-0.0573269804529739
2003,-0.2332936728432721
2004,-0.4336867204936936
2005,-0.4620632697240695
2006,-0.3485765958536412
2007,0.293474311403463
2008,0.4693305187376166
2009,-0.4348220244459893
2010,-0.9643681902370164
2012,1.152792766766722
2013,1.1960012272360152
2014,1.1884253916322771
2015,1.1959634703142916
2016,1.2203733138394386
2017,1.2758195553626992
2018,1.268729488207078
2019,1.292593080875203
2020,1.2189785878646562
2021,1.0058163101956934
2022,1.0503409364138594
2023,1.1053478544807276
2024,1.1030221162694376
