industry,S048-tpmr_1947,S048-tvr_1947,S048-tdr_1947,S048-tprr_1947,S048-tpm_1947,S048-td_1947,S048-tv_1947,S048-tpr_1947,S048-tpmr_1958,S048-tvr_1958,S048-tdr_1958,S048-tprr_1958,S048-tpm_1958,S048-td_1958,S048-tv_1958,S048-tpr_1958,S048-tpmr_1963,S048-tvr_1963,S048-tdr_1963,S048-tprr_1963,S048-tpm_1963,S048-td_1963,S048-tv_1963,S048-tpr_1963,S048-tpmr_1967,S048-tvr_1967,S048-tdr_1967,S048-tprr_1967,S048-tpm_1967,S048-td_1967,S048-tv_1967,S048-tpr_1967,S048-tpmr_1972,S048-tvr_1972,S048-tdr_1972,S048-tprr_1972,S048-tpm_1972,S048-td_1972,S048-tv_1972,S048-tpr_1972,S048-tpmr_1998circ,S048-tvr_1998circ,S048-tdr_1998circ,S048-tprr_1998circ,S048-tpm_1998circ,S048-td_1998circ,S048-tv_1998circ,S048-tpr_1998circ,S048-tpmr_1998fixed,S048-tvr_1998fixed,S048-tdr_1998fixed,S048-tprr_1998fixed,S048-tpm_1998fixed,S048-td_1998fixed,S048-tv_1998fixed,S048-tpr_1998fixed,S048-pctNMAWD,S048-CVpv,S048-dpv
1,0.1102504,0.0949505,0.0949505,0.0963404,44391.02,18550.469524,38230.6902448,20207.5859804,0.0684539,0.0737648,0.0737648,0.0779712,48927.2,52723.1417512,14580.8313796,16643.8871233,0.0583507,0.0654846,0.0654846,0.0725054,53239.97,59749.0406455,13215.4051347,16357.2803456,0.0496284,0.0561839,0.0561839,0.065532,59603.29,67476.317014,11131.9744417,14878.3773119,0.047817,0.0480389,0.0480389,0.0576604,83988.49,84378.2328139,10551.6275925,14204.1383869,0.01358,0.0085298,0.0085298,0.0109121,207859.0,130559.9099767,2024.1006965,2518.6297908,0.01358,0.010294,0.010294,0.0129173,207859.0,157562.211387787,2792.6843829,3852.8143063,0.0,0.0,0.0
2,0.00098,0.0007275,0.0007275,0.000691,394.5707,142.1262748,292.9082512,144.935821,0.0011714,0.0008772,0.0008772,0.0009525,837.2823,626.9480198,173.3854064,203.3152219,0.0010273,0.0007239,0.0007239,0.0009243,937.3306,660.5118546,146.0932537,208.5233505,0.000981,0.0008001,0.0008001,0.0011083,1178.164,960.8784203,158.5219006,251.6372543,0.0007612,0.0006957,0.0006957,0.001081,1337.1,1221.9675812,152.8089226,266.2871229,0.0027563,0.0023095,0.0023095,0.0024377,42188.0,35349.619271,548.0333818,562.6443027,0.0027563,0.0023895,0.0023895,0.0023654,42188.0,36574.6195075343,648.2605684,705.5307726,0.002,0.002,0.003
3,0.0016633,0.0016036,0.0016036,0.0015297,669.7201,313.3002039,645.6808564,320.8618145,0.0014898,0.0014428,0.0014428,0.0015114,1064.808,1031.268101,285.2020154,322.6344702,0.0014731,0.0013992,0.0013992,0.001582,1344.06,1276.6460842,282.3709809,356.9056293,0.0010867,0.0011553,0.0011553,0.001442,1305.134,1387.4494568,228.8958938,327.3961362,0.0013643,0.0012837,0.0012837,0.0015377,2396.4,2254.8442293,281.9717336,378.7957027,0.0046007,0.0030204,0.0030204,0.0031597,70420.0,46230.8955036,716.7283418,729.2934666,0.0046007,0.0046436,0.0046436,0.0070627,70420.0,71076.585708332,1259.7847488,2106.578223,0.004,0.004,0.005
4,0.0090904,0.010509,0.010509,0.0088375,3660.154,2053.1347691,4231.3085008,1853.6747636,0.0038933,0.0048484,0.0048484,0.0045879,2782.748,3465.3755092,958.3658008,979.3375989,0.0029265,0.0034819,0.0034819,0.0033738,2670.194,3176.9466062,702.6830228,761.1369491,0.0026462,0.0031398,0.0031398,0.0031773,3178.015,3770.8984846,622.1078359,721.3748895,0.003157,0.0035403,0.0035403,0.0035975,5545.206,6218.2978305,777.6076931,886.2108951,0.0033569,0.0029989,0.0029989,0.0030513,51381.0,45901.8050831,711.6263764,704.2741198,0.0033569,0.003376,0.003376,0.0037836,51381.0,51673.5097464665,915.8782579,1128.5227112,0.007,0.005,0.008
5,0.0108246,0.0055113,0.0055113,0.0093764,4358.388,1076.7364491,2219.0477502,1966.7226991,0.0138898,0.006854,0.006854,0.0088446,9927.667,4898.8462203,1354.7988287,1887.993393,0.0124227,0.0061423,0.0061423,0.0082692,11334.6,5604.3006666,1239.5697572,1865.5400855,0.0118435,0.0057309,0.0057309,0.0079376,14223.97,6882.7094373,1135.4820319,1802.1537476,0.0106353,0.0047878,0.0047878,0.0064943,18680.5,8409.4911758,1051.6197859,1599.8176952,0.0016122,0.0017745,0.0017745,0.001733,24677.0,27160.9929065,421.0831998,399.9954002,0.0016122,0.00195,0.00195,0.001986,24677.0,29846.9691332087,529.0174836,592.3536652,0.009,0.007,0.01
6,0.0015625,0.0015194,0.0015194,0.0013901,629.1294,296.8467382,611.7718844,291.5753617,0.0020108,0.001639,0.001639,0.0016153,1437.214,1171.462698,323.9734868,344.7992062,0.001973,0.0017132,0.0017132,0.0017087,1800.154,1563.155385,345.7416467,385.4905439,0.00178,0.0016124,0.0016124,0.0017018,2137.804,1936.4227985,319.4633326,386.3704345,0.0016689,0.0016069,0.0016069,0.0017676,2931.293,2822.452143,352.9519749,435.4280984,0.0166258,0.0094482,0.0094482,0.0100273,254479.0,144616.5800725,2242.0245273,2314.4088089,0.0166258,0.0125469,0.0125469,0.0199121,254479.0,192046.004172536,3403.8864518,5939.1386225,0.011,0.009,0.013
7,0.0005985,0.0003237,0.0003237,0.0003268,240.9837,63.2465687,130.3449475,68.5440114,0.0006726,0.0004137,0.0004137,0.0004569,480.7232,295.6849118,81.773045,97.5390524,0.0006501,0.000433,0.000433,0.0004995,593.1853,395.0766129,87.383788,112.6966521,0.0007814,0.0004518,0.0004518,0.0005918,938.4008,542.5976513,89.5156027,134.3688966,0.0004539,0.0003723,0.0003723,0.0005165,797.198,653.926036,81.774455,127.2232902,0.0590144,0.0612446,0.0612446,0.0639913,903290.0,937426.1199837,14533.1354987,14769.9191173,0.0590144,0.0588454,0.0588454,0.0524521,903290.0,900703.211260029,15964.3595351,15644.7890559,0.013,0.011,0.016
8,0.063388,0.0633768,0.0633768,0.0608956,25522.44,12381.9165834,25517.9103108,12772.9795521,0.0845212,0.0935621,0.0935621,0.0871028,60411.3,66873.2111193,18494.0992277,18593.1316098,0.0802573,0.0916933,0.0916933,0.082834,73227.89,83662.2080442,18504.5644553,18687.4084612,0.0723172,0.0868662,0.0868662,0.075794,86852.32,104325.549278,17211.2142389,17208.2720887,0.0802905,0.0950111,0.0950111,0.0833101,141026.6,166882.7499988,20868.9441681,20522.7288381,0.0059332,0.0062261,0.0062261,0.0072618,90815.0,95298.7219918,1477.4382856,1676.1116878,0.0059332,0.0061978,0.0061978,0.0058863,90815.0,94865.4025416226,1681.4255514,1755.7049711,0.015,0.013,0.018
9,0.0003725,0.0005222,0.0005222,0.0009102,149.9813,102.0301035,210.2739921,190.923169,0.0058345,0.005572,0.005572,0.0051527,4170.193,3982.5353659,1101.3887774,1099.9019901,0.0050153,0.0046028,0.0046028,0.0039929,4576.04,4199.6466514,928.8857415,900.8004582,0.0076595,0.0063785,0.0063785,0.0054932,9198.969,7660.5585942,1263.8084924,1247.1764116,0.0040853,0.003439,0.003439,0.0031252,7175.599,6040.4372225,755.3659509,769.8677463,0.0058279,0.0055605,0.0055605,0.0059495,89204.0,85110.690736,1319.4908639,1373.2066549,0.0058279,0.005646,0.005646,0.0055937,89204.0,86419.639967074,1531.7300817,1668.4225684,0.018,0.015,0.021
10,0.1081181,0.087963,0.087963,0.0883114,43532.5,17185.3319545,35417.2761966,18523.4979166,0.0865343,0.0809434,0.0809434,0.0826301,61850.14,57854.0296088,15999.8024082,17638.3756285,0.0778739,0.0752963,0.0752963,0.0778085,71053.2,68701.3842674,15195.5013269,17553.6515648,0.0713414,0.0694937,0.0694937,0.0730282,85680.38,83461.300595,13769.1134639,16580.3092458,0.0674542,0.0617258,0.0617258,0.0655638,118480.2,108418.5568567,13557.9070326,16151.0706538,0.0107659,0.011422,0.011422,0.0135522,164785.0,174827.7163762,2710.3948107,3127.9986013,0.0107659,0.0117,0.0117,0.0121215,164785.0,179082.784665106,3174.1220917,3615.4591382,0.02,0.017,0.023
