Year,S054
1857,290.330452402004
1858,288.0656546679364
1859,257.52803125876073
1860,256.6928234986917
1861,269.8315893374451
1862,214.45798166780628
1863,171.97853535353522
1864,157.4516874232082
1865,256.96963326251074
1866,273.153672777072
1867,272.27012567411003
1868,265.0839984271806
1869,278.13886186562195
1870,279.4652219629532
1871,269.7172736061876
1872,254.93394362873545
1873,262.9286439340626
1874,252.69053314503415
1875,235.49554597701152
1876,223.57733573053048
1877,220.79297690604244
1878,228.23770478266616
1879,201.0840373961219
1880,176.08662973620733
1881,170.9573321703969
1882,171.07750169033127
1883,183.62716215793296
1884,182.52696360153263
1885,174.9716907298382
1886,158.74129948914447
1887,153.89398025346284
1888,153.62297254150712
1889,154.64434514780734
1890,152.47980399101036
1891,161.46011641615078
1892,162.62741954616095
1893,157.62145665351403
1894,161.7205874479294
1895,143.7767009696113
1896,152.37651010409235
1897,139.35727969348673
1898,132.62088407469133
1899,123.84694178089224
1900,126.03151841367888
1901,134.84813218390792
1902,129.92897307214923
1903,145.13485382186704
1904,147.42294061302698
1905,144.65546787930197
1906,146.26186154524646
1907,153.18411736730715
1908,160.50434869716537
1909,146.06040868454664
1910,155.8542305236271
1911,169.05277613036236
1912,156.45276081444422
1913,169.3219827586207
1914,173.44095842413367
1915,172.85689484779013
1916,146.58117131910254
1917,142.59920117460666
1918,183.9384943289945
1919,192.27228019762035
1920,205.31893593907975
1921,245.79795219089775
1922,184.8229724002307
1923,187.84129174242204
1924,191.70405261286885
1925,181.24683190710067
1926,184.75437912309496
1927,179.22589543243348
1928,175.8182718312789
1929,189.75212898308487
1930,187.4151453224341
1931,190.92097701149424
1932,206.1644228671547
1933,175.76684984201125
1934,146.54452967086024
1935,137.29428913914893
1936,123.16600878826247
1937,118.16624664494849
1938,131.24025829436653
1939,117.0877850355292
1940,107.0185385633043
1941,94.78665586443198
1942,95.57056288868424
1943,99.25151359464874
1944,104.21455938697318
1945,98.55285890055532
1946,82.80087897227855
1947,77.23693629205437
1948,99.76609362957004
1949,106.86993606051044
1950,96.47379332052576
1951,98.18268800895808
1952,116.15102874407144
1953,123.96419639534368
1954,110.90702947845806
1955,116.9867968256198
1956,125.4344640782707
1957,146.1906215034076
1958,143.82449469975018
1959,167.58035409452276
1960,168.96551724137933
1961,166.66666666666666
1962,165.90038314176246
1963,163.54764762491754
1964,168.39360719199948
1965,170.005215636804
1966,193.22762441493936
1967,210.93238010128093
1968,234.2838393470526
1969,265.4322099176695
1970,304.40276093109225
1971,279.94984326018806
1972,271.7033156614071
1973,271.9488570321581
1974,309.4783182360256
1975,329.066265381701
1976,318.3990105915936
1977,301.0603808842987
1978,326.77859837415656
1979,356.3761037935968
1980,443.36707122931546
1981,533.7804742765959
1982,526.3116740949254
1983,460.0026819923372
1984,484.6039796817617
1985,436.1143439851916
1986,348.5008464759868
1987,356.7921628008352
1988,368.0423244927472
1989,349.83136744692825
1990,353.4339336570574
1991,335.84335662492634
1992,311.27653626691665
1993,275.17784054502897
1994,303.7192785720961
1995,287.23316912972086
1996,279.96970506994563
1997,278.2392280758603
1998,252.69940787182168
1999,269.23069815574524
2000,286.21697119567705
2001,270.1339985621357
2002,250.968988928288
2003,211.90194376495964
2004,209.48144079058707
2005,193.0893448981031
2006,209.53837989941923
2007,208.23022004480453
2008,205.85944957223975
2009,212.25629273970603
2010,182.44727645816585
2011,168.89851410696022
2012,140.21474950857635
2013,161.6713560337357
2014,158.57322796190243
2015,156.18608740918617
2016,143.1390962674476
2017,139.047507111749
2018,146.25281101090206
2019,130.8565738584458
2020,97.64398745032004
2021,86.63283736339152
2022,139.79143557709926
2023,187.6330677622462
2024,193.75551597050324
2025,202.86752695195017
2026,203.0223229204356
