Year,S023
1780,115.04847986852918
1781,93.21446179129006
1782,101.61216105176666
1783,89.01561216105178
1784,85.65653245686113
1785,81.45768282662286
1786,77.1748562037798
1787,75.74724732949878
1788,72.38816762530814
1789,71.71635168447001
1790,74.40361544782253
1791,76.4190632703369
1792,77.84667214461793
1793,80.53393590797043
1794,89.35152013147083
1795,102.2
1796,107.57452752670504
1797,103.54363188167626
1798,100.10057518488088
1799,100.10057518488088
1800,102.2
1801,112.6
1802,92.8
1803,93.5
1804,100.0
1805,111.9
1806,106.3
1807,103.1
1808,91.3
1809,103.1
1810,103.8
1811,100.0
1812,103.8
1813,128.5
1814,144.4
1815,134.8
1816,119.7
1817,119.7
1818,116.6
1819,99.1
1820,84.1
1821,84.1
1822,84.1
1823,81.6
1824,77.8
1825,81.6
1826,78.5
1827,77.8
1828,76.9
1829,76.2
1830,72.2
1831,74.4
1832,75.3
1833,75.3
1834,71.3
1835,79.4
1836,90.4
1837,91.3
1838,87.2
1839,88.8
1840,75.3
1841,72.9
1842,65.0
1843,59.4
1844,61.0
1845,65.9
1846,65.9
1847,71.3
1848,65.0
1849,65.0
1850,66.6
1851,65.9
1852,69.7
1853,76.9
1854,85.7
1855,87.2
1856,83.2
1857,88.1
1858,73.8
1859,76.3
1860,73.8
1861,70.6
1862,82.5
1863,105.4
1864,153.1
1865,146.6
1866,137.9
1867,128.5
1868,125.3
1869,119.7
1870,107.0
1871,103.1
1872,107.8
1873,105.4
1874,100.0
1875,93.5
1876,87.2
1877,84.1
1878,72.2
1879,71.3
1880,79.4
1881,81.6
1882,85.7
1883,80.0
1884,73.8
1885,67.5
1886,65.0
1887,67.5
1888,68.2
1889,64.1
1890,65.0
1891,64.6
1892,60.3
1893,61.9
1894,55.4
1895,56.5
1896,53.8
1897,53.8
1898,56.1
1899,60.3
1900,64.8
1901,63.9
1902,68.2
1903,69.1
1904,69.1
1905,69.5
1906,71.5
1907,75.3
1908,72.9
1909,78.3
1910,81.4
1911,75.1
1912,80.0
1913,80.7
1914,78.7
1915,80.5
1916,98.9
1917,135.9
1918,152.0
1919,160.3
1920,178.7
1921,113.0
1922,111.9
1923,116.4
1924,113.5
1925,119.7
1926,115.7
1927,110.5
1928,112.1
1929,110.1
1930,100.0
1931,84.3
1932,75.3
1933,76.2
1934,86.5
1935,92.6
1936,93.5
1937,99.8
1938,90.8
1939,89.2
1940,90.8
1941,101.1
1942,114.1
1943,120.2
1944,120.2
1945,122.4
1946,139.7
1947,171.5
1948,185.7
1949,176.5
1950,183.4
1951,204.3
1952,198.7
1953,196.0
1954,196.4
1955,196.9
1956,203.4
1957,209.2
1958,212.1
1959,212.6
1960,212.6
1961,212.6
1962,212.6
1963,211.9
1964,212.3
1965,216.6
1966,223.8
1967,224.2
1968,229.8
1969,238.8
1970,247.5
1971,255.4
1972,267.0
1973,302.0
1974,359.0
1975,392.2
1976,410.2
1977,435.7116202945991
1978,469.27954173486097
1979,528.3590834697219
1980,602.8798690671032
1981,657.9312602291326
1982,671.3584288052374
1983,680.0860883797054
1984,696.1986906710312
1985,692.841898527005
1986,672.7011456628478
1987,690.156464811784
1988,717.6821603927988
1989,753.2641571194763
1990,780.7898527004909
1991,782.1325695581013
1992,786.832078559738
1993,798.245171849427
1994,808.3155482815056
1995,837.1839607201307
1996,857.3247135842878
1997,856.6533551554825
1998,835.169885433715
1999,842.5548281505726
2000,890.8926350245497
2001,900.9630114566282
2002,880.1509001636659
2003,927.1459901800326
2004,984.8828150572832
2005,1056.7181669394438
2006,1105.727332242226
2007,1158.76464811784
2008,1272.8955810147302
2009,1160.7787234042555
2010,1239.9990180032732
2011,1350.1018003273325
