Year,S066
1949,0.04
1950,0.066
1951,0.043
1952,0.031
1953,0.027
1954,0.045
1955,0.05
1956,0.042
1957,0.042
1958,0.052
1959,0.062
1960,0.053
1961,0.066
1962,0.06
1963,0.055
1964,0.055
1965,0.05
1966,0.04
1967,0.038
1968,0.038
1969,0.034
1970,0.035
1971,0.061
1972,0.06
1973,0.052
1974,0.049
1975,0.072
1976,0.0819999999999999
1977,0.078
1978,0.064
1979,0.06
1980,0.06
1981,0.072
1982,0.085
1983,0.108
1984,0.083
1985,0.073
1986,0.07
1987,0.066
1988,0.057
1989,0.053
1990,0.054
1991,0.063
1992,0.073
1993,0.074
1994,0.065
1995,0.055
1996,0.0559999999999999
1997,0.054
1998,0.047
1999,0.044
2000,0.04
2001,0.039
2002,0.057
2003,0.06
2004,0.057
2005,0.054
2006,0.049
2007,0.044
2008,0.05
2009,0.073
2010,0.099
