Year,S068
1949,-0.0155786350148369
1950,0.101733232856066
1951,0.148084815321477
1952,0.0592791182603516
1953,0.0556805399325083
1954,0.0047948854555141
1955,0.0930540827147402
1956,0.0652437545476594
1957,0.0498633879781421
1958,0.0110605074821079
1959,0.0855855855855856
1960,0.0420865441612328
1961,0.0339400834281379
1962,0.0733541169998166
1963,0.0568939005638135
1964,0.0716133204009051
1965,0.0825162166239252
1966,0.0890468227424748
1967,0.0593730006397952
1968,0.093731126947699
1969,0.0840419657647708
1970,0.0507334963325184
1971,0.0818305216210974
1972,0.101362251299516
1973,0.11831719423875
1974,0.0838972567852724
1975,0.0884801288936628
1976,0.110830146786727
1977,0.115373938148909
1978,0.128826721091144
1979,0.109185518366627
1980,0.0904862243072396
1981,0.126654271027015
1982,0.0511600815454809
1983,0.072805073266839
1984,0.118941719991965
1985,0.0707288300764219
1986,0.0519975091013605
1987,0.0708512624365366
1988,0.0864250026575954
1989,0.061839530332681
1990,0.0535016586804276
1991,0.0343054073439111
1992,0.0541066233678371
1993,0.0480240039792693
1994,0.0680996999203869
1995,0.0552863941287771
1996,0.0611781964385161
1997,0.0683263999999999
1998,0.0638007260702347
1999,0.0614722710276164
2000,0.0701249920421025
2001,0.0301422834762778
2002,0.0264594061311901
2003,0.0432373129289974
2004,0.0674216889128578
2005,0.070935363265856
2006,0.0708837867589243
2007,0.0309262454568817
2008,0.018040411090615
2009,-0.0306842031621659
2010,0.0447623309323441
2011,0.0392522589737212
