Year,S212
1925,93341.51590594744
1926,97523.0
1927,104945.0
1928,109931.0
1929,116446.0
1930,120994.0
1931,114303.0
1932,108553.0
1933,104958.0
1934,102751.0
1935,100480.0
1936,97873.0
1937,100320.0
1938,99299.0
1939,100226.0
1940,100214.0
1941,100698.0
1942,99772.0
1943,97728.0
1944,95128.0
1945,92057.0
1946,100329.0
1947,112194.0
1948,125650.0
1949,135617.0
1950,144691.0
1951,159325.0
1952,169546.0
1953,180612.0
1954,191437.0
1955,206388.0
1956,225862.0
1957,244463.0
1958,259613.0
1959,275772.0
1960,293215.0
1961,310266.0
1962,333992.4528133036
1963,342026.0
1964,365551.0
1965,395297.0
1966,432034.0
1967,467446.0
1968,504865.0
1969,561306.0
1970,599465.0
