Year,S213
1925,1.0
1926,1.0447976878612717
1927,1.124312145366746
1928,1.1777288908696149
1929,1.2475263431261716
1930,1.296250642874878
1931,1.2245676416394793
1932,1.1629658994330017
1933,1.124451418870865
1934,1.1008070632100482
1935,1.0764770533751071
1936,1.0485473591260135
1937,1.0747629179397966
1938,1.0638245911932205
1939,1.0737558633715516
1940,1.0736273032139032
1941,1.078812562905718
1942,1.0688920040738574
1943,1.0469939238877637
1944,1.0191392230639649
1945,0.9862385360524706
1946,1.074859338058033
1947,1.2019731939327905
