Year,S038
1988,3.77378440387937e-18
1989,-4.86939923081209e-18
1990,1.947759692324836e-18
1991,3.4085794615684633e-18
1992,0.0
1993,0.0
1994,7.791038769299344e-18
1995,5.0520017019675445e-18
1996,-1.2660438000111435e-17
1997,5.112869192352694e-18
1998,3.895519384649672e-18
1999,7.791038769299344e-18
2000,-5.3563391538932996e-18
2001,4.3824593077308816e-18
2002,-9.251858538542969e-18
2003,-4.86939923081209e-18
2004,5.101024707737206e-17
2005,6.226250746208649e-17
2006,1.950391800017167e-17
2007,-4.950994569274347e-17
2008,1.50030138462859e-17
2009,6.00120553851436e-18
2010,7.501506923142951e-17
2011,-1.800361661554308e-17
2012,6.00120553851436e-18
2013,1.3877787807814457e-17
2014,1.3127637115500163e-17
2015,7.50150692314295e-18
2016,7.50150692314295e-18
2017,-3.9382911346500484e-17
2018,-1.9878993346328817e-17
2019,3.750753461571475e-19
