year,S004
1831,4.391666666666667
1832,4.233333333333333
1833,3.3249999999999997
1834,-5.941666666666666
1835,2.225
1836,15.983333333333334
1837,-3.4499999999999997
1838,-2.4499999999999997
1839,7.608333333333333
1840,-5.2
1841,-2.6333333333333333
1842,-12.608333333333334
1843,-13.366666666666667
1844,-1.625
1845,0.20833333333333334
1846,2.408333333333333
1847,10.175
1848,-0.2250000000000001
1849,-1.7416666666666665
1850,3.258333333333333
1851,5.116666666666666
1852,4.291666666666667
1853,8.833333333333334
1854,6.491666666666667
1855,2.191666666666667
1856,7.766666666666667
1857,-0.5166666666666666
1858,-8.091666666666667
1859,0.10000000000000002
1860,1.2833333333333334
1861,-7.208333333333333
1862,-2.6333333333333333
1863,2.0083333333333333
1864,5.125
1865,-6.891666666666667
1866,2.4499999999999997
1867,-0.7666666666666666
1868,0.14999999999999994
1869,2.2666666666666666
1870,-0.3916666666666666
1871,4.408333333333333
1872,10.525
1873,6.816666666666666
1874,-4.283333333333333
1875,-8.908333333333333
1876,-10.225
1877,-10.608333333333333
1878,-9.233333333333333
1879,-3.1
1880,7.691666666666666
1881,9.466666666666667
1882,7.8999999999999995
1883,3.0500000000000003
1884,-6.449999999999999
1885,-10.491666666666667
1886,0.6583333333333333
1887,5.866666666666667
1888,1.2916666666666667
1889,3.4583333333333335
1890,9.766666666666667
1891,4.533333333333334
1892,7.0249999999999995
1893,-4.166666666666667
1894,-11.466666666666667
1895,-2.1416666666666666
1896,-9.075000000000001
1897,-6.8500000000000005
1898,0.225
1899,4.641666666666667
1900,3.2583333333333333
1901,3.0749999999999997
1902,3.283333333333333
1903,1.1666666666666665
1904,-4.241666666666666
1905,8.141666666666667
1906,10.225
1907,6.3500000000000005
1908,-14.025
1909,2.091666666666667
1910,1.25
1911,-5.8
1912,4.1499999999999995
1913,4.5249999999999995
1914,-5.208333333333333
1915,-0.325
1916,13.766666666666666
1917,11.924999999999999
1918,6.991666666666667
1919,-0.2916666666666668
1920,1.875
1921,-24.066666666666666
1922,-6.591666666666666
1923,8.908333333333333
1924,-1.9333333333333333
1925,5.033333333333333
1926,6.3
1927,1.5250000000000001
1928,3.4
1929,8.325000000000001
1930,-14.458333333333334
1931,-29.525000000000002
1932,-45.06666666666666
1933,-35.858333333333334
1934,-34.78333333333333
1935,-27.441666666666666
1936,-17.283333333333335
1937,-15.308333333333332
1938,-34.800000000000004
1939,-27.314285714285713
