Year,S007
1874,15.8
1884,23.9
1889,22.2
1890,23.9
1891,24.3
1892,26.700000000000003
1893,25.5
1894,25.8
1895,27.399999999999995
1896,25.900000000000002
1897,27.699999999999996
1898,27.9
1899,28.6
1900,28.999999999999996
1901,31.6
1902,30.099999999999998
1903,30.599999999999998
1904,30.599999999999998
1905,31.3
1906,33.7
1907,33.9
1908,32.1
1909,35.0
1910,33.9
1911,35.3
1912,34.8
1913,37.1
1914,33.9
1915,34.8
1916,38.6
1917,35.7
1918,40.1
1919,43.1
1920,43.0
1921,46.6
1922,45.4
1923,47.5
1924,50.5
1925,50.1
1926,51.4
1927,51.6
1928,52.0
1929,54.1
1930,52.5
1931,53.29999999999999
1932,51.6
1933,50.4
1934,55.89999999999999
1935,57.70000000000001
1936,60.199999999999996
1937,59.699999999999996
1938,61.4
1939,63.6
1940,66.1
1941,67.2
1942,66.7
1943,67.4
1944,72.7
1945,76.8
1946,73.3
1947,72.8
1948,74.8
1949,78.4
1950,83.8
1951,85.1
1952,85.6
1953,88.8
1954,91.2
1955,95.9
1956,95.6
1957,97.6
1958,100.0
1959,103.49999999999999
1960,104.69999999999999
1961,107.80000000000001
1962,112.99999999999999
1963,116.3
1964,120.30000000000001
1965,123.8
1966,127.1
1967,129.7825641025641
1968,134.93948717948717
1969,136.65846153846155
1970,137.08820512820512
1971,146.11282051282052
1972,152.12923076923076
1973,159.86461538461538
1974,155.99692307692305
1975,161.58358974358973
1976,170.17846153846153
1977,176.62461538461534
1978,178.34358974358977
1979,180.49230769230766
1980,179.2030769230769
1981,189.0871794871795
1982,190.80615384615382
1983,204.1282051282051
1984,209.71487179487178
1985,217.4502564102564
1986,220.88820512820516
1987,236.3589743589744
1988,245.38358974358974
1989,246.6728205128205
1990,249.68102564102563
1991,256.55692307692306
1992,266.44102564102565
1993,273.3169230769231
1994,284.92
1995,294.374358974359
1996,304.68820512820514
1997,317.15076923076924
1998,333.9107692307692
1999,354.1087179487179
2000,381.6123076923077
2001,389.77743589743585
2002,429.7435897435897
2003,464.9825641025641
2004,504.9487179487179
2005,527.7251282051283
2006,546.6338461538462
2007,581.0133333333332
2008,583.1620512820513
2009,628.2851282051281
