Year,S071
1949,0.0150403490907111
1950,-0.0062532860215775
1951,0.0176186001387445
1952,0.0208495045796239
1953,0.0151528668068629
1954,-0.0097152294438115
1955,-0.0131862915001453
1956,0.0169010573806701
1957,0.0033190651366078
1958,-0.0029789026057557
1959,-0.0029242531089307
1960,0.0125187455055784
1961,-0.003976103858422
1962,-0.0018878136959342
1963,-0.0014266948564906
1964,0.0017465528599895
1965,-0.0045697389684201
1966,0.0171816060915468
1967,0.013208825095647
1968,0.0089455137630393
1969,0.0160501561405576
1970,0.01692382787292
1971,-0.0132203837928484
1972,-0.0006373805104359
1973,0.0002474323484826
1974,0.0123526873633683
1975,-0.0204035354836856
1976,0.0043319113697798
1977,-0.0006263705633469
1978,0.002053060305368
1979,0.0113054932397159
1980,0.0086878021536693
1981,-0.020032646489371
1982,0.003523080199885
1983,-0.0115729390301182
1984,-0.0142651121585738
1985,0.0029888523133221
1986,0.0086522728236705
1987,-0.0012351104606753
1988,-0.0062916464008498
1989,-0.0017358979789537
1990,0.0085757938873745
1991,-0.0004555832242469
1992,0.0019643643406352
1993,-0.0021736686399743
1994,-0.0140216496912443
1995,-0.005902762381723
1996,-0.0137168475796625
1997,-0.0055563655241538
1998,0.0119752672352501
1999,0.0041586052156692
2000,0.0101496236805004
2001,0.0027675191351885
2002,-0.0043233557095814
2003,0.0011940244825174
2004,-0.0176670080733157
2005,-0.0144663081784156
2006,-0.0119214575233432
2007,0.0189876166488111
2008,0.0093162355795776
2009,-0.0024762151374384
2010,-0.0259117649381148
2011,-0.0024890333168818
