year,S101-A,S101-B
1980,0.15739,0.108748
1981,0.15540175,0.10601775
1982,0.15677475000000002,0.106308
1983,0.15612025000000002,0.1053775
1984,0.15843725,0.10822075
1985,0.16905625,0.1162425
1986,0.17553325,0.121106
1987,0.177148,0.121772
1988,0.17311325,0.11907925
1989,0.1723015,0.1189205
1990,0.1727835,0.11901625
1991,0.17090875,0.1164925
1992,0.16322675,0.1094835
1993,0.16084525,0.10738275
1994,0.16244825,0.10850699999999999
1995,0.168517,0.11438
1996,0.17103525,0.11742175
1997,0.17207375,0.118277
1998,0.16888575,0.11681925
1999,0.17185075,0.11960875
2000,0.17254675,0.12193375000000001
2001,0.17825325,0.12730924999999998
2002,0.17949575,0.12959575
2003,0.17853275000000002,0.13071525
2004,0.178251,0.13159500000000002
2005,0.18299725,0.13600175
2006,0.185696,0.13847375
2007,0.18870375,0.1400785
2008,0.18325675,0.13517075
2009,0.18420275,0.13243175000000001
2010,0.17050475,0.1200655
2011,0.16100775,0.11071
2012,0.15703299999999998,0.10596900000000001
2013,0.1538879475,
2014,0.1517361075,
2015,0.1513408875,
2016,0.15192190249999998,
2017,0.1496143975,
2018,0.14747204249999998,
2019,0.1471318325,
2020,0.138737955,
2021,0.134750125,
2022,0.143508965,
2023,0.14143639,
