Year,S220
1947,32.232
1948,33.722
1949,34.493
1950,37.325
1951,38.51
1952,39.602
1953,41.013
1954,41.883
1955,43.619
1956,43.647
1957,45.026
1958,46.268
1959,48.027
1960,48.865
1961,50.568
1962,52.882
1963,54.95
1964,56.808
1965,58.817
1966,61.205
1967,62.543
1968,64.678
1969,64.994
1970,66.285
1971,69.015
1972,71.243
1973,73.41
1974,72.257
1975,74.793
1976,77.145
1977,78.455
1978,79.32
1979,79.305
1980,79.151
1981,80.779
1982,80.149
1983,83.002
1984,85.215
1985,87.131
1986,89.673
1987,90.133
1988,91.507
1989,92.409
1990,94.381
1991,95.902
1992,100.0
1993,100.39
1994,101.36
1995,101.495
1996,104.494
1997,106.478
1998,109.477
1999,112.841
2000,117.24
2001,120.739
2002,126.172
2003,131.016
2004,134.865
2005,137.154
2006,138.504
2007,140.978
2008,143.952
2009,149.375
