Year,S084
1948,0.05568
1949,-0.001932998
1950,0.010823562
1951,0.072047766
1952,0.017216048
1953,0.012132145
1954,0.009019772
1955,0.0171556
1956,0.034328242
1957,0.033208284
1958,0.022393119
1959,0.011941887
1960,0.014044932
1961,0.011202242
1962,0.013623128
1963,0.01066697
1964,0.015475964
1965,0.018210319
1966,0.028335598
1967,0.030788801
1968,0.042506239
1969,0.049387016
1970,0.052744369
1971,0.049993478
1972,0.043127897
1973,0.055467073
1974,0.090792597
1975,0.094511644
1976,0.057392868
1977,0.063754652
1978,0.070161027
1979,0.083190634
1980,0.091172435
1981,0.093718662
