Year,World,Total 12 Western Europe,Western Europe,Western Offshoots,Latin America,Asia,Africa,RATIO OF RICHEST WORLD REGION TO POOREST (1),RATIO OF RICHEST WORLD REGION TO POOREST (2),RATIO OF RICHEST 4 TO POOREST 4,RICHEST 4,POOREST 4,Largest,2nd Largest,3rd Largest,4th Largest,4th Smallest,3rd Smallest,2nd Smallest,Smallest,Austria,Belgium,Denmark,Finland - Finlande,France,Germany - Allemagne,Italy,Netherlands,Norway,Sweden - Suède,Switzerland,United Kingdom,Total 12 Western Europe - 12 pays d'Europe de l'Ouest,Ireland - Irlande,Greece - Grèce,Portugal,Spain - Espagne,13 small Western Europe - 13 petits pays d'Europe de l'Ouest,Western Europe,Australia,New Zealand,Canada,United States,Western Offshoots,Albania - Albanie,Bulgaria - Bulgarie,Czechoslovakia - Tchécoslovaquie,Hungary - Hongrie,Poland - Pologne,Romania - Roumanie,Yugoslavia - Yougoslavie,Total 7 East European Countries - 7 pays d'Europe de l'Est,USSR - URSS,Bosnia - Bosnie,Croatia - Croatie,Macedonia - Macédonie,Slovenia - Slovénie,Serbia/Montenegro - Serbie/Monténégro,Former Yugoslavia - Ex-Yougoslavie,Czech Republic - Republique tchèque,Slovakia - Slovaquie,Former Czechoslovakia - Ex-Tchécoslovaquie,Armenia - Arménie,Azerbaijan - Azerbaïdjan,Belarus - Bélarus,Estonia - Estonie,Georgia - Géorgie,Kazakhstan,Kyrgyzstan - Kirghizstan,Latvia - Lettonie,Lithuania - Lituanie,Moldova - Moldavie,Russian Federation - Fédération russe,Tajikistan - Tadjikistan,Turkmenistan - Turkménistan,Ukraine,Uzbekistan - Ouzbékistan,Total Former USSR - Ex-URSS,Argentina - Argentine,Brazil - Brésil,Chile - Chili,Colombia - Colombie,Mexico - Mexique,Peru - Pérou,Uruguay,Venezuela,Total 8 Latin American countries - 8 Pays d'Amérique latine,Bolivia - Bolivie,Costa Rica,Cuba,Dominican Republic - République dominicaine,Ecuador - Equateur,El Salvador,Guatemala,Haïti,Honduras,Jamaica - Jamaïque,Nicaragua,Panama,Paraguay,Puerto Rico - Porto Rico,Trinidad and Tobago - Trinité-et-Tobago,Total 15 Latin American countries,Total 24 small Caribbean countries - 24 petits pays des Caraïbes,Latin America,China,India,Indonesia - Indonésie,Japan,Philippines,South Korea - Corée du Sud,Thailand - Thaïlande,Taiwan,Bangladesh,Burma - Birmanie,Hong Kong,Malaysia - Malaisie,Nepal,Pakistan,Singapore - Singapour,Sri Lanka,Total 16 Asian countries - 16 pays d'Asie,Afghanistan,Cambodia -  Cambodge,Laos,Mongolia - Mongolie,North Korea - Corée du Nord,Vietnam,20 Small Asian Countries - 20 petits pays d'Asie de l'Est,Total 26 East Asian countries - 26 pays d'Asie de l'Est,Bahrain - Bahreïn,Iran,Iraq - Irak,Israel - Israël,Jordan - Jordanie,Kuwait - Koweït,Lebanon - Liban,Oman,Qatar,South Arabia - Arabie saoudite,Syria - Syrie,Turkey - Turquie,United Arab Emirates - Émirats Arabes Unis,Yemen - Yémen,Palestine and Gaza - Cisjordanie et Gaza,Total 15 West Asian countries - 15 pays d'Asie de l'Ouest,Asia,Algeria - Algérie,Angola,Benin - Bénin,Botswana,Burkina Faso,Burundi,Cameroon - Cameroun,Cape Verde - Cap Vert,Central African Republic - République Centrafricaine,Chad,Comoro Islands - Comores,Congo,Côte d'Ivoire,Djibouti,Egypt - Égypte,Eritrea and Ethiopia,Gabon,Gambia - Gambie,Ghana,Guinea,Guinea Bissau - Guinée Bissau,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mali,Mauritania - Mauritanie,Mauritius - Maurice,Morocco,Mozambique,Namibia - Namibie,Niger,Nigeria,Reunion - Réunion,Rwanda,Senegal - Sénégal,Seychelles,Sierra Leone,Somalia - Somalie,South Africa,Sudan - Soudan,Swaziland,Tanzania - Tanzanie,Togo,Tunisia,Uganda,Zaire,Zambia - Zambie,Zimbabwe,Total 6 African Countries - Pays d'Afrique,Africa,Equitorial Guinea - Guinée Équatoriale,Libya - Lybie,São Tomé and Principe - São Tomé et Principe,"Mayotte, Saint Helena, West Sahara : Mayotte, Sainte Hélène, Sahara Occidental",Total 6 African Countries - 6 pays d'Afrique,World,formula check
,S017-A,S017-B,S017-C,S017-D,S017-E,S017-F,S017-G,S017-H,S017-I,S017-J,S017-K,S017-L,S017-M,S017-N,S017-O,S017-P,S017-Q,S017-R,S017-S,S017-T,S017-U,S017-V,S017-W,S017-X,S017-Y,S017-Z,S017AA,S017AB,S017AC,S017AD,S017AE,S017AF,S017AG,S017AH,S017AI,S017AJ,S017AK,S017AL,S017AM,S017AN,S017AO,S017AP,S017AQ,S017AR,S017AS,S017AT,S017AU,S017AV,S017AW,S017AX,S017AY,S017AZ,S017BA,S017BB,S017BC,S017BD,S017BE,S017BF,S017BG,S017BH,S017BI,S017BJ,S017BK,S017BL,S017BM,S017BN,S017BO,S017BP,S017BQ,S017BR,S017BS,S017BT,S017BU,S017BV,S017BW,S017BX,S017BY,S017BZ,S017CA,S017CB,S017CC,S017CD,S017CE,S017CF,S017CG,S017CH,S017CI,S017CJ,S017CK,S017CL,S017CM,S017CN,S017CO,S017CP,S017CQ,S017CR,S017CS,S017CT,S017CU,S017CV,S017CW,S017CX,S017CY,S017CZ,S017DA,S017DB,S017DC,S017DD,S017DE,S017DF,S017DG,S017DH,S017DI,S017DJ,S017DK,S017DL,S017DM,S017DN,S017DO,S017DP,S017DQ,S017DR,S017DS,S017DT,S017DU,S017DV,S017DW,S017DX,S017DY,S017DZ,S017EA,S017EB,S017EC,S017ED,S017EE,S017EF,S017EG,S017EH,S017EI,S017EJ,S017EK,S017EL,S017EM,S017EN,S017EO,S017EP,S017EQ,S017ER,S017ES,S017ET,S017EU,S017EV,S017EW,S017EX,S017EY,S017EZ,S017FA,S017FB,S017FC,S017FD,S017FE,S017FF,S017FG,S017FH,S017FI,S017FJ,S017FK,S017FL,S017FM,S017FN,S017FO,S017FP,S017FQ,S017FR,S017FS,S017FT,S017FU,S017FV,S017FW,S017FX,S017FY,S017FZ,S017GA,S017GB,S017GC,S017GD,S017GE,S017GF,S017GG,S017GH,S017GI,S017GJ,S017GK,S017GL,S017GM,S017GN,S017GO,S017GP,S017GQ,S017GR,S017GS,S017GT,S017GU,S017GV,S017GW,S017GX
1710,619.5196316426121,1050.8475629462937,1015.2000078111939,536.4950880004749,,605.75,420.89632613107744,2.4119954126067515,2.496689796762526,,,,,,,,,,,,,,,,,,,,,,,,1050.8475629462937,,,,,,1015.2000078111939,,,,,536.4950880004749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.89632613107744,,,,,,619.5196316426121,210.0
1720,623.836028766011,1068.5391284508758,1032.3396178811652,596.9901760009498,,603.5,420.7926522621549,2.4533213979174118,2.539348352939331,,,,,,,,,,,,,,,,,,,,,,,,1068.5391284508758,,,,,,1032.3396178811652,,,,,596.9901760009498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.7926522621549,,,,,,623.836028766011,211.0
1730,628.15242588941,1086.2306939554578,1049.4792279511364,657.4852640014246,,601.25,420.68897839323233,2.494667751837683,2.5820279345186954,,,,,,,,,,,,,,,,,,,,,,,,1086.2306939554578,,,,,,1049.4792279511364,,,,,657.4852640014246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.68897839323233,,,,,,628.15242588941,212.0
1740,632.4688230128089,1103.9222594600399,1066.6188380211076,717.9803520018995,,599.0,420.5853045243098,2.536034489430092,2.6247285570488432,,,,,,,,,,,,,,,,,,,,,,,,1103.9222594600399,,,,,,1066.6188380211076,,,,,717.9803520018995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.5853045243098,,,,,,632.4688230128089,213.0
1750,636.7852201362078,1121.613824964622,1083.758448091079,778.4754400023744,,596.75,420.4816306553872,2.5774216257720215,2.667450236093332,,,,,,,,,,,,,,,,,,,,,,,,1121.613824964622,,,,,,1083.758448091079,,,,,778.4754400023744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.4816306553872,,,,,,636.7852201362078,214.0
1760,641.1016172596068,1139.305390469204,1100.8980581610501,838.9705280028493,,594.5,420.37795678646467,2.6188291759557285,2.710192987231074,,,,,,,,,,,,,,,,,,,,,,,,1139.305390469204,,,,,,1100.8980581610501,,,,,838.9705280028493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.37795678646467,,,,,,641.1016172596068,215.0
1770,645.4180143830057,1156.996955973786,1118.0376682310214,899.4656160033242,,592.25,420.2742829175421,2.6602571550883605,2.752956826056352,,,,,,,,,,,,,,,,,,,,,,,,1156.996955973786,,,,,,1118.0376682310214,,,,,899.4656160033242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.2742829175421,,,,,,645.4180143830057,216.0
1780,649.7344115064046,1174.688521478368,1135.1772783009926,959.960704003799,,590.0,420.17060904861955,2.7017055782919766,2.795741768178841,,,,,,,,,,,,,,,,,,,,,,,,1174.688521478368,,,,,,1135.1772783009926,,,,,959.960704003799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.17060904861955,,,,,,649.7344115064046,217.0
1790,654.0508086298036,1192.3800869829502,1152.3168883709639,1020.4557920042739,,587.75,420.066935179697,2.743174460703563,2.838547829223625,,,,,,,,,,,,,,,,,,,,,,,,1192.3800869829502,,,,,,1152.3168883709639,,,,,1020.4557920042739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.066935179697,,,,,,654.0508086298036,218.0
