Year,"Ayres Index of Business Activity, Cleveland Trust Co. Monthly data (~12 obs/year), 1831-1939. Source: Ayres, Turning Points in Business Cycles, MacMillan 1939, Appendix A Table 9. Fluctuations above and below normal of ten-year moving average",NOTE: S004A intentionally skipped (prior extension attempt yielded unreliable results). S004 is the authoritative Ayres series
,S004-A,S004
1831,,0.9
1831,,2.0
1831,,3.3
1831,,4.1
1831,,5.2
1831,,5.1
1831,,5.4
1831,,5.1
1831,,5.4
1831,,5.0
1831,,5.8
1831,,5.4
1832,,5.5
1832,,6.1
1832,,5.1
1832,,3.0
1832,,3.4
1832,,4.1
1832,,3.1
1832,,2.7
1832,,4.0
1832,,3.6
1832,,5.9
1832,,4.3
1833,,5.1
1833,,2.5
1833,,2.2
1833,,3.3
1833,,3.6
1833,,3.5
1833,,3.3
1833,,3.2
1833,,3.7
1833,,4.0
1833,,3.0
1833,,2.5
1834,,-1.7
1834,,-2.0
1834,,-5.0
1834,,-6.2
1834,,-6.4
1834,,-7.0
1834,,-7.5
1834,,-7.3
1834,,-7.0
1834,,-7.4
1834,,-7.0
1834,,-6.8
1835,,-6.4
1835,,-6.0
1835,,-5.0
1835,,-1.5
1835,,1.5
1835,,4.3
1835,,5.8
1835,,6.1
1835,,5.9
1835,,6.0
1835,,7.2
1835,,8.8
1836,,9.9
1836,,11.1
1836,,14.4
1836,,17.4
1836,,17.3
1836,,16.5
1836,,16.5
1836,,16.2
1836,,17.1
1836,,18.1
1836,,18.4
1836,,18.9
1837,,17.1
1837,,21.0
1837,,19.5
1837,,-6.6
1837,,-14.3
1837,,-13.3
1837,,-11.4
1837,,-10.0
1837,,-10.1
1837,,-12.7
1837,,-11.3
1837,,-9.3
1838,,-9.8
1838,,-8.4
1838,,-7.1
1838,,-11.8
1838,,-10.6
1838,,-6.0
1838,,-4.6
1838,,-1.0
1838,,-1.6
1838,,7.0
1838,,10.8
1838,,13.7
1839,,14.0
1839,,12.9
1839,,15.2
1839,,12.5
1839,,9.8
1839,,6.2
1839,,5.1
1839,,5.1
1839,,4.3
1839,,3.5
1839,,2.2
1839,,0.5
1840,,-1.2
1840,,-2.9
1840,,-5.8
1840,,-6.0
1840,,-6.9
1840,,-6.9
1840,,-6.3
1840,,-7.0
1840,,-6.2
1840,,-5.3
1840,,-4.4
1840,,-3.5
1841,,-2.6
1841,,-2.9
1841,,-3.7
1841,,-3.6
1841,,-3.4
1841,,-2.9
1841,,-1.7
1841,,-0.8
1841,,-0.9
1841,,-1.7
1841,,-2.8
1841,,-4.6
1842,,-6.5
1842,,-7.7
1842,,-8.1
1842,,-10.8
1842,,-11.3
1842,,-12.2
1842,,-14.3
1842,,-14.7
1842,,-14.2
1842,,-16.7
1842,,-16.7
1842,,-18.1
1843,,-18.6
1843,,-19.1
1843,,-18.4
1843,,-18.8
1843,,-17.0
1843,,-12.3
1843,,-11.4
1843,,-11.5
1843,,-10.7
1843,,-9.3
1843,,-8.4
1843,,-4.9
1844,,-4.1
1844,,-2.9
1844,,-2.0
1844,,-1.5
1844,,-1.0
1844,,-0.7
1844,,-0.5
1844,,-0.6
1844,,-1.1
1844,,-1.5
1844,,-1.8
1844,,-1.8
1845,,-1.6
1845,,-1.7
1845,,-1.0
1845,,-0.5
1845,,-0.1
1845,,-0.2
1845,,-0.3
1845,,-0.1
1845,,0.4
1845,,1.5
1845,,2.5
1845,,3.6
1846,,4.3
1846,,4.5
1846,,3.7
1846,,2.8
1846,,1.1
1846,,-1.4
1846,,1.0
1846,,1.6
1846,,1.6
1846,,2.0
1846,,3.0
1846,,4.7
1847,,6.9
1847,,10.1
1847,,9.8
1847,,11.8
1847,,12.5
1847,,14.3
1847,,12.0
1847,,11.9
1847,,11.9
1847,,9.3
1847,,6.8
1847,,4.8
1848,,3.4
1848,,2.7
1848,,3.1
1848,,2.6
1848,,1.9
1848,,1.5
1848,,-1.0
1848,,-2.2
1848,,-2.0
1848,,-2.9
1848,,-4.4
1848,,-5.4
1849,,-4.1
1849,,-4.7
1849,,-1.5
1849,,-2.2
1849,,-2.1
1849,,-2.5
1849,,-0.7
1849,,-1.3
1849,,-0.7
1849,,-0.7
1849,,-0.5
1849,,0.1
1850,,0.2
