Year,"1832-1975: BEA Fixd Reprod Tangible Wlth of the United States, 1925-75: Table B4, pp. 343-344, Invest in Fixed Nonres bus capital, equip&structures","1832-1975: BEA Fixd Reprod Tangible Wlth of the United States, 1925-75: Table B4, pp. 343-344, Invest in Fixed Nonres bus capital, equip&structures","1901-2010: BEA Wealth Table 4.8, line 1 (Investment in Fixed Nonres capital), accessed 9/2/2011","1901-2010: BEA Wealth Table 4.8, line 1 (Investment in Fixed Nonres capital), accessed 9/2/2011",Spliced,Spliced,"FRED GPDIC1, Real Gross Private Domestic Investment, Billions of Chained 2017$, annual avg of quarterly. Source: https://fred.stlouisfed.org/series/GPDIC1. Pulled via pull_fred_ch02.py. NOTE: Uses REAL investment (chained 2017$), fixing the nominal/real mismatch from the prior GPDI extension.","Spliced Shaikh S002 (1832-2010) + FRED GPDIC1 real investment (post-2010), re-indexed to 1958=100 at splice year."
,S002-A,S002-B,S002-C,S002-D,S002-E,S002,S002-EXT,S002-COMBINED
1832,70.0,0.4666666666666667,,,0.4666666666666667,0.08057415610727653,,0.08057415610727653
1833,43.0,0.2866666666666667,,,0.2866666666666667,0.049495553037327014,,0.049495553037327014
1834,77.0,0.5133333333333333,,,0.5133333333333333,0.08863157171800418,,0.08863157171800418
1835,51.0,0.34,,,0.34,0.05870402802101576,,0.05870402802101576
1836,107.0,0.7133333333333334,,,0.7133333333333334,0.123163352906837,,0.123163352906837
1837,132.0,0.88,,,0.88,0.15193983723086432,,0.15193983723086432
1838,196.0,1.3066666666666666,,,1.3066666666666666,0.22560763710037426,,0.22560763710037426
1839,160.0,1.0666666666666667,,,1.0666666666666667,0.18416949967377494,,0.18416949967377494
1840,197.0,1.3133333333333332,,,1.3133333333333332,0.22675869647333535,,0.22675869647333535
1841,254.0,1.6933333333333334,,,1.6933333333333334,0.2923690807321177,,0.2923690807321177
1842,203.0,1.3533333333333333,,,1.3533333333333333,0.2336650527111019,,0.2336650527111019
1843,115.0,0.7666666666666667,,,0.7666666666666667,0.13237182789052573,,0.13237182789052573
1844,75.0,0.5,,,0.5,0.086329452972082,,0.086329452972082
1845,116.0,0.7733333333333333,,,0.7733333333333333,0.13352288726348682,,0.13352288726348682
1846,135.0,0.9,,,0.9,0.1553930153497476,,0.1553930153497476
1847,100.0,0.6666666666666666,,,0.6666666666666666,0.11510593729610931,,0.11510593729610931
1848,385.0,2.566666666666667,,,2.566666666666667,0.44315785859002094,,0.44315785859002094
1849,361.0,2.4066666666666667,,,2.4066666666666667,0.4155324336389547,,0.4155324336389547
1850,470.0,3.1333333333333333,,,3.1333333333333333,0.5409979052917138,,0.5409979052917138
1851,462.0,3.08,,,3.08,0.5317894303080251,,0.5317894303080251
1852,912.0,6.08,,,6.08,1.0497661481405172,,1.0497661481405172
1853,869.0,5.793333333333333,,,5.793333333333333,1.0002705951031898,,1.0002705951031898
1854,1339.0,8.926666666666666,,,8.926666666666666,1.5412685003949038,,1.5412685003949038
1855,1498.0,9.986666666666666,,,9.986666666666666,1.7242869406957178,,1.7242869406957178
1856,1134.0,7.56,,,7.56,1.3053013289378799,,1.3053013289378799
1857,1394.0,9.293333333333333,,,9.293333333333333,1.6045767659077639,,1.6045767659077639
1858,1431.0,9.54,,,9.54,1.6471659627073243,,1.6471659627073243
1859,1298.0,8.653333333333334,,,8.653333333333334,1.4940750661034992,,1.4940750661034992
1860,1242.0,8.28,,,8.28,1.4296157412176778,,1.4296157412176778
1861,1197.0,7.98,,,7.98,1.3778180694344286,,1.3778180694344286
1862,1067.0,7.113333333333333,,,7.113333333333333,1.2281803509494866,,1.2281803509494866
1863,718.0,4.786666666666667,,,4.786666666666667,0.826460629786065,,0.826460629786065
1864,819.0,5.46,,,5.46,0.9427176264551353,,0.9427176264551353
1865,762.0,5.08,,,5.08,0.877107242196353,,0.877107242196353
1866,1102.0,7.346666666666667,,,7.346666666666667,1.2684674290031248,,1.2684674290031248
1867,1560.0,10.4,,,10.4,1.7956526218193056,,1.7956526218193056
1868,1763.0,11.753333333333334,,,11.753333333333334,2.029317674530408,,2.029317674530408
1869,2525.0,16.833333333333332,,,16.833333333333332,2.9064249167267606,,2.9064249167267606
