Year,"1860-1959 from Long Term Eco Growth, US BEA, TA15, p. 185, indexed to 1913 = 100","1860-1959 from Long Term Eco Growth, US BEA, TA15, p. 185, indexed to 1958 = 100","1919-2010 from FRB, G-17, Industrial Production Index, All","INDUSTRIAL PRODUCTION, U.S.: 1860- present_Spliced at 1919: HS series 1860-1918, FRB series 1919-2010, reindexed to 1958 1860-1959 from Long Term Eco Growth, US BEA, TA15, p. 185, indexed to 1913 = 10","INDUSTRIAL PRODUCTION, U.S.: 1860- present_Spliced at 1919: HS series 1860-1918, FRB series 1919-2010, reindexed to 1958 1860-1959 from Long Term Eco Growth, US BEA, TA15, p. 185, indexed to 1913 = 10","FRED INDPRO, Industrial Production Total Index, 2017=100, annual avg of monthly. Source: https://fred.stlouisfed.org/series/INDPRO. Pulled via pull_fred_ch02.py.","Spliced Shaikh S001 (1860-2010) + FRED INDPRO (post-2010), re-indexed to 1958=100 at splice year. Same underlying FRB G-17 series."
,S001-A,S001-B,S001-C,S001-D,S001,S001-EXT,S001-COMBINED
1860,7.48,1.636761487964989,,,1.636761487964989,,1.636761487964989
1861,7.49,1.6389496717724288,,,1.6389496717724288,,1.6389496717724288
1862,6.94,1.5185995623632385,,,1.5185995623632385,,1.5185995623632385
1863,7.88,1.724288840262582,,,1.724288840262582,,1.724288840262582
1864,8.35,1.8271334792122538,,,1.8271334792122538,,1.8271334792122538
1865,8.0,1.75054704595186,,,1.75054704595186,,1.75054704595186
1866,9.84,2.1531728665207877,,,2.1531728665207877,,2.1531728665207877
1867,10.3,2.25382932166302,,,2.25382932166302,,2.25382932166302
1868,10.8,2.363238512035011,,,2.363238512035011,,2.363238512035011
1869,11.6,2.538293216630197,,,2.538293216630197,,2.538293216630197
1870,11.7,2.560175054704595,,,2.560175054704595,,2.560175054704595
1871,12.3,2.691466083150985,,,2.691466083150985,,2.691466083150985
1872,14.6,3.1947483588621446,,,3.1947483588621446,,3.1947483588621446
1873,14.4,3.150984682713348,,,3.150984682713348,,3.150984682713348
1874,13.9,3.0415754923413565,,,3.0415754923413565,,3.0415754923413565
1875,13.5,2.9540481400437635,,,2.9540481400437635,,2.9540481400437635
1876,13.4,2.9321663019693656,,,2.9321663019693656,,2.9321663019693656
1877,14.6,3.1947483588621446,,,3.1947483588621446,,3.1947483588621446
1878,15.5,3.3916849015317285,,,3.3916849015317285,,3.3916849015317285
1879,17.5,3.8293216630196936,,,3.8293216630196936,,3.8293216630196936
1880,20.3,4.442013129102845,,,4.442013129102845,,4.442013129102845
1881,22.3,4.87964989059081,,,4.87964989059081,,4.87964989059081
1882,23.9,5.229759299781182,,,5.229759299781182,,5.229759299781182
1883,24.4,5.339168490153173,,,5.339168490153173,,5.339168490153173
1884,23.1,5.054704595185996,,,5.054704595185996,,5.054704595185996
