Year,"Sahr/MeasuringWorth: Inflation conversion factors, 1780-2010","US CPI, 1982-84=100. Sahr (1780-1785), MeasuringWorth (1786-2010)","BLS Manufacturing Productivity, Output per hour index, 1958=100, 1889-2010","BLS Manufacturing Output per hour in 1958 dollars, 1889-2010","BLS Manufacturing Real Unit Labor Cost, 1889=100, 1889-2010","BLS Manufacturing Real Compensation, 1889=100, 1889-2010","Mfg Production Worker Real Compensation (comp/hr / CPI), 1790-2010. Sources: MeasuringWorth + BLS","MeasuringWorth, US CPI 1982-84=100, 1774-2024. Citation: Officer & Williamson 2025. Extends S008 CPI component only","Combined: Shaikh (1780-2010) + MeasuringWorth CPI (2011-2024), re-indexed at splice year 2010"
,S008-A,S008-B,S008-C,S008-D,S008-E,S008-F,S008,S008-EXT,S008-COMBINED
1992,15.63,140.3,485.1313969571231,3.221807555238774,764.4037502056033,63.69050416968314,63.4508009272615,140.3,63.4508009272615
1993,16.12,144.5,499.65421853388654,3.2262311418685123,765.4532871972318,62.173475335795324,61.1902131391087,144.5,61.1902131391087
1994,16.56,148.2,512.4481327800829,3.2315465587044536,766.7144191840547,59.739786978401014,58.9449989727982,148.2,58.9449989727982
1995,16.66,152.4,526.9709543568464,3.1614645669291344,750.086816071068,56.56717988209073,56.7076529523663,152.4,56.7076529523663
1996,16.84,156.9,542.5311203319502,3.103969407265774,736.4455557189782,53.65843200291272,54.4786196121212,156.9,54.4786196121212
1997,18.12,160.5,554.9792531120331,3.264986915887851,774.648454349389,54.224039021778935,52.2569669568477,160.5,52.2569669568477
1998,18.18,163.0,563.6237897648685,3.2255558282208594,765.2930627654555,50.880377510829824,50.0335767952093,163.0,50.0335767952093
1999,18.75,166.6,576.0719225449516,3.2548019207683074,772.2319697109613,48.41323824754314,47.818961266301,166.6,47.818961266301
2000,19.36,172.2,595.4356846473029,3.2514006968641116,771.424997766461,44.87705088438541,45.6320967412657,172.2,45.6320967412657
2001,19.36,177.1,612.3789764868603,3.16144099378882,750.0812231247013,42.72131124016641,43.4978699785833,177.1,43.4978699785833
2002,21.02,179.9,622.060857538036,3.3790906058921624,801.7206140163337,41.41585367633304,41.4336467693212,179.9,41.4336467693212
2003,21.54,184.0,636.237897648686,3.3855260869565216,803.2474916387959,38.35002791727892,39.4490142047605,184.0,39.4490142047605
2004,23.07,188.9,653.1811894882434,3.531944944415035,837.9867247627967,36.84196954753615,37.5534229084897,188.9,37.5534229084897
2005,23.92,195.3,675.311203319502,3.5420706605222736,840.3891449052737,35.35294800221298,35.7453333620493,195.3,35.7453333620493
2006,24.37,201.6,697.0954356846472,3.4959345238095243,829.4429181929182,33.68549699847968,34.0160718178949,201.6,34.0160718178949
2007,25.07,207.34,716.9432918395573,3.4967898138323528,829.6458436904081,31.70002592584289,32.3530111948619,207.34,32.3530111948619
2008,25.87,215.3,744.4674965421852,3.4749670227589413,824.4681839294008,31.386119249347733,30.7402636936064,215.3,30.7402636936064
2009,26.15,214.54,741.8395573997233,3.525020975109537,836.3439487705359,29.551607748136977,29.1554114028361,214.54,29.1554114028361
2010,26.44,218.06,754.0110650069156,3.5065798404108963,831.968618376029,28.77588462356446,27.5825337743226,218.06,27.5825337743226
2011,,,,,,,,224.94,28.452789
