,"Bain (1951), Table 1, p.312, Census code","Bain (1951), Table 1, p.312, Percent","Bain (1951), Table 1, p.312, Percent"
Year,S842-A,S842-B,S842-C
1,222.0,100.0,9.0
2,1652.0,99.4,14.4
3,1314.0,99.3,15.8
4,108.0,97.3,16.9
5,113.0,95.0,9.3
6,1408.0,94.2,16.3
7,803.0,90.4,8.2
8,629.0,90.2,12.1
9,1301.0,87.7,9.1
10,1022.0,86.4,10.1
11,1123.0,85.6,9.1
12,1636.0,84.9,12.9
13,1647.0,84.3,11.7
14,1405.0,84.0,2.8
15,1201.0,83.7,9.7
16,631.0,83.1,15.2
17,1634.0,82.8,12.3
18,1218.0,82.2,4.7
19,1315.0,79.7,14.0
20,1401.0,72.8,20.8
21,133.0,71.4,14.2
22,1638.0,68.2,7.4
23,201.0,68.2,4.7
24,1112.0,63.8,4.9
25,123.0,63.5,3.6
26,1102.0,63.0,8.6
27,705.0,58.9,6.8
28,1126.0,54.0,7.5
29,115.0,54.0,1.8
30,1608.0,50.7,6.9
31,1104.0,49.0,18.3
32,1325.0,47.4,2.2
33,1002.0,44.7,5.4
34,116.0,37.0,7.6
35,907.0,34.3,0.8
36,1117.0,32.9,8.2
37,904.0,30.8,7.5
38,105.0,30.4,7.4
39,209.0,27.1,8.4
40,408.0,23.7,12.4
41,112.0,19.9,17.0
42,311.0,7.6,9.1
