CR4 Midpoint,"Figure 8.2: Percentage of Firms Whose Prices Increase or Stay Stable During Contractions, in Relatio; Column: Contraction 7/57-4/58","Figure 8.2: Percentage of Firms Whose Prices Increase or Stay Stable During Contractions, in Relatio; Column: Contraction 1/60-1/61","Figure 8.2: Percentage of Firms Whose Prices Increase or Stay Stable During Contractions, in Relatio; Column: Contraction 11/69-11/70"
,FPR008_C1,FPR008_C2,FPR008_C3
20,37.5,50.0,81.6
50,58.6,44.8,85.2
80,66.7,38.9,84.0
