Index,"Figure 8.4: Rate of Profit on Equity vs. CR8, Grouped Data Source: Bain 1951, Table 1, p. 312 Averag; Column: Concentration Range Lower Bound","Figure 8.4: Rate of Profit on Equity vs. CR8, Grouped Data Source: Bain 1951, Table 1, p. 312 Averag; Column: Concentration Range Upper Bound","Figure 8.4: Rate of Profit on Equity vs. CR8, Grouped Data Source: Bain 1951, Table 1, p. 312 Averag; Column: Number of Industries","Figure 8.4: Rate of Profit on Equity vs. CR8, Grouped Data Source: Bain 1951, Table 1, p. 312 Averag; Column: Average of Industry Average Profit Rates1"
,FPR008_C1,FPR008_C2,FPR008_C3,FPR008_C4
1,0.0,9.9,1.0,9.1
2,10.0,19.9,1.0,17.0
3,20.0,29.9,2.0,10.4
4,30.0,39.9,5.0,6.3
5,40.0,49.9,2.0,8.3
6,50.0,59.9,4.0,5.8
7,60.0,69.9,5.0,5.8
8,70.0,79.9,3.0,16.3
9,80.0,89.9,11.0,10.5
10,90.0,100.0,8.0,12.7
