CR4 Ranges,"Figure 8.6: Rates of Return and Concentration (CR4), 1963 and 1969 - Source: Demsetz 1973, Table 4, ; Column: 1963","Figure 8.6: Rates of Return and Concentration (CR4), 1963 and 1969 - Source: Demsetz 1973, Table 4, ; Column: 1969"
,FPR008_C1,FPR008_C2
10-20,9.2,9.7
20-30,8.4,8.3
30-40,8.7,8.4
40-50,8.3,7.9
50-60,10.1,9.2
60+,12.5,7.4
