,"Demsetz (1973), Table 4, p.19, Percent","Demsetz (1973), Table 4, p.19, Percent"
Year,S845-A,S845-B
1,9.2,9.7
2,8.4,8.3
3,8.7,8.4
4,8.3,7.9
5,10.1,9.2
6,12.5,7.4
