,"Stigler (1963), Table 17, p.68, Percent","Stigler (1963), Table 17, p.68, Percent"
Year,S844-A,S844-B
1,5.25,6.5
2,7.6,6.2
3,10.0,7.3
4,8.0,9.1
5,5.1,6.3
6,5.4,7.0
7,6.891666666666667,7.066666666666666
