Time Period,"Figure 8.5: Rate of Profit on Assets (%) - Source: Stigler 1963, Table 17, p. 68; Column: Unconcentrated Industries","Figure 8.5: Rate of Profit on Assets (%) - Source: Stigler 1963, Table 17, p. 68; Column: Concentrated Industries"
,FPR008_C1,FPR008_C2
1939-41,5.25,6.5
1942-44,7.6,6.2
1945-47,10.0,7.3
1948-50,8.0,9.1
1951-54,5.1,6.3
1955-57,5.4,7.0
Average,6.891666666666667,7.066666666666666
