year,value,subseries_id,source_id,units
1970,0.1455,S703-A,MACHINE_DIGITIZED_FIG713_WORLDAVG,rate_decimal
1971,0.1432,S703-A,MACHINE_DIGITIZED_FIG713_WORLDAVG,rate_decimal
1972,0.148,S703-A,MACHINE_DIGITIZED_FIG713_WORLDAVG,rate_decimal
1973,0.1563,S703-A,MACHINE_DIGITIZED_FIG713_WORLDAVG,rate_decimal
1975,0.1276,S703-A,MACHINE_DIGITIZED_FIG713_WORLDAVG,rate_decimal
1976,0.1395,S703-A,MACHINE_DIGITIZED_FIG713_WORLDAVG,rate_decimal
1977,0.1411,S703-A,MACHINE_DIGITIZED_FIG713_WORLDAVG,rate_decimal
1978,0.1434,S703-A,MACHINE_DIGITIZED_FIG713_WORLDAVG,rate_decimal
1979,0.1421,S703-A,MACHINE_DIGITIZED_FIG713_WORLDAVG,rate_decimal
1980,0.1309,S703-A,MACHINE_DIGITIZED_FIG713_WORLDAVG,rate_decimal
1981,0.1284,S703-A,MACHINE_DIGITIZED_FIG713_WORLDAVG,rate_decimal
1982,0.119,S703-A,MACHINE_DIGITIZED_FIG713_WORLDAVG,rate_decimal
1983,0.1325,S703-A,MACHINE_DIGITIZED_FIG713_WORLDAVG,rate_decimal
1984,0.1424,S703-A,MACHINE_DIGITIZED_FIG713_WORLDAVG,rate_decimal
1985,0.1426,S703-A,MACHINE_DIGITIZED_FIG713_WORLDAVG,rate_decimal
1986,0.1425,S703-A,MACHINE_DIGITIZED_FIG713_WORLDAVG,rate_decimal
1987,0.1436,S703-A,MACHINE_DIGITIZED_FIG713_WORLDAVG,rate_decimal
1988,0.1608,S703-A,MACHINE_DIGITIZED_FIG713_WORLDAVG,rate_decimal
1989,0.1603,S703-A,MACHINE_DIGITIZED_FIG713_WORLDAVG,rate_decimal
1990,0.1562,S703-A,MACHINE_DIGITIZED_FIG713_WORLDAVG,rate_decimal
