,"Long Term Eco Growth 1860-1970, BEA, Series A173, p.211 (1958=100), Index 1958=100","BLS International Data, Table 1 (2002=100), Index 2002=100","Derived from S007-A+S007-B, calculated. Formula: Derived combination of A and B series","Derived from S007-C, splice. Formula: Spliced at 1950",Composite final series,Composite final series,Composite final series
Year,S007-A,S007-B,S007-C,S007-D,S007,S007-EXT,S007-F
1874,15.8,15.8,,,15.8,,
1884,23.9,23.9,,,23.9,,
1889,22.2,22.2,,,22.2,,
1890,23.9,23.9,,,23.9,,
1891,24.3,24.3,,,24.3,,
1892,26.7,26.700000000000003,,,26.700000000000003,,
1893,25.5,25.5,,,25.5,,
1894,25.8,25.8,,,25.8,,
1895,27.4,27.399999999999995,,,27.399999999999995,,
1896,25.9,25.900000000000002,,,25.900000000000002,,
1897,27.7,27.699999999999996,,,27.699999999999996,,
1898,27.9,27.9,,,27.9,,
1899,28.6,28.6,,,28.6,,
1900,29.0,28.999999999999996,,,28.999999999999996,,
1901,31.6,31.6,,,31.6,,
1902,30.1,30.099999999999998,,,30.099999999999998,,
1903,30.6,30.599999999999998,,,30.599999999999998,,
1904,30.6,30.599999999999998,,,30.599999999999998,,
1905,31.3,31.3,,,31.3,,
1906,33.7,33.7,,,33.7,,
1907,33.9,33.9,,,33.9,,
1908,32.1,32.1,,,32.1,,
1909,35.0,35.0,,,35.0,,
1910,33.9,33.9,,,33.9,,
1911,35.3,35.3,,,35.3,,
1912,34.8,34.8,,,34.8,,
1913,37.1,37.1,,,37.1,,
1914,33.9,33.9,,,33.9,,
1915,34.8,34.8,,,34.8,,
1916,38.6,38.6,,,38.6,,
1917,35.7,35.7,,,35.7,,
1918,40.1,40.1,,,40.1,,
1919,43.1,43.1,,,43.1,,
1920,43.0,43.0,,,43.0,,
1921,46.6,46.6,,,46.6,,
1922,45.4,45.4,,,45.4,,
1923,47.5,47.5,,,47.5,,
1924,50.5,50.5,,,50.5,,
1925,50.1,50.1,,,50.1,,
1926,51.4,51.4,,,51.4,,
1927,51.6,51.6,,,51.6,,
1928,52.0,52.0,,,52.0,,
1929,54.1,54.1,,,54.1,,
1930,52.5,52.5,,,52.5,,
1931,53.3,53.29999999999999,,,53.29999999999999,,
1932,51.6,51.6,,,51.6,,
1933,50.4,50.4,,,50.4,,
1934,55.9,55.89999999999999,,,55.89999999999999,,
1935,57.7,57.70000000000001,,,57.70000000000001,,
1936,60.2,60.199999999999996,,,60.199999999999996,,
1937,59.7,59.699999999999996,,,59.699999999999996,,
1938,61.4,61.4,,,61.4,,
1939,63.6,63.6,,,63.6,,
1940,66.1,66.1,,,66.1,,
