,"BEA Fixed Reprod Tangible Wealth of the US, 1925-75: Table B4, pp. 343-344, Millions of 1958 dollars","Derived from S002-A, reindex. Formula: S002-B[t] = S002-A[t] / S002-A[1901] * 100","BEA Wealth Table 4.8, line 1, accessed 9/2/2011, Billions of 2005 dollars","Derived from S002-C, reindex. Formula: S002-D[t] = S002-C[t] / S002-C[1901] * 100","Derived from S002-B+S002-D, splice. Formula: S002-B for t<1929, S002-D for t>=1929",Composite final series,Composite final series,Composite final series
Year,S002-A,S002-B,S002-C,S002-D,S002-E,S002,S002-EXT,S002-F
1832,70.0,0.4666666666666667,,,0.4666666666666667,0.0805741561072765,,
1833,43.0,0.2866666666666667,,,0.2866666666666667,0.049495553037327,,
1834,77.0,0.5133333333333333,,,0.5133333333333333,0.0886315717180041,,
1835,51.0,0.34,,,0.34,0.0587040280210157,,
1836,107.0,0.7133333333333334,,,0.7133333333333334,0.123163352906837,,
1837,132.0,0.88,,,0.88,0.1519398372308643,,
1838,196.0,1.3066666666666666,,,1.3066666666666666,0.2256076371003742,,
1839,160.0,1.0666666666666669,,,1.0666666666666669,0.1841694996737749,,
1840,197.0,1.3133333333333332,,,1.3133333333333332,0.2267586964733353,,
1841,254.0,1.6933333333333334,,,1.6933333333333334,0.2923690807321177,,
1842,203.0,1.3533333333333333,,,1.3533333333333333,0.2336650527111019,,
1843,115.0,0.7666666666666667,,,0.7666666666666667,0.1323718278905257,,
1844,75.0,0.5,,,0.5,0.086329452972082,,
1845,116.0,0.7733333333333333,,,0.7733333333333333,0.1335228872634868,,
1846,135.0,0.9,,,0.9,0.1553930153497476,,
1847,100.0,0.6666666666666666,,,0.6666666666666666,0.1151059372961093,,
1848,385.0,2.566666666666667,,,2.566666666666667,0.4431578585900209,,
1849,361.0,2.4066666666666667,,,2.4066666666666667,0.4155324336389547,,
1850,470.0,3.1333333333333333,,,3.1333333333333333,0.5409979052917138,,
1851,462.0,3.08,,,3.08,0.5317894303080251,,
1852,912.0,6.08,,,6.08,1.0497661481405172,,
1853,869.0,5.793333333333333,,,5.793333333333333,1.0002705951031898,,
1854,1339.0,8.926666666666666,,,8.926666666666666,1.5412685003949038,,
1855,1498.0,9.986666666666666,,,9.986666666666666,1.7242869406957178,,
1856,1134.0,7.56,,,7.56,1.30530132893788,,
1857,1394.0,9.293333333333331,,,9.293333333333331,1.604576765907764,,
1858,1431.0,9.54,,,9.54,1.6471659627073243,,
1859,1298.0,8.653333333333334,,,8.653333333333334,1.4940750661034992,,
1860,1242.0,8.28,,,8.28,1.4296157412176778,,
1861,1197.0,7.98,,,7.98,1.3778180694344286,,
1862,1067.0,7.113333333333333,,,7.113333333333333,1.2281803509494866,,
1863,718.0,4.786666666666667,,,4.786666666666667,0.826460629786065,,
1864,819.0,5.46,,,5.46,0.9427176264551352,,
1865,762.0,5.08,,,5.08,0.877107242196353,,
1866,1102.0,7.346666666666667,,,7.346666666666667,1.2684674290031248,,
1867,1560.0,10.4,,,10.4,1.7956526218193056,,
1868,1763.0,11.753333333333334,,,11.753333333333334,2.029317674530408,,
1869,2525.0,16.833333333333332,,,16.833333333333332,2.9064249167267606,,
1870,3882.0,25.88,,,25.88,4.468412485834964,,
1871,3613.0,24.086666666666662,,,24.086666666666662,4.158777514508429,,
1872,4219.0,28.126666666666665,,,28.126666666666665,4.856319494522852,,
1873,3774.0,25.16,,,25.16,4.344098073555166,,
1874,2951.0,19.67333333333333,,,19.67333333333333,3.396776209608186,,
1875,2548.0,16.986666666666668,,,16.986666666666668,2.9328992823048656,,
1876,2668.0,17.786666666666665,,,17.786666666666665,3.0710264070601965,,
1877,3016.0,20.106666666666666,,,20.106666666666666,3.471595068850657,,
1878,3832.0,25.546666666666667,,,25.546666666666667,4.41085951718691,,
1879,3554.0,23.69333333333333,,,23.69333333333333,4.090865011503725,,
1880,4083.0,27.22,,,27.22,4.699775419800144,,
1881,7558.0,50.38666666666666,,,50.38666666666666,8.699706740839941,,
1882,7378.0,49.18666666666667,,,49.18666666666667,8.492516053706947,,
1883,6156.0,41.04,,,41.04,7.0859214999484905,,
1884,5741.0,38.27333333333333,,,38.27333333333333,6.608231860169637,,
1885,4627.0,30.846666666666668,,,30.846666666666668,5.32595171869098,,
1886,4617.0,30.78,,,30.78,5.314441124961368,,
1887,7882.0,52.54666666666667,,,52.54666666666667,9.07264997767934,,
1888,7810.0,52.06666666666667,,,52.06666666666667,8.989773702826138,,
1889,8324.0,55.49333333333333,,,55.49333333333333,9.58141822052814,,
1890,10549.0,70.32666666666667,,,70.32666666666667,12.142525325366574,,
1891,9943.0,66.28666666666666,,,66.28666666666666,11.44498334535215,,
1892,9992.0,66.61333333333333,,,66.61333333333333,11.501385254627245,,
1893,10372.0,69.14666666666666,,,69.14666666666666,11.93878781635246,,
1894,9202.0,61.34666666666666,,,61.34666666666666,10.59204834998798,,
1895,9914.0,66.09333333333333,,,66.09333333333333,11.41160262353628,,
1896,12348.0,82.32,,,82.32,14.21328113732358,,
1897,12417.0,82.78,,,82.78,14.292704234057895,,
1898,11867.0,79.11333333333333,,,79.11333333333333,13.659621578929292,,
1899,13322.0,88.81333333333333,,,88.81333333333333,15.334412966587683,,
1900,14471.0,96.47333333333331,,,96.47333333333331,16.656980186119977,,
1901,15000.0,100.0,1.676,100.0,100.0,17.265890594416398,,
1902,18456.0,123.04,2.046,122.0763723150358,122.0763723150358,21.077572885546516,,
1903,19966.0,133.10666666666663,2.191,130.72792362768496,130.72792362768496,22.571340269908312,,
1904,17078.0,113.85333333333334,1.949,116.28878281622912,116.28878281622912,20.078294014628614,,
1905,17537.0,116.91333333333333,2.0,119.33174224343676,119.33174224343676,20.60368806016277,,
1906,20528.0,136.85333333333332,2.322,138.54415274463008,138.54415274463008,23.92088183784897,,
1907,22290.0,148.6,2.584,154.1766109785203,154.1766109785203,26.619964973730298,,
1908,17809.0,118.72666666666667,2.013,120.1073985680191,120.1073985680191,20.737612032553823,,
1909,19664.0,131.09333333333333,2.318,138.30548926014322,138.30548926014322,23.87967446172865,,
1910,22819.0,152.1266666666667,2.62,156.32458233890216,156.32458233890216,26.990831358813228,,
1911,21298.0,141.98666666666668,2.45,146.18138424821004,146.18138424821004,25.23951787369939,,
1912,23872.0,159.14666666666668,2.787,166.28878281622912,166.28878281622912,28.711239311836813,,
1913,24296.0,161.97333333333333,2.904,173.26968973747017,173.26968973747017,29.91655506335634,,
1914,18633.0,124.22,2.361,140.8711217183771,140.8711217183771,24.322653755022152,,
1915,16211.0,108.07333333333334,2.195,130.96658711217182,130.96658711217182,22.612547646028634,,
1916,21013.0,140.08666666666667,2.826,168.61575178997614,168.61575178997614,29.11301122900999,,
1917,22563.0,150.42,3.194,190.5727923627685,190.5727923627685,32.90408983207994,,
1918,20273.0,135.15333333333334,3.35,199.88066825775655,199.88066825775655,34.51117750077264,,
1919,20392.0,135.94666666666666,3.477,207.4582338902148,207.4582338902148,35.81951169259297,,
1920,24025.0,160.16666666666666,4.105,244.928400954654,244.928400954654,42.28906974348409,,
1921,18838.0,125.58666666666667,3.152,188.06682577565635,188.06682577565635,32.471412382816524,,
1922,22741.0,151.60666666666663,3.679,219.5107398568019,219.5107398568019,37.90048418666941,,
1923,28621.0,190.80666666666667,4.881,291.2291169451074,291.2291169451074,50.283300710827234,,
1924,26922.0,179.48,4.406,262.8878281622912,262.8878281622912,45.38992479653857,,
1925,29956.0,199.70666666666668,5.349,319.1527446300716,319.1527446300716,55.104563716905325,,
1926,32949.0,219.66,5.38,321.00238663484487,321.00238663484487,55.42392088183784,,
1927,31811.0,212.07333333333327,5.161,307.9355608591885,307.9355608591885,53.16781703925002,,
1928,31974.0,213.16,5.241,312.708830548926,312.708830548926,53.99196456165652,,
1929,34994.0,233.2933333333333,5.693,339.67780429594274,339.67780429594274,58.648398063253325,,
1930,28951.0,193.00666666666663,4.905,292.66109785202866,292.66109785202866,50.53054496754919,,
1931,,,3.347,199.7016706443914,199.7016706443914,34.480271968682395,,
1932,,,2.174,129.71360381861575,129.71360381861575,22.39620892139693,,
1933,,,1.96,116.94510739856804,116.94510739856804,20.191614298959514,,
1934,,,2.347,140.03579952267302,140.03579952267302,24.178427938601008,,
1935,,,2.847,169.8687350835322,169.8687350835322,29.3293499536417,,
1936,,,3.715,221.6587112171838,221.6587112171838,38.27135057175235,,
1937,,,4.417,263.5441527446301,263.5441527446301,45.50324508086948,,
1938,,,3.393,202.44630071599045,202.44630071599045,34.95415679406613,,
1939,,,3.697,220.58472553699283,220.58472553699283,38.08591737921088,,
1940,,,4.434,264.5584725536993,264.5584725536993,45.678376429380855,,
1941,,,5.004,298.5680190930788,298.5680190930788,51.55042752652725,,
1942,,,3.214,191.76610978520287,191.76610978520287,33.11012671268157,,
1943,,,2.713,161.87350835322198,161.87350835322198,27.9489028536108,,
1944,,,3.435,204.95226730310264,204.95226730310264,35.38683424332955,,
1945,,,4.765,284.30787589498806,284.30787589498806,49.0882868033378,,
1946,,,6.863,409.48687350835326,409.48687350835326,70.70155557844853,,
