,"IRS SOI 2011, income brackets at/above $200,000, Proportion","IRS SOI 2011, survival function for top 3% (Pareto power-law), Probability",Composite final series
Year,S104-A,S104-B,S104
350000,0.0261514392491888,0.006180185160319,0.0261514392491888
750000,0.0041103667435645,0.0020698184167544,0.0041103667435645
1250000,0.0009280235074249,0.0011417949093295,0.0009280235074249
1750000,0.0003851269695915,0.0007566679397379,0.0003851269695915
3500009,0.0005459370501142,0.0002107308896236,0.0005459370501142
7500000,0.0001320008827116,7.873000691205334e-05,0.0001320008827116
