,"S042-G, Percent","S042-H, Percent","S052-A (composite), Percent",Composite final series
Year,S055-A,S055-B,S055-C,S055
1857,,,7.731338749999996,
1858,,,7.094869999999997,
1859,,,6.809896249999996,
1860,,,6.614164999999996,
1861,,,6.929433749999999,
1862,,,6.037282499999999,
1863,,,5.213112499999996,
1864,,,5.290675000000003,
1865,,,6.596097499999996,
1866,,,6.974419999999996,
1867,,,6.92833875,
1868,,,6.853696249999996,
1869,,,7.142776249999995,
1870,,,7.017124999999996,
1871,5.855855855855856,5.32,6.944489999999999,5.855855855855856
1872,6.172839506172839,5.36,6.772757500000004,6.172839506172839
1873,6.457925636007827,5.58,6.80433,6.457925636007827
1874,7.081545064377682,5.47,6.461503750000003,7.081545064377682
1875,6.607929515418502,5.07,5.976783749999999,6.607929515418502
1876,6.726457399103139,4.59,5.6595075,6.726457399103139
1877,5.352112676056338,4.45,5.66991,5.352112676056338
1878,5.538461538461538,4.34,5.587693750000003,5.538461538461538
1879,5.58659217877095,4.22,5.21575875,5.58659217877095
1880,5.088062622309197,4.02,4.892368750000004,5.088062622309197
1881,5.169628432956381,3.7,4.534303750000004,5.169628432956381
1882,5.405405405405405,3.62,4.5962625,5.405405405405405
1883,5.679862306368331,3.63,4.619074999999996,5.679862306368331
1884,5.984555984555985,3.62,4.561678750000003,5.984555984555985
1885,5.660377358490566,3.52,4.343956249999996,5.660377358490566
1886,4.230769230769231,3.37,4.046481250000004,4.230769230769231
1887,4.480286738351254,3.52,4.117017499999996,4.480286738351254
1888,4.331450094161959,3.67,4.036626250000003,4.331450094161959
1889,4.198473282442748,3.45,3.87931125,4.198473282442748
1890,4.089219330855019,3.42,4.016368750000003,4.089219330855019
1891,4.545454545454546,3.62,4.198047499999996,4.545454545454546
1892,4.355716878402904,3.6,4.070845000000003,4.355716878402904
1893,4.45632798573975,3.75,4.18317375,4.45632798573975
1894,4.861111111111111,3.7,3.946836250000004,4.861111111111111
1895,4.470588235294118,3.46,3.804394999999996,4.470588235294118
1896,4.215456674473068,3.6,3.852301249999997,4.215456674473068
1897,4.265402843601896,3.4,3.637225000000004,4.265402843601896
1898,4.098360655737705,3.35,3.572985,4.098360655737705
1899,3.4539473684210527,3.1,3.427806250000004,3.4539473684210527
1900,4.918032786885246,3.15,3.484198750000004,4.918032786885246
1901,4.526166902404526,3.1,3.4832862499999964,4.526166902404526
1902,4.064039408866996,3.18,3.566779999999996,4.064039408866996
1903,4.137115839243498,3.3,3.822462499999996,4.137115839243498
1904,4.640718562874252,3.4,3.847738750000004,4.640718562874252
1905,3.914590747330961,3.48,3.79061625,3.914590747330961
1906,4.052684903748734,3.43,3.892542499999996,4.052684903748734
1907,4.602510460251046,3.67,4.136818750000003,4.602510460251046
1908,5.839416058394161,3.87,4.10597625,5.839416058394161
1909,4.856512141280353,3.76,4.00551,4.856512141280353
1910,4.662698412698413,3.91,4.17112875,4.662698412698413
1911,5.070118662351672,3.98,4.210275,5.070118662351672
1912,5.2631578947368425,4.01,4.253710000000003,5.2631578947368425
1913,5.161290322580645,4.45,4.44214125,5.161290322580645
1914,5.017921146953405,4.16,4.462125,5.017921146953405
1915,5.7486631016042775,4.24,4.571260000000003,5.7486631016042775
1916,6.002143622722402,4.05,4.422340000000004,6.002143622722402
1917,7.210031347962382,4.23,4.698280000000004,7.210031347962382
1918,7.905686546463245,4.57,5.110000000000003,7.905686546463245
1919,6.751592356687898,4.5,5.160826249999996,6.751592356687898
1920,5.775764439411098,4.97,5.658412500000001,5.775764439411098
1921,6.469760900140646,5.09,5.455746250000003,6.469760900140646
1922,6.986301369863014,4.3,4.798472500000004,6.986301369863014
1923,5.955056179775281,4.36,5.007617500000004,5.955056179775281
1924,6.2287655719139305,4.06,4.93845,6.2287655719139305
1925,5.671077504725898,3.86,4.873114999999997,5.671077504725898
1926,5.454545454545454,3.68,4.734871249999996,5.454545454545454
1927,5.746268656716418,3.34,4.560492499999996,5.746268656716418
1928,4.848830576155162,3.33,4.62664875,4.848830576155162
1929,3.9018503620273535,3.6,4.905964999999996,3.9018503620273535
1930,4.51404882542607,3.29,4.6521075,4.51404882542607
1931,5.131414267834793,3.34,4.5732675,5.131414267834793
1932,6.024096385542168,3.68,5.102243749999997,6.024096385542168
1933,6.205923836389281,3.31,4.61871,6.205923836389281
1934,4.269449715370019,3.12,4.177607500000003,4.269449715370019
1935,5.075593952483802,2.79,3.767438749999996,5.075593952483802
1936,5.232558139534884,2.65,3.24,5.232558139534884
1937,4.548038658328596,2.68,3.26,4.548038658328596
1938,4.509283819628647,2.56,3.19,4.509283819628647
1939,4.96,2.36,3.01,4.96
1940,5.447154471544716,2.21,2.84,5.447154471544716
1941,6.729857819905213,1.95,2.77,6.729857819905213
1942,6.606942889137738,2.46,2.83,6.606942889137738
1943,6.045589692765114,2.47,2.73,6.045589692765114
1944,5.40084388185654,2.48,2.72,5.40084388185654
1945,4.892512972572276,2.37,2.62,4.892512972572276
1946,3.940066592674806,2.19,2.53,3.940066592674806
1947,5.522682445759369,2.25,2.61,5.522682445759369
1948,6.271072151045178,2.44,2.82,6.271072151045178
1949,7.421874999999999,2.31,2.66,7.421874999999999
1950,8.708530805687204,2.32,2.62,8.708530805687204
1951,6.647807637906648,2.57,2.86,6.647807637906648
1952,5.828854898718478,2.68,2.96,5.828854898718478
1953,5.538579067990833,2.83,3.2,5.538579067990833
1954,6.048703849175176,2.48,2.9,6.048703849175176
1955,4.606741573033708,2.61,3.06,4.606741573033708
1956,3.941109852774632,2.9,3.36,3.941109852774632
1957,3.940127668941228,3.46,3.89,3.940127668941228
1958,4.255836575875486,3.09,3.79,4.255836575875486
1959,3.290183387270766,4.02,4.38,3.290183387270766
1960,3.3603308633465447,4.72,4.41,3.3603308633465447
1961,3.3824514400535834,3.84,4.35,3.3824514400535834
1962,3.083828000579123,4.08,4.33,3.083828000579123
1963,3.504457423916384,3.83,4.26,3.504457423916384
1964,3.2701111837802483,4.17,4.4,3.2701111837802483
1965,3.1583836507199257,4.19,4.49,3.1583836507199257
1966,3.0754393484783544,4.61,5.13,3.0754393484783544
1967,3.457667258732978,4.58,5.51,3.457667258732978
1968,3.230218855218855,5.53,6.18,3.230218855218855
1969,3.0968247745981965,6.04,7.03,3.0968247745981965
1970,3.4769128557191893,7.79,8.04,3.4769128557191893
1971,3.283773665632688,6.24,7.39,3.283773665632688
1972,3.049370764762827,5.95,7.21,3.049370764762827
1973,2.8542475933119404,6.46,7.44,2.8542475933119404
1974,3.745708042867548,6.99,8.57,3.745708042867548
1975,5.071664829106946,7.5,8.83,5.071664829106946
1976,4.181292587239314,7.74,8.43,4.181292587239314
1977,4.498603217416433,7.21,8.02,4.498603217416433
1978,5.617728531855955,7.96,8.73,5.617728531855955
1979,5.666432654698626,9.1,9.63,5.666432654698626
1980,5.5560566429151255,10.8,11.94,5.5560566429151255
1981,4.986087087312928,12.57,14.17,4.986087087312928
1982,5.857776261937244,14.59,13.79,5.857776261937244
1983,4.914396617453385,10.46,12.04,4.914396617453385
