,"Shaikh Appendix 14, UNEMPLRATE, Rate (decimal)","Shaikh Appendix 14, ulintensity, Index","Shaikh Appendix 14, UNEMPDURATION, Index",Composite final series
Year,S069-A,S069-B,S069-C,S069
1948,0.0374999999999999,0.0320853960396039,0.855610561056105,0.0374999999999999
1949,0.0605000000025,0.0601505775602413,0.994224422442244,0.0605000000025
1950,0.0520833333325,0.062096053354342,1.19224422442244,0.0520833333325
1951,0.0328333333349999,0.0314246424658415,0.957095709570957,0.0328333333349999
1952,0.03025,0.0252582508250825,0.834983498349835,0.03025
1953,0.02925,0.0232165841584158,0.793729372937293,0.02925
1954,0.0559166666674999,0.0653745187028444,1.16914191419141,0.0559166666674999
1955,0.043666666665,0.0560965346513243,1.28465346534653,0.043666666665
1956,0.0412499999975,0.0461169554427496,1.11798679867986,0.0412499999975
1957,0.0429999999975,0.0444900990073144,1.03465346534653,0.0429999999975
1958,0.0684166666675,0.0946656353146844,1.38366336633663,0.0684166666675
1959,0.0544999999999999,0.077523102310231,1.42244224422442,0.0544999999999999
1960,0.055416666665,0.0701852997778671,1.26650165016501,0.055416666665
1961,0.0669166666675,0.103687706271918,1.54950495049505,0.0669166666675
1962,0.0556666666649999,0.0808360836059405,1.45214521452145,0.0556666666649999
1963,0.0564166666675,0.0782013201331683,1.38613861386138,0.0564166666675
1964,0.0515833333349999,0.0678840071529083,1.31600660066006,0.0515833333349999
1965,0.045083333335,0.052634419693915,1.16749174917491,0.045083333335
1966,0.0379166666674999,0.0387926292637788,1.02310231023102,0.0379166666674999
1967,0.0384166666649999,0.0332817656751237,0.866336633663366,0.0384166666649999
1968,0.0355833333324999,0.0296527777770833,0.833333333333333,0.0355833333324999
1969,0.0349166666675,0.0272822469753486,0.781353135313531,0.0349166666675
1970,0.0498333333349999,0.0427612761290428,0.858085808580858,0.0498333333349999
1971,0.0594999999975,0.0668638613833292,1.12376237623762,0.0594999999975
1972,0.0560000000025,0.066580858088781,1.18894389438943,0.0560000000025
1973,0.0485833333324999,0.0481824807472483,0.991749174917491,0.0485833333324999
1974,0.056416666665,0.0543685368520792,0.963696369636963,0.056416666665
1975,0.0847500000024999,0.119573019805507,1.41089108910891,0.0847500000024999
1976,0.0769999999999999,0.120264851485148,1.56188118811881,0.0769999999999999
1977,0.0705,0.0995841584158415,1.41254125412541,0.0705
1978,0.0606666666649999,0.0713283828363242,1.17574257425742,0.0606666666649999
1979,0.0585000000025,0.0626509901016872,1.07095709570957,0.0585000000025
1980,0.0717499999999999,0.0847147277227722,1.18069306930693,0.0717499999999999
1981,0.076166666665,0.10375508800653,1.36221122112211,0.076166666665
1982,0.09708333334,0.150030596819983,1.54537953795379,0.09708333334
1983,0.0959999999999999,0.189544554455445,1.97442244224422,0.0959999999999999
1984,0.0750833333325,0.134493330581565,1.79125412541254,0.0750833333325
1985,0.0719166666649999,0.111138545101934,1.54537953795379,0.0719166666649999
1986,0.07,0.104249174917491,1.48927392739273,0.07
1987,0.0617499999999999,0.0887019389438943,1.43646864686468,0.0617499999999999
1988,0.0549166666675,0.0734034653476485,1.33663366336633,0.0549166666675
1989,0.0525833333324999,0.0619546204610643,1.17821782178217,0.0525833333324999
1990,0.056166666665,0.0666399889969224,1.18646864686468,0.056166666665
1991,0.0685,0.092802805280528,1.35478547854785,0.0685
1992,0.0749166666674999,0.13184591584305,1.75990099009901,0.0749166666674999
1993,0.0690833333325,0.123004812979814,1.78052805280528,0.0690833333325
1994,0.061,0.113494224422442,1.86056105610561,0.061
1995,0.0559166666699999,0.0920410478602722,1.64603960396039,0.0559166666699999
1996,0.0540833333325,0.0895141639150124,1.65511551155115,0.0540833333325
1997,0.0494166666675,0.077264507702073,1.56353135313531,0.0494166666675
1998,0.0449999999975,0.064529702966712,1.43399339933993,0.0449999999975
1999,0.0421666666675,0.0558395214532487,1.32425742574257,0.0421666666675
2000,0.04,0.0500990099009901,1.25247524752475,0.04
2001,0.0476666666674999,0.0617464246435437,1.29537953795379,0.0476666666674999
2002,0.0578333333325,0.0954345434529704,1.65016501650165,0.0578333333325
2003,0.06,0.114257425742574,1.9042904290429,0.06
2004,0.05525,0.107263407590759,1.94141914191419,0.05525
2005,0.051,0.0929950495049505,1.82343234323432,0.051
2006,0.04625,0.0771214933993399,1.66749174917491,0.04625
2007,0.04625,0.0771596534653465,1.66831683168316,0.04625
2008,0.058,0.102169966996699,1.76155115511551,0.058
2009,0.0929999999999999,0.223982673267326,2.40841584158415,0.0929999999999999
2010,0.0962499999999999,0.315274339933993,3.27557755775577,0.0962499999999999
2011,0.0903333333333332,0.352538503850384,3.9026402640264,0.0903333333333332
2012,0.08074999999999999,,3.9059405940594,0.08074999999999999
2013,0.07358333333333335,,3.625293974875082,0.07358333333333335
2014,0.061583333333333344,,3.338043905827603,0.061583333333333344
2015,0.052750000000000005,,2.8824058652695324,0.052750000000000005
2016,0.04875,,2.7230976373207865,0.04875
2017,0.043583333333333335,,2.4771191299180604,0.043583333333333335
2018,0.03891666666666666,,2.2476492471732343,0.03891666666666666
2019,0.03675,,2.1461212055271432,0.03675
2020,0.081,,1.803567243875695,0.081
2021,0.053583333333333344,,2.845261459789255,0.053583333333333344
2022,0.036416666666666674,,2.236093209912704,0.036416666666666674
2023,0.03633333333333333,,2.0437677326481563,0.03633333333333333
2024,0.04033333333333334,,2.145295774294248,0.04033333333333334
2025,0.042300000000000004,,2.29259772976452,0.042300000000000004
2026,,,2.466388523890424,
