,"S074-A, Rate (decimal)","S074-C, Rate (decimal)",Composite final series,Composite final series,Composite final series
Year,S091-A,S091-B,S091,S091-A-EXT,S091-B-EXT
1961,9.824561403508772,20.310697533647897,20.310697533647897,,
1962,17.57188498402555,28.87184161137023,28.87184161137023,,
1963,23.64130434782608,25.59115435206468,25.59115435206468,,
1964,37.80219780219782,28.77461735176104,28.77461735176104,,
1965,24.401913875598076,21.23293491740901,21.23293491740901,,
1966,36.28205128205129,25.6034624194849,25.6034624194849,,
1967,40.45155221072434,29.018262947518195,29.018262947518195,,
1968,31.07836570663096,10.275310542495845,10.275310542495845,,
1969,24.27184466019417,7.795830054766341,7.795830054766341,,
1970,24.38322368421052,6.467874609647424,6.467874609647424,,
1971,35.53719008264462,31.271063886809287,31.271063886809287,,
1972,56.09756097560977,64.24478595024274,64.24478595024274,,
1973,103.125,65.5352873679864,65.5352873679864,,
1974,52.30769230769231,30.63044136171177,30.63044136171177,,
1975,181.8181818181818,197.69736449881543,197.69736449881543,,
1976,273.1182795698925,438.3227798132292,438.3227798132292,,
1977,260.18251681075884,159.42717768784917,159.42717768784917,,
1978,177.54367248966528,161.37217199264285,161.37217199264285,,
1979,190.3906212463364,147.3770440752795,147.3770440752795,,
1980,109.43430566356162,90.8408016044117,90.8408016044117,,
1981,186.0870595670722,106.3640990002396,106.3640990002396,,
1982,177.5773274164731,207.61768137585028,207.61768137585028,,
1983,403.3386789336921,382.3494348358886,382.3494348358886,,
1984,552.6346476924597,606.7359411957335,606.7359411957335,,
1985,423.3177115116422,625.8021403023716,625.8021403023716,,
1986,89.9158951426845,74.46149340307639,74.46149340307639,,
1987,238.3212935397152,127.086376406594,127.086376406594,,
1988,326.8740861003674,388.4913389587641,388.4913389587641,,
1989,5379.547855066056,3057.628835673213,3057.628835673213,,
1990,760.4032378675395,2076.793473222132,2076.793473222132,,
1991,84.57373014097114,132.9532281427737,132.9532281427737,,
1992,23.52399195014912,11.920760241953076,11.920760241953076,,
1993,20.67131219943076,-1.4666599492073829,-1.4666599492073829,,
1994,11.30257173531134,2.849322534319868,2.849322534319868,,
1995,5.09144921745643,3.1651918596055566,3.1651918596055566,,
1996,6.804989770215372,-0.0524222133086027,-0.0524222133086027,,
1997,15.830326708185298,-0.4639540284121466,-0.4639540284121466,,
1998,9.2258333076381,-1.7052052088351104,-1.7052052088351104,,
1999,3.598482451011346,-1.836587324863899,-1.836587324863899,,
2000,-2.73208791671929,1.037277263318188,1.037277263318188,,
2001,2.2047198307177456,-1.095778846119515,-1.095778846119515,,
2002,94.97601759730132,30.555281544398213,30.555281544398213,,
2003,-2.460611717354703,10.4956080507191,10.4956080507191,,
2004,6.7907445006322895,9.220651190261208,9.220651190261208,,
2005,0.150024666330697,8.840489895574024,8.840489895574024,,
2006,-0.9252440487078812,13.42627795867213,13.42627795867213,,
2007,14.902456737958518,0.149399250245835,0.149399250245835,,0.149399250245835
2008,8.962562013098479,0.231711649813124,0.231711649813124,,0.231711649813124
2009,26.848091898092687,0.153776493708921,0.153776493708921,,0.153776493708921
2010,31.438395895738037,0.20915124272046998,0.20915124272046998,,0.20915124272046998
2011,36.99877140514971,0.23703472183959298,0.23703472183959298,,0.23703472183959298
2012,39.97445699947348,0.223148806733049,0.223148806733049,,0.223148806733049
2013,0.37823398029099553,0.239487984162746,0.239487984162746,0.37823398029099553,0.239487984162746
2014,0.42693923695489877,0.402829716315506,0.402829716315506,0.42693923695489877,0.402829716315506
2015,0.5307593696073329,0.265799916024707,0.265799916024707,0.5307593696073329,0.265799916024707
2016,0.292127120480536,0.411193799882279,0.411193799882279,0.292127120480536,0.411193799882279
2017,0.187480465960288,0.260063792819079,0.260063792819079,0.187480465960288,0.260063792819079
2018,0.16381427720849384,0.420336689575031,0.420336689575031,0.16381427720849384,0.420336689575031
2019,0.7648137812130016,0.491955790596612,0.491955790596612,0.7648137812130016,0.491955790596612
2020,0.4765137907981236,0.40083087801199296,0.40083087801199296,0.4765137907981236,0.40083087801199296
2021,0.4733215066858034,0.5380208776655541,0.5380208776655541,0.4733215066858034,0.5380208776655541
2022,0.8547479503522784,0.689938267692314,0.689938267692314,0.8547479503522784,0.689938267692314
2023,3.561969755001047,1.3674235843759899,1.3674235843759899,3.561969755001047,1.3674235843759899
2024,0.5021705427803349,2.07605241734472,2.07605241734472,0.5021705427803349,2.07605241734472
