,"Shiller (2014) + BEA deflator from S041, Rate (decimal)","Ch6 S105, Rate (decimal)",Composite final series,Composite final series,Composite final series
Year,S057-A,S057-B,S057,S057-A-EXT,S057-B-EXT
1948,-0.0478107930284371,0.3146845373281579,-0.0478107930284371,,
1949,0.0806479857463557,-0.1193329142047778,0.0806479857463557,,
1950,0.1660048030068903,0.4391864320248649,0.1660048030068903,,
1951,0.2182757428964552,0.0742394802643954,0.2182757428964552,,
1952,0.1821233368893925,-0.0865276119641254,0.1821233368893925,,
1953,0.1219443686647473,0.0166926363950819,0.1219443686647473,,
1954,0.0250464487834321,-0.013296796656494,0.0250464487834321,,
1955,0.4460996511389986,0.4683115288190786,0.4460996511389986,,
1956,0.1968600873127938,-0.1179289101561937,0.1968600873127938,,
1957,0.0123862609805985,-0.0449562585858918,0.0123862609805985,,
1958,-0.0655978379976237,-0.0984397682431357,-0.0655978379976237,,
1959,0.3648293771355134,0.3213454719068297,0.3648293771355134,,
1960,0.078391596309302,-0.0051659491143817,0.078391596309302,,
1961,0.0678932177312168,0.0697966879034338,0.0678932177312168,,
1962,0.1948597285952914,0.2458098044092056,0.1948597285952914,,
1963,-0.0266313898515492,0.1685280262198505,-0.0266313898515492,,
1964,0.2057717841874075,0.18526608515762,0.2057717841874075,,
1965,0.1508565199764084,0.2577875737446189,0.1508565199764084,,
1966,0.1020297141760062,0.1330682861076214,0.1020297141760062,,
1967,-0.0845293308481708,-0.002242470632261,-0.0845293308481708,,
1968,0.124619519939739,0.1036734759554692,0.124619519939739,,
1969,0.0648974239701732,-0.0090829713397683,0.0648974239701732,,
1970,-0.1252326649896963,-0.1106014559446752,-0.1252326649896963,,
1971,0.0231873325088298,0.1310239390940835,0.0231873325088298,,
1972,0.104381044002058,0.1680963577361029,0.104381044002058,,
1973,0.1327848059404331,0.1070033704367608,0.1327848059404331,,
1974,-0.2345379658394069,-0.0766714361440778,-0.2345379658394069,,
1975,-0.3020498843975132,0.0512066582717176,-0.3020498843975132,,
1976,0.3160020997572549,0.1788507473506982,0.3160020997572549,,
1977,0.0511154988816886,0.134696972032776,0.0511154988816886,,
1978,-0.1348358389731357,0.1313083260557696,-0.1348358389731357,,
1979,0.0819775502415023,0.0011555534987356,0.0819775502415023,,
1980,0.082421887930189,-0.057693773752115,0.082421887930189,,
1981,0.1496183607287285,0.1101630586613128,0.1496183607287285,,
1982,-0.11456499163788,-0.0334140131144302,-0.11456499163788,,
1983,0.3048890450826951,0.2066641506687715,0.3048890450826951,,
1984,0.2115630795806339,0.2570833910827757,0.2115630795806339,,
1985,0.0751401155753427,0.0826137755618744,0.0751401155753427,,
1986,0.2497054963256819,-0.0031225928221011,0.2497054963256819,,
1987,0.3051616596369942,0.1324324364308569,0.3051616596369942,,
1988,-0.0393844268929201,0.1332554209737922,-0.0393844268929201,,
1989,0.161651801539874,0.0697487991037705,0.161651801539874,,
1990,0.2137326789855477,0.0245439045866031,0.2137326789855477,,
1991,-0.0189569247074198,0.0370140242977081,-0.0189569247074198,,
1992,0.3295073060826866,0.074990776582276,0.3295073060826866,,
1993,0.0766554239629949,0.090080624814904,0.0766554239629949,,
1994,0.1132144463927188,0.1834304860350543,0.1132144463927188,,
1995,0.0091728775525323,0.1450524194274638,0.0091728775525323,,
1996,0.3747962509179108,0.2349682557005036,0.3747962509179108,,
1997,0.2941433695217549,0.1764878588973229,0.2941433695217549,,
1998,0.3124527789127719,0.0606996890475686,0.3124527789127719,,
1999,0.3343193231478548,0.1225433716858866,0.3343193231478548,,
2000,0.1553992622473405,0.0492621083355267,0.1553992622473405,,
2001,-0.0511591784712691,0.0081704566531175,-0.0511591784712691,,
2002,-0.1275055760415611,0.077220454033274,-0.1275055760415611,,
2003,-0.1974301885918649,0.0997683827981149,-0.1974301885918649,,
2004,0.2139869668788172,0.2339943861598234,0.2139869668788172,,
2005,0.098767290641154,0.1660240209501684,0.098767290641154,,
2006,0.0359602687101504,0.0960843363598162,0.0359602687101504,,
2007,0.1210914429217756,-0.074286320232904,0.1210914429217756,,
2008,0.0422571142585177,-0.1932362501238225,0.0422571142585177,,
2009,-0.3915214195075628,0.1303451452797238,-0.3915214195075628,,
2010,0.331041179638837,0.3415192800486044,0.331041179638837,,
2011,0.1416207336209286,0.0808058813126471,0.1416207336209286,,
2012,9.653156897588905,-0.014311307807942028,9.653156897588905,9.653156897588905,-0.014311307807942028
2013,20.554229316494386,0.0027704486257204546,20.554229316494386,20.554229316494386,0.0027704486257204546
2014,17.807707408431604,0.00504664921993362,17.807707408431604,17.807707408431604,0.00504664921993362
2015,8.145778039822435,0.0012014656191869611,8.145778039822435,8.145778039822435,0.0012014656191869611
2016,3.8729290710636666,-0.0017366416416030592,3.8729290710636666,3.8729290710636666,-0.0017366416416030592
2017,17.795754095767975,-0.0025792984424353083,17.795754095767975,17.795754095767975,-0.0025792984424353083
2018,12.469854312607811,-0.0004642984006057747,12.469854312607811,12.469854312607811,-0.0004642984006057747
2019,6.739340119973967,-1.1456341848988632e-05,6.739340119973967,6.739340119973967,-1.1456341848988632e-05
2020,11.342995662237911,0.007400915292019468,11.342995662237911,11.342995662237911,0.007400915292019468
2021,29.82444012429205,0.01603299784818059,29.82444012429205,29.82444012429205,0.01603299784818059
2022,-9.219089311216438,-0.003969193180358137,-9.219089311216438,-9.219089311216438,-0.003969193180358137
2023,1.9956044518690068,-0.011326234333692672,1.9956044518690068,1.9956044518690068,-0.011326234333692672
2024,,-0.0008831709513538022,,,-0.0008831709513538022
