,Ayres Index (intentionally skipped),Composite final series
Year,S004-A,S004
1831,0.9,4.391666666666667
1832,5.5,4.233333333333333
1833,5.1,3.3249999999999997
1834,-1.7,-5.941666666666666
1835,-6.4,2.225
1836,9.9,15.983333333333334
1837,17.1,-3.4499999999999997
1838,-9.8,-2.4499999999999997
1839,14.0,7.608333333333333
1840,-1.2,-5.2
1841,-2.6,-2.6333333333333333
1842,-6.5,-12.608333333333334
1843,-18.6,-13.366666666666667
1844,-4.1,-1.625
1845,-1.6,0.20833333333333334
1846,4.3,2.408333333333333
1847,6.9,10.175
1848,3.4,-0.2250000000000001
1849,-4.1,-1.7416666666666665
1850,0.2,3.258333333333333
1851,10.9,5.116666666666666
1852,0.3,4.291666666666667
1853,9.0,8.833333333333334
1854,12.2,6.491666666666667
1855,-3.0,2.191666666666667
1856,4.6,7.766666666666667
1857,5.9,-0.5166666666666666
1858,-13.0,-8.091666666666667
1859,-1.8,0.10000000000000002
1860,-0.7,1.2833333333333334
1861,-3.6,-7.208333333333333
1862,-7.3,-2.6333333333333333
1863,-0.3,2.0083333333333333
1864,3.1,5.125
1865,3.0,-6.891666666666667
1866,-10.8,2.4499999999999997
1867,0.0,-0.7666666666666666
1868,-3.2,0.14999999999999994
1869,1.1,2.2666666666666666
1870,-0.3,-0.3916666666666666
1871,-2.6,4.408333333333333
1872,7.7,10.525
1873,14.6,6.816666666666666
1874,-2.7,-4.283333333333333
1875,-7.4,-8.908333333333333
1876,-9.8,-10.225
1877,-12.0,-10.608333333333333
1878,-11.9,-9.233333333333333
1879,-9.3,-3.1
1880,8.2,7.691666666666666
1881,11.7,9.466666666666667
1882,9.5,7.8999999999999995
1883,8.2,3.0500000000000003
1884,-5.0,-6.449999999999999
1885,-12.3,-10.491666666666667
1886,-5.3,0.6583333333333333
1887,4.1,5.866666666666667
1888,0.1,1.2916666666666667
1889,6.0,3.4583333333333335
1890,9.2,9.766666666666667
1891,2.4,4.533333333333334
1892,12.5,7.0249999999999995
1893,6.0,-4.166666666666667
1894,-15.2,-11.466666666666667
1895,-3.9,-2.1416666666666666
1896,-0.1,-9.075000000000001
1897,-10.9,-6.8500000000000005
1898,1.1,0.225
1899,1.1,4.641666666666667
1900,10.5,3.2583333333333333
1901,0.3,3.0749999999999997
1902,2.3,3.283333333333333
1903,4.3,1.1666666666666665
1904,-7.1,-4.241666666666666
1905,3.4,8.141666666666667
1906,12.6,10.225
1907,11.5,6.3500000000000005
1908,-18.0,-14.025
1909,-3.2,2.091666666666667
1910,8.6,1.25
1911,-5.6,-5.8
1912,-2.5,4.1499999999999995
1913,9.2,4.5249999999999995
1914,-1.3,-5.208333333333333
1915,-11.8,-0.325
1916,12.3,13.766666666666666
1917,14.3,11.924999999999999
1918,1.5,6.991666666666667
1919,-0.2,-0.2916666666666668
1920,12.3,1.875
1921,-23.0,-24.066666666666666
1922,-18.6,-6.591666666666666
1923,7.3,8.908333333333333
1924,5.4,-1.9333333333333333
1925,7.6,5.033333333333333
1926,5.7,6.3
1927,3.9,1.5250000000000001
1928,1.1,3.4
1929,10.2,8.325000000000001
1930,-4.4,-14.458333333333334
1931,-27.0,-29.525000000000002
1932,-37.9,-45.06666666666666
1933,-45.1,-35.858333333333334
1934,-35.4,-34.78333333333333
1935,-27.0,-27.441666666666666
1936,-22.9,-17.283333333333335
1937,-11.1,-15.308333333333332
1938,-38.7,-34.800000000000004
1939,-24.2,-27.314285714285713
