,"Shiller nominal / BEA deflator, Index","Shiller (2014), converted to BEA deflator, Index","Equation 10.31 from DATAintropprice, Index",Composite final series,Composite final series,Composite final series,Composite final series
Year,S059-A,S059-B,S059-C,S059,S059-A-EXT,S059-B-EXT,S059-D
1946,,112.24769214762492,,,,,
1947,65.30210635414014,120.7548842680837,72.05210635414014,65.30210635414014,,,72.05624657490677
1948,58.51071190337079,126.04907808924696,91.0565411461614,58.51071190337079,,,91.0619842303844
1949,58.8609005037037,127.4899662924562,75.82191627452343,58.8609005037037,,,75.82670981964385
1950,63.13404494382022,124.31156683726198,103.62382539961044,63.13404494382022,,,103.63072420470904
1951,72.12025939354838,123.70009549488226,106.5223882278436,72.12025939354838,,,106.52979919664718
1952,80.55935384845816,128.6138746273082,92.609572510601,80.55935384845816,,,92.61634222597168
1953,85.63988087741934,129.15711993372253,89.41223791509542,85.63988087741934,,,89.41912063486326
1954,82.77786769792532,132.23260746958434,83.21635349922678,82.77786769792532,,,83.22314470086943
1955,114.43339482706764,131.86748314658652,116.91588045626624,114.43339482706764,,,116.92585205593268
1956,131.76765489440993,124.62516057009024,97.93501006429328,131.76765489440993,,,97.94380572407852
1957,128.34288974670488,123.09787510649517,88.47534471720233,128.34288974670488,,,88.48374495703183
1958,115.02845077615896,128.11532936834357,74.8704294072147,115.02845077615896,,,74.87800272938219
1959,151.99334891009175,129.03962063880886,93.92884296134676,151.99334891009175,,,93.93884993630004
1960,158.57955251348315,132.45611762631876,88.11481369216825,158.57955251348315,,,88.12476897159816
1961,163.8053908,137.16820501414236,88.72429804310975,163.8053908,,,88.73494816807101
1962,189.8692244845953,140.28822381142933,104.67836008229224,189.8692244845953,,,104.69162811238716
1963,178.5553470316832,143.6766817107134,116.06220138004026,178.5553470316832,,,116.0777054450589
1964,208.47948830368765,146.58875788842434,130.74708000158893,208.47948830368765,,,130.76545644403757
1965,232.5840808130672,147.471657851773,157.106154946815,232.5840808130672,,,157.12926860777654
1966,248.666966369906,148.6640123868998,170.36439999213854,248.666966369906,,,170.3905893483499
1967,220.03909437596303,150.59651898704095,162.37414310572316,220.03909437596303,,,162.40027373307234
1968,239.7168808022536,151.49386764215555,171.4646550439674,239.7168808022536,,,171.49349472428275
1969,247.6059659515152,152.5098082862403,162.2393235994501,247.6059659515152,,,162.2679013297757
1970,209.3197458162162,155.35569781314484,137.0175530460289,209.3197458162162,,,137.04297003777288
1971,207.3639495943262,157.7988469574315,148.16076980235778,207.3639495943262,,,148.18951702848
1972,222.2321334345114,159.87820150018584,166.2893738586506,222.2321334345114,,,166.322953388779
1973,244.7552629442509,161.22736876999934,177.0969761272542,244.7552629442509,,,177.13414878028402
1974,180.5866141155488,162.63498566492683,156.75444930153586,180.5866141155488,,,156.78877187387258
1975,119.9566490197015,162.7757791192447,158.69752164098344,119.9566490197015,,,158.7336017575528
1976,151.52739812436073,167.7084385499175,180.74488812376643,151.52739812436073,,,180.78742119614876
1977,152.41619674317926,168.77404647413587,198.2340773338882,152.41619674317926,,,198.28233948233165
1978,124.85122792850596,172.6808637289426,217.25005914209885,124.85122792850596,,,217.3046585124663
1979,127.8421371337187,177.95353748714265,210.25701460303145,127.8421371337187,,,210.3116770658923
1980,131.09539313450458,190.55511553246475,190.84275967392364,131.09539313450458,,,190.8942684530195
1981,143.5520411662146,198.70610241145064,204.7089520148062,143.5520411662146,,,204.7661351585552
1982,120.07242855346988,208.8597280231517,190.83523019060544,120.07242855346988,,,190.89050261603927
1983,149.34194132307695,224.16703235080203,222.93477564280596,149.34194132307695,,,223.00147089709745
1984,173.103368040146,240.57736436254103,272.4137894555448,173.103368040146,,,272.4976309519787
1985,177.9199012564364,254.38777473111136,286.7284472528576,177.9199012564364,,,286.81921521186064
1986,213.8426643421328,268.4828918672184,277.3282968978152,213.8426643421328,,,277.418781425441
1987,270.1029626189933,277.6185475950545,305.0592748722315,270.1029626189933,,,305.1617424863101
1988,249.76296572927055,289.1821195663392,336.0079304623967,249.76296572927055,,,336.1240524415255
