,Composite final series,Composite final series,Composite final series,Composite final series
Year,S092,S092A,S092B,S100-S100-C-EXT
1975,0.6184620567674556,734.3,1187.3,
1976,0.6288105659218306,818.9,1302.3,
1977,0.6597212543554007,946.7,1435.0,
1978,0.6877371990294283,1105.4,1607.3,
1979,0.7125467641967724,1276.1,1790.9,
1980,0.6970589703899736,1396.0,2002.7,
1981,0.6737293817889232,1507.2,2237.1,
1982,0.6533758859369172,1576.4,2412.7,
1983,0.6662050926994384,1732.0,2599.8,
1984,0.6720733183468788,1943.3,2891.5,
1985,0.7397135712661969,2277.8,3079.3,
1986,0.7785994844728121,2537.3,3258.8,
1987,0.8019969143888451,2755.1,3435.3,
1988,0.8167887717038348,3043.6,3726.3,
1989,0.8315378062835095,3319.0,3991.4,
1990,0.8417724494593324,3580.9,4254.0,
1991,0.8480955702040541,3769.7,4444.9,
1992,0.8382207021766209,3970.4,4736.7,
1993,0.8554738296488946,4210.3,4921.6,
1994,0.8741392280539321,4531.8,5184.3,
1995,0.8871541139820414,4841.2,5457.0,
1996,0.8988471421626502,5177.0,5759.6,
1997,0.9017219240773056,5477.6,6074.6,
1998,0.9083691086183816,5903.4,6498.9,
1999,0.9401319947672452,6396.0,6803.3,
2000,0.9536112020962988,6987.3,7327.2,
2001,1.0014120415767798,7659.3,7648.5,
2002,1.0592531555488969,8484.3,8009.7,
2003,1.134546062212037,9505.0,8377.8,
2004,1.18901163183117,10569.6,8889.4,
2005,1.2657669796169144,11742.9,9277.3,
2006,1.3039422330243955,12929.5,9915.7,
2007,1.3241202655512492,13802.1,10423.6,
2008,1.2556578529638531,13843.0,11024.5,
2009,1.2494404237857195,13397.0,10722.4,
2010,1.1737020427604676,13059.9,11127.1,
2011,1.1138077632410623,12863.7,11549.3,
2012,1.072672959132443,12819.3,11950.8,
2013,,,,1.1007068887663964
2014,,,,1.065542195656717
2015,,,,1.0367092387425905
2016,,,,1.029481082611828
2017,,,,1.0141495501465982
2018,,,,0.992102809234718
2019,,,,0.9803320520738108
2020,,,,0.9399185123548166
2021,,,,0.9372244347638216
2022,,,,1.0064869182209977
2023,,,,0.9506532933944224
2024,,,,0.9228914781202564
2025,,,,0.8962736177168337
