,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series
Year,S060-S060-A-EXT,S201,S201B,S201C,S201D
1960,,0.7699606346535249,2049.82,2662.24,4712.06
1961,,0.9973530901722392,2362.53,2368.8,4731.33
1962,,0.9277200940264833,2356.14,2539.71,4895.85
1963,,1.0102880732556925,2804.59,2776.03,5580.620000000001
1964,,0.9200744950788646,3053.12,3318.34,6371.46
1965,,0.798767814332265,3005.3,3762.42,6767.72
1966,,0.8778077368132567,3170.94,3612.34,6783.280000000001
1967,,0.886371281779445,3478.05,3923.92,7401.97
1968,,0.8076560130829734,3526.21,4365.98,7892.19
1969,,0.930050157789884,4220.27,4537.68,8757.95
1970,,0.9432527895009551,4769.52,5056.46,9825.98
1971,,0.9970809677567448,5212.5,5227.76,10440.26
1972,,1.2850451769189004,6461.22,5028.01,11489.23
1973,,1.2930388462193991,9559.1,7392.74,16951.84
1974,,0.9194014155037724,11015.9,11981.6,22997.5
1975,,1.1169965130084416,11948.4,10696.9,22645.3
1976,,1.07855367711978,13193.3,12232.4,25425.7
1977,,0.9893348530489297,13367.2,13511.3,26878.5
1978,,0.9260472675647377,14415.5,15566.7,29982.2
1979,,1.0259970863912482,18663.4,18190.5,36853.9
1980,,0.979713108350038,21944.3,22398.7,44343.0
1981,,0.8192769705546887,21477.1,26214.7,47691.8
1982,,0.8009674697665697,21359.8,26667.5,48027.3
1983,,0.9373415479829992,20113.1,21457.6,41570.7
1984,,0.8916603007785673,23111.3,25919.4,49030.7
1985,,0.8730798200042488,22603.6,25889.5,48493.1
1986,,0.8645801409745633,22569.0,26104.0,48673.0
1987,,0.9080350777857744,26621.5,29317.7,55939.2
1988,,0.9207009281063858,33232.7,36095.0,69327.7
1989,,0.8262368415195959,37125.3,44933.0,82058.3
1990,,0.946826120819628,39752.4,41984.9,81737.3
1991,,1.0049414374828922,41853.6,41647.8,83501.4
1992,,0.9775629465610518,42824.1,43807.0,86631.1
1993,,0.9373915294809432,42723.4,45576.9,88300.3
1994,,0.8896199186154901,47528.3,53425.4,100953.7
1995,,0.8666605746809459,53111.3,61282.7,114394.0
1996,,0.9216440893758092,60300.5,65427.1,125727.6
1997,,0.9547454383480772,62909.8,65891.7,128801.5
1998,,0.8648189065072351,55892.9,64629.6,120522.5
1999,,0.8108930748130722,56079.5,69157.7,125237.2
2000,,0.8929338852796151,63870.4,71528.7,135399.1
2001,,0.9921565619727084,63386.7,63887.8,127274.5
2002,,0.894671169838835,65033.2,72689.5,137722.7
2003,,0.8031260243095313,71546.0,89084.4,160630.4
2004,,0.7900643604183427,86420.4,109384.0,195804.4
2005,,0.8447569862948092,105832.0,125281.0,231113.0
2006,,0.8853884655985867,123293.0,139253.0,262546.0
2007,,0.8534076063289302,141099.0,165336.0,306435.0
2008,,0.9335507032900092,186965.0,200273.0,387238.0
2009,,0.9299756452792332,153884.0,165471.0,319355.0
2010,0.6492511619025952,,,,
2011,0.6542331413965606,,,,
2012,0.661539534796133,,,,
2013,0.6782105227001451,,,,
2014,0.6717100226441184,,,,
2015,0.6489747985251162,,,,
2016,0.6448496414023218,,,,
2017,0.6420130406115735,,,,
2018,0.6365116032653705,,,,
2019,0.6399985199293461,,,,
2020,0.5920129858259394,,,,
2021,0.5976532663967126,,,,
2022,0.6124879921441412,,,,
2023,0.6369659214257014,,,,
2024,0.6147348398590814,,,,
