,"Sahr (1780-1785) + MeasuringWorth (1786-2010), Inflation conversion factors","Sahr (1780-1785) + MeasuringWorth (1786-2010), Index 1982-84=100","BLS Manufacturing Productivity Index, Index 1958=100","BLS, 1958 dollars","Derived from S008-C+S008-D, ratio. Formula: Real unit labor cost calculation","Derived from S008-C+S008-D, calculated. Formula: Manufacturing real compensation calculation",Composite final series,Composite final series,Composite final series
Year,S008-A,S008-B,S008-C,S008-D,S008-E,S008-F,S008,S008-COMBINED,S008-EXT
1815,0.05,14.91,51.55601659751037,0.0969818913480885,,,51.55601659751037,51.55601659751037,
1816,0.05,13.62,47.0954356846473,0.1061674008810572,,,47.0954356846473,47.0954356846473,
1817,0.05,12.89,44.57123098201936,0.1121799844840962,,,44.57123098201936,44.57123098201936,
1818,0.05,12.33,42.63485477178423,0.1172749391727494,,,42.63485477178423,42.63485477178423,
1819,0.05,12.33,42.63485477178423,0.1172749391727494,,,42.63485477178423,42.63485477178423,
1820,0.04,11.36,39.28077455048409,0.1018309859154929,,,39.28077455048409,39.28077455048409,
1821,0.05,10.96,37.89764868603043,0.131934306569343,,,37.89764868603043,37.89764868603043,
1822,0.05,11.36,39.28077455048409,0.1272887323943662,,,39.28077455048409,39.28077455048409,
1823,0.05,10.15,35.09681881051176,0.1424630541871921,,,35.09681881051176,35.09681881051176,
1824,0.05,9.35,32.33056708160442,0.1546524064171123,,,32.33056708160442,32.33056708160442,
1825,0.05,9.59,33.160442600276625,0.1507820646506777,,,33.160442600276625,33.160442600276625,
1826,0.05,9.59,33.160442600276625,0.1507820646506777,,,33.160442600276625,33.160442600276625,
1827,0.05,9.67,33.43706777316736,0.1495346432264736,,,33.43706777316736,33.43706777316736,
1828,0.05,9.19,31.77731673582296,0.1573449401523395,,,31.77731673582296,31.77731673582296,
1829,0.06,9.02,31.18948824343015,0.1923725055432372,,,31.18948824343015,31.18948824343015,
1830,0.06,8.94,30.912863070539416,0.1940939597315436,,,30.912863070539416,30.912863070539416,
1831,0.06,8.38,28.97648686030429,0.2070644391408114,,,28.97648686030429,28.97648686030429,
1832,0.05,8.3,28.69986168741356,0.1742168674698795,,,28.69986168741356,28.69986168741356,
1833,0.06,8.14,28.146611341632088,0.2131695331695331,,,28.146611341632088,28.146611341632088,
1834,0.05,8.3,28.69986168741356,0.1742168674698795,,,28.69986168741356,28.69986168741356,
1835,0.05,8.54,29.52973720608575,0.1693208430913349,,,29.52973720608575,29.52973720608575,
1836,0.05,9.02,31.18948824343015,0.160310421286031,,,31.18948824343015,31.18948824343015,
1837,0.06,9.27,32.05394190871369,0.1871844660194175,,,32.05394190871369,32.05394190871369,
1838,0.06,9.02,31.18948824343015,0.1923725055432372,,,31.18948824343015,31.18948824343015,
1839,0.06,9.02,31.18948824343015,0.1923725055432372,,,31.18948824343015,31.18948824343015,
1840,0.06,8.38,28.97648686030429,0.2070644391408114,,,28.97648686030429,28.97648686030429,
1841,0.06,8.46,29.253112033195023,0.2051063829787233,,,29.253112033195023,29.253112033195023,
1842,0.06,7.9,27.31673582295989,0.2196455696202531,,,27.31673582295989,27.31673582295989,
1843,0.06,7.17,24.792531120331947,0.2420083682008368,,,24.792531120331947,24.792531120331947,
1844,0.06,7.25,25.069156293222683,0.2393379310344827,,,25.069156293222683,25.069156293222683,
1845,0.06,7.33,25.34578146611341,0.2367257844474761,,,25.34578146611341,25.34578146611341,
1846,0.06,7.41,25.622406639004147,0.2341700404858299,,,25.622406639004147,25.622406639004147,
1847,0.06,7.98,27.59336099585062,0.2174436090225564,,,27.59336099585062,27.59336099585062,
1848,0.07,7.65,26.452282157676347,0.2646274509803922,,,26.452282157676347,26.452282157676347,
1849,0.06,7.41,25.622406639004147,0.2341700404858299,,,25.622406639004147,25.622406639004147,
1850,0.06,7.57,26.17565698478561,0.2292206076618229,,,26.17565698478561,26.17565698478561,
1851,0.06,7.41,25.622406639004147,0.2341700404858299,,,25.622406639004147,25.622406639004147,
1852,0.07,7.49,25.89903181189488,0.2702803738317758,,,25.89903181189488,25.89903181189488,
1853,0.07,7.49,25.89903181189488,0.2702803738317758,,,25.89903181189488,25.89903181189488,
1854,0.07,8.14,28.146611341632088,0.2486977886977887,,,28.146611341632088,28.146611341632088,
1855,0.07,8.38,28.97648686030429,0.2415751789976133,,,28.97648686030429,28.97648686030429,
1856,0.07,8.22,28.423236514522824,0.2462773722627737,,,28.423236514522824,28.423236514522824,
1857,0.07,8.46,29.253112033195023,0.239290780141844,,,29.253112033195023,29.253112033195023,
1858,0.08,7.98,27.59336099585062,0.2899248120300752,,,27.59336099585062,27.59336099585062,
1859,0.08,8.06,27.869986168741352,0.2870471464019851,,,27.869986168741352,27.869986168741352,
1860,0.08,8.06,27.869986168741352,0.2870471464019851,,,27.869986168741352,27.869986168741352,
1861,0.08,8.54,29.52973720608575,0.2709133489461359,,,29.52973720608575,29.52973720608575,
1862,0.09,9.75,33.71369294605809,0.2669538461538461,,,33.71369294605809,33.71369294605809,
1863,0.1,12.17,42.08160442600276,0.2376335250616269,,,42.08160442600276,42.08160442600276,
1864,0.11,15.23,52.6625172890733,0.2088772160210112,,,52.6625172890733,52.6625172890733,
1865,0.11,15.79,54.59889349930843,0.2014692843571881,,,54.59889349930843,54.59889349930843,
1866,0.11,15.39,53.21576763485477,0.2067056530214425,,,53.21576763485477,53.21576763485477,
1867,0.11,14.34,49.585062240663895,0.2218410041841004,,,49.585062240663895,49.585062240663895,
1868,0.11,13.78,47.64868603042876,0.2308563134978229,,,47.64868603042876,47.64868603042876,
1869,0.11,13.21,45.67773167358229,0.2408175624526873,,,45.67773167358229,45.67773167358229,
1870,0.11,12.65,43.74135546334716,0.2514782608695652,,,43.74135546334716,43.74135546334716,
1871,0.12,11.84,40.94052558782849,0.2931081081081081,,,40.94052558782849,40.94052558782849,
1872,0.12,11.84,40.94052558782849,0.2931081081081081,,,40.94052558782849,40.94052558782849,
1873,0.12,11.6,40.11065006915629,0.2991724137931034,,,40.11065006915629,40.11065006915629,
1874,0.12,11.04,38.17427385892116,0.3143478260869565,,,38.17427385892116,38.17427385892116,
1875,0.12,10.64,36.79114799446749,0.3261654135338346,,,36.79114799446749,36.79114799446749,
1876,0.11,10.39,35.92669432918395,0.3061790182868142,,,35.92669432918395,35.92669432918395,
1877,0.11,10.15,35.09681881051176,0.3134187192118227,,,35.09681881051176,35.09681881051176,
1878,0.11,9.67,33.43706777316736,0.328976215098242,,,33.43706777316736,33.43706777316736,
1879,0.11,9.67,33.43706777316736,0.328976215098242,,,33.43706777316736,33.43706777316736,
1880,0.11,9.91,34.26694329183955,0.3210090817356206,,,34.26694329183955,34.26694329183955,
1881,0.11,9.91,34.26694329183955,0.3210090817356206,,,34.26694329183955,34.26694329183955,
1882,0.11,9.91,34.26694329183955,0.3210090817356206,,,34.26694329183955,34.26694329183955,
1883,0.11,9.71,33.57538035961273,0.327621009268795,,,33.57538035961273,33.57538035961273,
1884,0.12,9.51,32.88381742738589,0.3649211356466877,,,32.88381742738589,32.88381742738589,
1885,0.12,9.32,32.2268326417704,0.3723605150214592,,,32.2268326417704,32.2268326417704,
1886,0.12,9.12,31.535269709543563,0.3805263157894737,,,31.535269709543563,31.535269709543563,
1887,0.13,9.22,31.881051175656985,0.407765726681128,,,31.881051175656985,31.881051175656985,
1888,0.13,9.22,31.881051175656985,0.407765726681128,,,31.881051175656985,31.881051175656985,
1889,0.13,8.92,30.843706777316733,0.4214798206278027,100.0,,30.843706777316733,30.843706777316733,
1890,0.13,8.82,30.49792531120332,0.4262585034013605,101.13378684807256,,30.49792531120332,30.49792531120332,
1891,0.13,8.82,30.49792531120332,0.4262585034013605,101.13378684807256,,30.49792531120332,30.49792531120332,
1892,0.13,8.82,30.49792531120332,0.4262585034013605,101.13378684807256,,30.49792531120332,30.49792531120332,
1893,0.14,8.72,30.152143845089903,0.4643119266055046,110.1623147494707,,30.152143845089903,30.152143845089903,
1894,0.13,8.34,28.83817427385892,0.4507913669064748,106.95443645083932,,28.83817427385892,28.83817427385892,
1895,0.13,8.14,28.146611341632088,0.4618673218673219,109.58230958230956,,28.146611341632088,28.146611341632088,
1896,0.13,8.14,28.146611341632088,0.4618673218673219,109.58230958230956,,28.146611341632088,28.146611341632088,
1897,0.13,8.04,27.800829875518662,0.4676119402985075,110.9452736318408,,27.800829875518662,27.800829875518662,
1898,0.13,8.04,27.800829875518662,0.4676119402985075,110.9452736318408,,27.800829875518662,27.800829875518662,
1899,0.13,8.04,27.800829875518662,0.4676119402985075,110.9452736318408,,27.800829875518662,27.800829875518662,
1900,0.14,8.14,28.146611341632088,0.4973955773955775,118.011718011718,,28.146611341632088,28.146611341632088,
1901,0.14,8.24,28.492392807745503,0.491359223300971,116.57953696788648,,28.492392807745503,28.492392807745503,
1902,0.15,8.34,28.83817427385892,0.5201438848920864,123.40896513558384,,28.83817427385892,28.83817427385892,
1903,0.15,8.53,29.495159059474407,0.5085580304806566,120.66011362611596,,29.495159059474407,29.495159059474407,
1904,0.15,8.63,29.84094052558783,0.5026651216685979,119.26196630715748,,29.84094052558783,29.84094052558783,
1905,0.16,8.53,29.495159059474407,0.542461899179367,128.70412120119036,,29.495159059474407,29.495159059474407,
1906,0.16,8.72,30.152143845089903,0.5306422018348623,125.89978828510937,,30.152143845089903,30.152143845089903,
1907,0.17,9.11,31.500691562932225,0.5396706915477497,128.04188128008104,,31.500691562932225,31.500691562932225,
1908,0.16,8.92,30.843706777316733,0.5187443946188341,123.07692307692308,,30.843706777316733,30.843706777316733,
1909,0.17,8.82,30.49792531120332,0.5574149659863946,132.25187510901796,,30.49792531120332,30.49792531120332,
1910,0.18,9.21,31.846473029045644,0.5652117263843648,134.10172889000248,,31.846473029045644,31.846473029045644,
1911,0.18,9.21,31.846473029045644,0.5652117263843648,134.10172889000248,,31.846473029045644,31.846473029045644,
1912,0.19,9.4,32.50345781466113,0.5845531914893617,138.69067103109654,,32.50345781466113,32.50345781466113,
1913,0.2,9.6,33.19502074688796,0.6025,142.94871794871793,,33.19502074688796,33.19502074688796,
1914,0.2,9.69,33.50622406639004,0.5969040247678019,141.6210208779868,,33.50622406639004,33.50622406639004,
1915,0.2,9.74,33.67911479944675,0.5938398357289527,140.89401358395196,,33.67911479944675,33.67911479944675,
1916,0.24,10.64,36.79114799446749,0.6523308270676692,154.77154424522843,,36.79114799446749,36.79114799446749,
1917,0.29,12.82,44.32918395573997,0.6541965678627144,155.21420856834268,,44.32918395573997,44.32918395573997,
1918,0.36,15.06,52.0746887966805,0.6913147410358566,164.0208397180509,,52.0746887966805,52.0746887966805,
1919,0.43,17.3,59.82019363762102,0.718820809248555,170.54690973766117,,59.82019363762102,59.82019363762102,
1920,0.54,20.04,69.29460580912863,0.7792814371257486,184.8917549516352,,69.29460580912863,69.29460580912863,
1921,0.48,17.9,61.89488243430151,0.7755083798882684,183.9965620971208,,61.89488243430151,61.89488243430151,
1922,0.44,16.77,57.98755186721991,0.758783542039356,180.0284390624283,,57.98755186721991,57.98755186721991,
1923,0.48,17.07,59.024896265560166,0.8132161687170475,192.9430850344734,,59.024896265560166,59.024896265560166,
1924,0.51,17.1,59.128630705394194,0.8625263157894736,204.6423751686909,,59.128630705394194,59.128630705394194,
1925,0.5,17.53,60.61549100968188,0.8248716486023959,195.70845583395496,,60.61549100968188,60.61549100968188,
1926,0.51,17.7,61.203319502074685,0.8332881355932203,197.70534550195563,,61.203319502074685,61.203319502074685,
1927,0.52,17.37,60.06224066390041,0.8657685664939552,205.41162924582613,,60.06224066390041,60.06224066390041,
1928,0.52,17.13,59.232365145228215,0.8778984238178634,208.28955049620544,,59.232365145228215,59.232365145228215,
1929,0.52,17.13,59.232365145228215,0.8778984238178634,208.28955049620544,,59.232365145228215,59.232365145228215,
1930,0.53,16.7,57.74550484094052,0.9178203592814372,217.76140027637032,,57.74550484094052,57.74550484094052,
1931,0.51,15.23,52.6625172890733,0.9684307288246882,229.76918026162932,,52.6625172890733,52.6625172890733,
1932,0.45,13.66,47.233748271092665,0.9527086383601758,226.03896835229196,,47.233748271092665,47.233748271092665,
1933,0.44,12.96,44.81327800829875,0.981851851851852,232.9534662867996,,44.81327800829875,44.81327800829875,
1934,0.53,13.39,46.30013831258644,1.14470500373413,271.5918883207905,,46.30013831258644,46.30013831258644,
1935,0.54,13.73,47.47579529737206,1.1374217042971595,269.8638579192111,,47.47579529737206,47.47579529737206,
1936,0.55,13.86,47.9253112033195,1.1476190476190478,272.28327228327225,,47.9253112033195,47.9253112033195,
1937,0.63,14.36,49.65421853388658,1.268774373259053,301.0284979644311,,49.65421853388658,49.65421853388658,
1938,0.64,14.09,48.72060857538035,1.31361249112846,311.6667576568216,,48.72060857538035,48.72060857538035,
1939,0.64,13.89,48.02904564315352,1.3325269978401728,316.15439995569585,,48.02904564315352,48.02904564315352,
1940,0.67,14.03,48.513139695712304,1.3810691375623665,327.6714732167334,,48.513139695712304,48.513139695712304,
1941,0.74,14.73,50.933609958506224,1.4528716904276986,344.7072954201263,,50.933609958506224,50.933609958506224,
1942,0.86,16.3,56.36237897648686,1.525840490797546,362.0198206701274,,56.36237897648686,56.36237897648686,
1943,0.98,17.3,59.82019363762102,1.6382427745664745,388.6883059137394,,59.82019363762102,59.82019363762102,
1944,1.05,17.6,60.85753803596128,1.7253409090909089,409.3531468531467,,60.85753803596128,60.85753803596128,
1945,1.06,18.0,62.24066390041494,1.7030666666666667,404.068376068376,,62.24066390041494,62.24066390041494,
1946,1.13,19.54,67.56569847856154,1.672446264073695,396.8034013069837,,67.56569847856154,67.56569847856154,
1947,1.3,22.34,77.2475795297372,1.6829006266786035,399.2837958818264,,77.2475795297372,77.2475795297372,
1948,1.41,24.08,83.26417704011064,1.6934053156146185,401.7761308458983,,83.26417704011064,83.26417704011064,
1949,1.46,23.85,82.4688796680498,1.7703647798742137,420.0354781486856,,82.4688796680498,82.4688796680498,
1950,1.55,24.08,83.26417704011064,1.8615448504983392,441.6687963199591,,83.26417704011064,83.26417704011064,
1951,1.72,25.98,89.83402489626556,1.9146420323325637,454.2665956060874,,89.83402489626556,89.83402489626556,
1952,1.83,26.55,91.80497925311202,1.99335593220339,472.94219904389394,,91.80497925311202,91.80497925311202,
1953,1.94,26.75,92.49654218533884,2.09737570093458,497.62185478073326,,92.49654218533884,92.49654218533884,
1954,1.97,26.88,92.9460580912863,2.119508928571429,502.87316849816847,,92.9460580912863,92.9460580912863,
1955,2.05,26.78,92.60027662517288,2.213816280806572,525.248463261906,,92.60027662517288,92.60027662517288,
1956,2.16,27.18,93.98340248962656,2.298278145695364,545.2878247580232,,93.98340248962656,93.98340248962656,
1957,2.24,28.15,97.3374827109267,2.301271758436945,545.9980871703784,,97.3374827109267,97.3374827109267,
1958,2.39,28.92,100.0,2.39,567.049686136823,,100.0,100.0,
1959,2.45,29.16,100.8298755186722,2.4298353909465025,576.5010024269284,,100.8298755186722,100.8298755186722,
1960,2.54,29.62,102.42047026279393,2.479972991222147,588.3966135147768,,102.42047026279393,102.42047026279393,
1961,2.6,29.92,103.45781466113417,2.5131016042780754,596.2566844919786,,103.45781466113417,103.45781466113417,
1962,2.71,30.26,104.63347164591976,2.5899933906146733,614.4999745792871,,104.63347164591976,104.63347164591976,
1963,2.83,30.62,105.87828492392808,2.672880470280862,634.1657036627641,,105.87828492392808,105.87828492392808,
1964,2.89,31.03,107.29598893499308,2.6934837254270065,639.0540172041945,,107.29598893499308,107.29598893499308,
1965,3.0,31.56,109.1286307053942,2.749049429657795,652.2374963439602,,109.1286307053942,109.1286307053942,
1966,3.14,32.46,112.24066390041492,2.7975600739371536,663.747097018816,,112.24066390041492,112.24066390041492,
1967,3.29,33.4,115.49100968188104,2.8487065868263475,675.8820819898664,,115.49100968188104,115.49100968188104,
1968,3.52,34.8,120.33195020746884,2.9252413793103456,694.0406719717065,,120.33195020746884,120.33195020746884,
1969,3.72,36.67,126.79806362378976,2.933798745568585,696.07098655367,,126.79806362378976,126.79806362378976,
1970,3.93,38.84,134.30152143845092,2.9262512873326463,694.280282024875,,134.30152143845092,134.30152143845092,
1971,4.26,40.51,140.07607192254494,3.041204640829425,721.5540322427511,,140.07607192254494,140.07607192254494,
1972,4.59,41.85,144.7095435684647,3.171870967741936,752.5558312655087,,144.7095435684647,144.7095435684647,
1973,4.95,44.45,153.69986168741357,3.220562429696288,764.1083326122695,,153.69986168741357,153.69986168741357,
1974,5.44,49.33,170.57399723374826,3.1892317048449224,756.674827301221,,170.57399723374826,170.57399723374826,
1975,6.02,53.84,186.1687413554633,3.233625557206538,767.2076808778145,,186.1687413554633,186.1687413554633,
1976,6.53,56.94,196.88796680497924,3.3166069546891466,786.8957877387802,,196.88796680497924,196.88796680497924,
1977,7.15,60.61,209.5781466113416,3.411615245009074,809.437386569873,,209.5781466113416,209.5781466113416,
1978,7.77,65.22,225.5186721991701,3.4453909843606256,817.4509942679214,,225.5186721991701,225.5186721991701,
1979,8.34,72.57,250.93360995850617,3.3235882596114106,788.5521671383599,,250.93360995850617,250.93360995850617,
1980,9.12,82.38,284.8547717842324,3.20163146394756,759.6167852540757,,284.8547717842324,284.8547717842324,
1981,10.0,90.93,314.4190871369294,3.180468492246784,754.5956737642649,,314.4190871369294,314.4190871369294,
1982,10.8,96.5,333.6791147994467,3.2366424870466326,767.9234754882423,,333.6791147994467,333.6791147994467,
1983,11.22,99.6,344.39834024896265,3.257855421686747,772.9564411492121,,344.39834024896265,344.39834024896265,
1984,11.78,103.9,359.26694329183954,3.2788989412897016,777.9492115199525,,359.26694329183954,359.26694329183954,
1985,12.5,107.6,372.0608575380359,3.359665427509294,797.1118101229624,,372.0608575380359,372.0608575380359,
1986,12.9,109.6,378.97648686030425,3.403905109489052,807.6080853453116,,378.97648686030425,378.97648686030425,
1987,13.05,113.6,392.8077455048409,3.322235915492958,788.2313109425785,,392.8077455048409,392.8077455048409,
1988,13.58,118.3,409.0594744121715,3.319810650887574,787.6558944014564,,409.0594744121715,409.0594744121715,
1989,14.0,124.0,428.7690179806362,3.265161290322581,774.6898263027296,,428.7690179806362,428.7690179806362,
1990,14.41,130.7,451.93637621023504,3.1885019127773533,756.5016773586017,,451.93637621023504,451.93637621023504,
1991,14.93,136.2,470.9543568464729,3.170158590308371,752.1495538235627,,470.9543568464729,470.9543568464729,
1992,15.63,140.3,485.1313969571231,3.221807555238774,764.4037502056033,,485.1313969571231,485.1313969571231,
1993,16.12,144.5,499.65421853388654,3.2262311418685123,765.4532871972318,,499.65421853388654,499.65421853388654,
1994,16.56,148.2,512.4481327800829,3.2315465587044536,766.7144191840547,,512.4481327800829,512.4481327800829,
1995,16.66,152.4,526.9709543568464,3.1614645669291344,750.086816071068,,526.9709543568464,526.9709543568464,
1996,16.84,156.9,542.5311203319502,3.103969407265774,736.4455557189782,,542.5311203319502,542.5311203319502,
1997,18.12,160.5,554.9792531120331,3.264986915887851,774.648454349389,,554.9792531120331,554.9792531120331,
1998,18.18,163.0,563.6237897648685,3.2255558282208594,765.2930627654555,,563.6237897648685,563.6237897648685,
1999,18.75,166.6,576.0719225449516,3.2548019207683074,772.2319697109613,,576.0719225449516,576.0719225449516,
2000,19.36,172.2,595.4356846473029,3.251400696864112,771.424997766461,,595.4356846473029,595.4356846473029,
2001,19.36,177.1,612.3789764868603,3.16144099378882,750.0812231247013,,612.3789764868603,612.3789764868603,
2002,21.02,179.9,622.060857538036,3.3790906058921624,801.7206140163337,,622.060857538036,622.060857538036,
2003,21.54,184.0,636.237897648686,3.3855260869565216,803.2474916387959,,636.237897648686,636.237897648686,
2004,23.07,188.9,653.1811894882434,3.531944944415035,837.9867247627967,,653.1811894882434,653.1811894882434,
2005,23.92,195.3,675.311203319502,3.5420706605222736,840.3891449052737,,675.311203319502,675.311203319502,
