,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series
Year,S065,S065A,S065B,S065C,S065D
1948,,2232.42770657033,,,
1949,,2227.00127272133,0.04,-0.001932998,0.96
1950,,2341.77276234567,0.066,0.010823562,0.934
1951,,2489.6560620475,0.043,0.072047766,0.957
1952,,3245.38929479545,0.031,0.017216048,0.969
1953,,3356.47068158375,0.027,0.012132145,0.973
1954,,3575.50712568546,0.045,0.009019772,0.955
1955,0.0217396686867934,3722.86729311166,0.05,0.0171556,0.95
1956,0.0323752253026249,3829.53179468686,0.042,0.034328242,0.958
1957,0.0323752253026249,3949.28954563791,0.042,0.033208284,0.958
1958,0.0193472051844432,4273.30386315587,0.052,0.022393119,0.948
1959,0.0086178745301597,4456.69821117758,0.062,0.011941887,0.938
1960,0.0181852652912309,4625.19388751651,0.053,0.014044932,0.947
1961,0.0048041327542983,4976.7808228899,0.066,0.011202242,0.934
1962,0.0106180537223622,5428.56940550032,0.06,0.013623128,0.94
1963,0.0159257477187296,5879.58180780421,0.055,0.01066697,0.945
1964,0.0159257477187296,6331.90132848093,0.055,0.015475964,0.945
1965,0.0217396686867934,6864.57591833993,0.05,0.018210319,0.95
1966,0.0353514253169602,7150.19136861554,0.04,0.028335598,0.96
1967,0.0384803162746008,7652.11320413202,0.038,0.030788801,0.962
1968,0.0384803162746008,8240.76355461854,0.038,0.042506239,0.962
1969,0.0452650800163245,8482.57239824609,0.034,0.049387016,0.966
1970,0.0434968402670561,8808.89441954307,0.035,0.052744369,0.965
1971,0.0096097663033383,9582.83757199402,0.061,0.049993478,0.939
1972,0.0106180537223622,10530.8844819266,0.06,0.043127897,0.94
1973,0.0193472051844432,11600.8341813058,0.052,0.055467073,0.948
1974,0.0229720338331621,12247.4088897106,0.049,0.090792597,0.951
1975,-0.000503561242069,12784.654758731,0.072,0.094511644,0.928
1976,-0.0084368020652089,13802.5957278645,0.0819999999999999,0.057392868,0.918
1977,-0.0053861664101547,15061.7923623104,0.078,0.063754652,0.922
1978,0.0066812039329703,16315.6252750584,0.064,0.070161027,0.936
1979,0.0106180537223622,17516.901354776,0.06,0.083190634,0.94
1980,0.0106180537223622,18369.880306714,0.06,0.091172435,0.94
1981,-0.000503561242069,19366.099199411,0.072,0.093718662,0.928
1982,-0.0106286546279989,20006.2701898297,0.085,0.061000925,0.915
1983,-0.025236932836667,21823.2093231734,0.108,0.039545474,0.892
1984,-0.0091762050576821,24273.1892482209,0.083,0.037566941,0.917
1985,-0.0013449538921415,26560.4663046396,0.073,0.030269484,0.927
1986,0.0012148622528994,28088.7434865997,0.07,0.022104672,0.93
1987,0.0048041327542983,28901.347349101,0.066,0.029027572,0.934
1988,0.0137469446800027,30192.6784965767,0.057,0.034349512,0.943
1989,0.0181852652912309,30618.1046105159,0.053,0.0377604,0.947
1990,0.0170450451774896,30226.7244119516,0.054,0.038587852,0.946
1991,0.0076418537080268,30067.2360027226,0.063,0.035450216,0.937
1992,-0.0013449538921415,30153.296124273,0.073,0.02370956,0.927
1993,-0.002174898667544,30894.140866873,0.074,0.022093664,0.926
1994,0.0057354485542764,32050.4898669271,0.065,0.021071545,0.935
1995,0.0159257477187296,33780.6566694884,0.055,0.020830881,0.945
1996,0.0148266188830663,35278.2377578522,0.0559999999999999,0.019044097,0.944
1997,0.0170450451774896,37055.921993881,0.054,0.017654513,0.946
1998,0.0255140683135967,38981.9354557538,0.047,0.011297664,0.953
1999,0.0295375043488964,40619.8696974915,0.044,0.01471226,0.956
2000,0.0353514253169602,43263.0047060308,0.04,0.021649561,0.96
2001,0.0368958116040019,44739.2961999248,0.039,0.022592894,0.961
2002,0.0137469446800027,46557.0711637892,0.057,0.016191383,0.943
2003,0.0106180537223622,48756.5012627124,0.06,0.021529549,0.94
2004,0.0137469446800027,52938.4739587926,0.057,0.028373158,0.943
2005,0.0170450451774896,57167.4256630056,0.054,0.033371953,0.946
2006,0.0229720338331621,61469.6687534669,0.049,0.03231283,0.951
2007,0.0295375043488964,66396.6001410621,0.044,0.029014997,0.956
2008,0.0217396686867934,67374.419102063,0.05,0.022178854,0.95
2009,-0.0013449538921415,64762.2192523776,0.073,0.010552285,0.927
2010,-0.0199292388402996,66553.4248711733,0.099,0.011512646,0.901
