,"Harberger (1988) FPR015_C1, Rate (%)","Harberger (1988) FPR015_C2, Rate (%)","FPR015_C5, Category","FPR015_C6, Label",Composite final series
Year,S088-A,S088-B,S088-C,S088-D,S088
1,1.4820192545691926,2.48195902412867,,,1.4820192545691926
2,7.519997074170919,23.119084147127925,,,7.519997074170919
3,4.14821428796283,11.2800002271384,,,4.14821428796283
4,1.573871785224337,11.9023299866623,,,1.573871785224337
5,1.669978013157413,2.311494933696275,,,1.669978013157413
6,12.787931069056562,14.3072323132659,,,12.787931069056562
7,3.619354594340914,10.26763847059044,,,3.619354594340914
8,1.0635779271697603,2.2091403878496068,,,1.0635779271697603
9,2.1172656699958963,3.076344092063548,,,2.1172656699958963
10,-0.6208422171550774,1.165113065945658,,,-0.6208422171550774
11,0.3708447045202426,2.35558815073606,,,0.3708447045202426
12,0.9774364904119788,0.8573324159622574,,,0.9774364904119788
13,3.659787574313816,6.339669614509576,,,3.659787574313816
14,0.7255241310667702,1.01971683202507,,,0.7255241310667702
15,0.9375441526712968,1.2340425531914898,,,0.9375441526712968
16,4.980287097575664,3.669084086355211,,,4.980287097575664
17,0.1551258229532264,0.2904765611730719,,,0.1551258229532264
18,0.3318624641833811,0.258662568918805,,,0.3318624641833811
19,0.225595833107321,0.4547149488102034,,,0.225595833107321
20,0.4336515067740487,0.278852086407532,,,0.4336515067740487
21,0.1914745130734849,0.2760818517276079,,,0.1914745130734849
22,1.4553204256970702,0.3528784575971245,,,1.4553204256970702
23,0.3519892437895043,0.264066566074044,,,0.3519892437895043
24,0.1993428447346291,0.470052083333333,,,0.1993428447346291
25,0.235024810580797,0.251947123972847,,,0.235024810580797
26,0.5645891665812229,0.570317089119659,,,0.5645891665812229
27,0.3929669847980401,0.2532373941811729,,,0.3929669847980401
28,0.3485764268104833,0.4566659404402343,,,0.3485764268104833
29,0.5612522547311137,0.3630680263179105,,,0.5612522547311137
30,0.1832167253289772,0.2742778541953219,,,0.1832167253289772
31,0.8508568672884884,0.6603325200672228,,,0.8508568672884884
32,0.6432171178672282,0.5440018403651564,,,0.6432171178672282
33,0.4477853865019149,0.4349218097528475,,,0.4477853865019149
34,0.2620288357577158,0.3938868368542675,,,0.2620288357577158
35,0.1809786484705515,0.2524443407023859,,,0.1809786484705515
36,0.2797404509508821,0.2296774501285539,,,0.2797404509508821
37,0.5375476788465188,0.5719306195892185,,,0.5375476788465188
38,0.044051588764946,0.4675955649822779,,,0.044051588764946
39,0.0964031053198172,0.0280798046118415,,,0.0964031053198172
40,0.0648098823571543,0.0215330652984597,,,0.0648098823571543
41,0.1463397782720324,0.04256894826083,,,0.1463397782720324
42,0.0691473891289208,0.0277888109977704,,,0.0691473891289208
43,0.0656332764206875,0.0233762758721729,,,0.0656332764206875
44,0.1106226283604728,0.0125598869393113,,,0.1106226283604728
45,0.0767733485476197,0.0397421348301775,,,0.0767733485476197
46,0.0598821004983272,0.0289193834071798,,,0.0598821004983272
