,"Residuals of cubic time trend of PPI/gold ratios, EViews, Deviation from trend","Residuals of cubic time trend of UK PPI/gold ratios, Deviation from trend","Second cycle extraction from US golden wave, Deviation from trend","Second cycle extraction from UK golden wave, Deviation from trend","Rescaled to begin at average point between US and UK at trough 1983, Deviation from trend (rescaled)","Rescaled to begin from between latest US and UK peaks, Deviation from trend (rescaled)",Composite final series,Composite final series
Year,S093-A,S093-B,S093-C,S093-D,S093-E,S093-F,S093,S093-A-EXT
1983,58.4550733451372,67.2272178513342,57.8752839025542,58.0546558780554,39.79282664104625,37.56075377343967,58.4550733451372,
1984,59.1106555172755,67.5809501968563,59.4400965575305,59.650045496191,40.47953384192414,39.16576486818919,59.1106555172755,
1985,60.0831140504168,68.1044139275269,62.072744156426,61.9221179833758,41.53370088632662,40.83651918022794,60.0831140504168,
1986,61.2796549556619,68.7166422721602,65.6289537751014,64.7078550708187,42.87609992682946,42.56149480292717,61.2796549556619,
1987,62.6096531036074,69.3580243202954,69.9409250478535,67.8874173098953,44.434614093000704,44.3562966316958,62.6096531036074,
1988,64.017686815293,70.0555827387498,74.8585680712278,71.4005867012727,46.16992905524109,46.25375621452406,64.017686815293,
1989,65.4612378807227,70.8661599511378,80.2423836912914,75.2261710725192,48.05793857886246,48.25611591995995,65.4612378807227,
1990,66.9396112217474,71.8577425536865,85.9142870733993,79.3678723841902,50.08100503125289,50.38475772424347,66.9396112217474,
1991,68.4884993814108,73.1321555431115,91.6167695459932,83.835730886116,52.221019824252245,52.66864092624892,68.4884993814108,
1992,70.1651987905391,74.7953464905914,97.0583795667812,88.5801081042852,54.44869224030391,55.11599963423947,70.1651987905391,
1993,72.0371208861444,76.965441411874,102.044497898011,93.5168082558248,56.74865973723623,57.70506673760303,72.0371208861444,
1994,74.1850251173337,79.8074128578009,106.506821506264,98.5947344768193,59.14172884226106,60.36530707326503,74.1850251173337,
1995,76.7222997243522,83.5423789650951,110.399102379138,103.791421820795,61.67167495269875,62.96025981681977,76.7222997243522,
1996,79.7494826962719,88.3471837419016,113.693324289172,108.875657996509,64.34148789327993,65.301698604123,79.7494826962719,
1997,83.3828890249215,94.3270474067144,116.464179985112,113.724316494513,67.17967696565796,67.18529517793539,83.3828890249215,
1998,87.7553388751666,101.508518340608,118.823128972812,118.30101422539,70.22485456833189,68.4686295734948,87.7553388751666,
1999,92.9168235216239,109.800674450591,120.874688958275,122.60882493478,73.48799951231929,69.09067092623215,92.9168235216239,
2000,98.8397808501582,118.974408460265,122.695246357776,126.65181222607,76.9400889834707,69.0767808205518,98.8397808501582,
2001,105.374480511418,128.579506348725,124.315440698008,130.428251453296,80.48707609768671,68.55203418372074,105.374480511418,
2002,112.169794347551,137.852910010466,125.740359042085,133.942499848237,83.94701308909303,67.5782957348404,112.169794347551,
2003,118.625849395589,145.859866276491,126.967634046142,137.207732128137,87.068931472164,66.15949215577623,118.625849395589,
2004,124.010074749091,151.690492877704,127.990294775891,140.219198011757,89.58039357058051,64.27116253322838,124.010074749091,
2005,127.762641007657,154.82310888224,128.787493956586,142.926269896579,91.29150609799306,61.88754217514301,127.762641007657,
2006,129.603618023398,155.200128429459,129.31428136572,145.217328199965,92.12089456830952,59.024693433144165,129.603618023398,
2007,129.578449238349,153.219534569896,129.493631841219,146.931290640313,92.1023744274024,55.6908952475202,129.578449238349,
2008,128.223541914309,149.674609069796,129.211177407354,147.86540165402,91.40271224496098,51.907366175260215,128.223541914309,
2009,125.909518820695,145.095738349699,128.309213769983,147.777192771082,90.10439431312052,47.7978917131832,125.909518820695,
2010,122.843767307781,139.746962739453,126.59192486089,146.422841504952,88.21265620770166,43.60627832618458,122.843767307781,
2011,119.138579537633,133.693765185406,123.85980247416,143.626053441374,85.69488337763784,39.59750920847312,119.138579537633,
2012,114.81280999924,126.904559006511,119.969319155268,139.334505751042,82.51672290019067,35.96802216640958,114.81280999924,
2013,109.890927386214,119.422719869868,114.862649424949,133.668215070238,78.69959124419222,32.80949727434383,109.890927386214,
2014,104.406272292175,111.322877852512,108.491774612384,126.63425297773,74.2545269966936,30.153081908980504,104.406272292175,
2015,98.3982760368818,102.744735832778,100.854049552505,118.227908901587,69.20982156701362,28.00298941998665,98.3982760368818,
2016,91.9833072171696,93.9529679104789,92.2674113341209,108.752329740099,63.730522284244266,26.36901708274417,91.9833072171696,
2017,85.3947516695059,85.3740008270963,83.3208565505139,98.9324833025409,58.14170443491277,25.26976564841339,85.3947516695059,
2018,78.9461621581863,77.494731645009,74.6228076816262,89.5047141007856,52.79667894463083,24.72494152986464,78.9461621581863,
2019,72.9401439308114,70.7351174183246,66.5866786418945,80.9233418136813,47.95736288854611,,72.9401439308114,
2020,67.6428406133998,65.3341678847003,59.3442552689395,73.2936389790682,43.745996365791775,,67.6428406133998,
2021,63.3529943926621,61.3776416076105,52.8633566139626,66.5154447166499,40.20410921197401,,63.3529943926621,
2022,60.203819049175,58.8198554716822,47.1882591754763,60.491061756339,37.33731922664887,,60.203819049175,
2023,58.2419984195885,57.5192499454665,42.434605885853,55.2790383808818,35.15868944365889,,58.2419984195885,
2024,57.4644781500608,57.3020669427977,38.7402570857108,51.068912255461,33.69302086455119,,57.4644781500608,
2025,57.8752839025542,58.0546558780554,36.171627056809,48.0634306614509,32.966588706486185,,57.8752839025542,
2026,-0.004886209621334459,,34.6074275100498,46.2978517576706,,,-0.004886209621334459,-0.004886209621334459
2027,,,33.8563538857673,45.7292993963252,,,,
