,"Maddison (2003), The World Economy: Historical Statistics, 1990 International Geary-Khamis dollars",Derived from S017-A (world regions),Derived from S017-A (world regions),Composite final series,Composite final series
Year,S017-A,S017-K,S017-L,S017,S017-A-EXT
1710,619.5196316426121,,,619.5196316426121,
1720,623.836028766011,,,623.836028766011,
1730,628.15242588941,,,628.15242588941,
1740,632.4688230128089,,,632.4688230128089,
1750,636.7852201362078,,,636.7852201362078,
1760,641.1016172596068,,,641.1016172596068,
1770,645.4180143830057,,,645.4180143830057,
1780,649.7344115064046,,,649.7344115064046,
1790,654.0508086298036,,,654.0508086298036,
1800,658.3672057532025,,,658.3672057532025,
1810,662.6836028766014,,,662.6836028766014,
1820,667.0,,,667.0,
1830,708.6,,,708.6,
1840,750.2,,,750.2,
1850,791.8000000000001,,,791.8000000000001,
1860,833.4000000000001,,,833.4000000000001,
1870,875.0,,,875.0,
1880,1004.0906092819534,,,1004.0906092819534,
1890,1133.181218563907,,,1133.181218563907,
1900,1262.2718278458603,,,1262.2718278458603,
1910,1432.0865033551431,,,1432.0865033551431,
1920,1601.901178864426,,,1601.901178864426,
1930,1771.715854373709,,,1771.715854373709,
1940,1941.5305298829917,,,1941.5305298829917,
1950,2111.3452053922747,,,2111.3452053922747,
1960,2777.334256335963,,,2777.334256335963,
1970,3736.384238452876,,,3736.384238452876,
1980,4519.754408205356,,,4519.754408205356,
1990,5156.66772950687,,,5156.66772950687,
2000,6012.354771793676,,,6012.354771793676,
2001,6011.246109405292,,,6011.246109405292,6011.246109405292
2002,6062.122055921543,,,6062.122055921543,6062.122055921543
2003,6178.958521275487,,,6178.958521275487,6178.958521275487
2004,6353.842778128849,,,6353.842778128849,6353.842778128849
2005,6506.101658170652,,,6506.101658170652,6506.101658170652
2006,6615.52190728597,,,6615.52190728597,6615.52190728597
2007,6669.489815700141,,,6669.489815700141,6669.489815700141
2008,6587.467288574381,,,6587.467288574381,6587.467288574381
2009,6348.630060171832,,,6348.630060171832,6348.630060171832
2010,6455.283517322115,,,6455.283517322115,6455.283517322115
2011,6508.753452719527,,,6508.753452719527,6508.753452719527
2012,6608.521865848243,,,6608.521865848243,6608.521865848243
2013,6683.778727366723,,,6683.778727366723,6683.778727366723
2014,6786.742308467211,,,6786.742308467211,6786.742308467211
2015,6919.280434035595,,,6919.280434035595,6919.280434035595
2016,6983.85839658734,,,6983.85839658734,6983.85839658734
2017,7095.407942332545,,,7095.407942332545,7095.407942332545
2018,7266.044714114206,,,7266.044714114206,7266.044714114206
2019,7398.983690280949,,,7398.983690280949,7398.983690280949
2020,7125.130309896215,,,7125.130309896215,7125.130309896215
2021,7537.012628909901,,,7537.012628909901,7537.012628909901
2022,7663.422151241392,,,7663.422151241392,7663.422151241392
