,"S208AW: Pcorp/KNCcorp(-1), Rate (decimal)","S208AX: Pnoncorp/KNCnoncorp(-1), Rate (decimal)","S013-V: actual output / capacity output, Ratio (decimal)",Composite final series,Composite final series,Composite final series,Composite final series,Composite final series
Year,S026-A,S026-B,S026-C,CS026-D,CS026-D2,CS026-N,CS026-N2,S026
1947,0.1410658307,0.1818650883,0.885106384754181,190.1,81.5,22.5,12.366826003824094,0.1410658307
1948,0.1557075224,0.1927465653,0.923893213272095,208.0,89.0,29.6,15.708845070422534,0.1557075224
1949,0.1326923077,0.1568331982,0.869800388813019,212.2,90.9,27.6,13.958154639175266,0.1326923077
1950,0.1621112158,0.1806038455,0.879007756710052,238.2,102.9,34.4,16.416889556724268,0.1621112158
1951,0.164147775,0.1775401705,0.925842940807343,258.3,111.2,39.1,18.2688835393624,0.164147775
1952,0.1432442896,0.1539746515,0.910232961177826,273.2,114.6,37.0,17.121981250000008,0.1432442896
1953,0.1365300146,0.1412503095,0.924771666526794,286.7,116.5,37.3,16.187285464098068,0.1365300146
1954,0.1269619812,0.1379841665,0.8767209649086,295.0,118.1,36.4,16.075155397390272,0.1269619812
1955,0.1579661017,0.1604573813,0.903114199638367,324.7,127.0,46.6,18.95001673640169,0.1579661017
1956,0.1392054204,0.1418057743,0.86929577589035,360.0,134.5,45.2,18.00933333333334,0.1392054204
1957,0.1236111111,0.1317884917,0.843951225280762,386.1,139.0,44.5,17.725552132701434,0.1236111111
1958,0.1033411033,0.1220111848,0.798105180263519,393.5,140.7,39.9,16.95955468366848,0.1033411033
1959,0.1298602287,0.1391070361,0.861047804355621,410.6,143.7,51.1,19.572359982713916,0.1298602287
1960,0.1217730151,0.1286074396,0.880931198596954,418.8,145.8,50.0,18.48088907353552,0.1217730151
1961,0.1215377268,0.1288740974,0.882777214050293,429.1,148.7,50.9,18.789843407707917,0.1215377268
1962,0.1365649033,0.1374551155,0.939095973968506,442.9,153.0,58.6,20.439575667655767,0.1365649033
1963,0.1451794988,0.1409852657,0.97143566608429,457.0,157.0,64.3,21.5707456445993,0.1451794988
1964,0.1555798687,0.147834631,1.00164115428925,482.4,166.3,71.1,23.2100370609088,0.1555798687
1965,0.1695688226,0.1541676957,1.0422728061676,515.7,175.8,81.8,25.63808779631257,0.1695688226
1966,0.170641846,0.1515746343,1.06474781036377,561.5,189.5,88.0,26.646820717131483,0.170641846
1967,0.1520926091,0.1333920464,1.04273521900177,608.6,201.3,85.4,25.277792788217376,0.1520926091
1968,0.1505093658,0.1292397706,1.05709373950958,670.2,221.8,91.6,26.01596581196581,0.1505093658
1969,0.1311548791,0.108962505,1.04945170879364,738.5,244.1,87.9,24.167883601286174,0.1311548791
1970,0.102098849,0.0847492031,0.984412431716919,812.9,267.29999999999995,75.4,20.68728048780489,0.102098849
1971,0.1085004306,0.0882015743,0.973544180393219,892.1,301.1,88.2,23.576280817916256,0.1085004306
1972,0.1142248627,0.0889746336,1.00391101837158,969.1,337.0,101.9,26.790262186629533,0.1142248627
1973,0.1130946239,0.088502482,1.00486552715302,1094.1,385.0,109.6,29.82533644133646,0.1130946239
1974,0.0892971392,0.0665103853,0.884328484535217,1343.1,456.1,97.7,25.606498321412914,0.0892971392
1975,0.0883776338,0.0671832254,0.853546917438507,1492.3,493.2,118.7,30.642269083969467,0.0883776338
1976,0.09723246,0.0728934692,0.879995822906494,1640.6,534.6,145.1,35.95105902653815,0.09723246
1977,0.105266366,0.0768115613,0.901091992855072,1826.3,603.0,172.7,41.06346067885116,0.105266366
1978,0.1071017905,0.0762010705,0.911491215229034,2077.5,683.8000000000001,195.6,45.94924548933842,0.1071017905
1979,0.0917930205,0.0648313198,0.88534152507782,2395.5,792.7,190.7,44.331656469036005,0.0917930205
1980,0.0692965978,0.0459355722,0.834066033363342,2757.4,902.7,166.0,36.41312806158152,0.0692965978
1981,0.0702110684,0.0445054902,0.843342185020447,3122.0,1017.1,193.6,40.17510602678573,0.0702110684
1982,0.0554452274,0.0343864752,0.820055425167084,3315.4,1089.6,173.1,34.97448387756495,0.0554452274
1983,0.0678047898,0.0412843628,0.858657002449036,3411.6,1127.2,224.8,44.98344167347199,0.0678047898
1984,0.0826591629,0.0520559625,0.924870848655701,3614.3,1192.6,282.0,58.67748092878219,0.0826591629
1985,0.0814542235,0.0511625251,0.935598075389862,3815.6,1265.1,294.4,61.01642737896486,0.0814542235
1986,0.0719939197,0.0458628009,0.929214417934418,3986.4,1348.6,274.7,58.02102947220692,0.0719939197
1987,0.0802227574,0.050490346,0.948412120342255,4194.6,1420.6,319.8,68.09128058153539,0.0802227574
1988,0.0881132885,0.0575875241,0.971393048763275,4460.1,1502.0,369.6,81.80883676595744,0.0881132885
1989,0.0803569427,0.0536619373,0.967775762081146,4725.9,1568.1999999999998,358.4,80.60022986062853,0.0803569427
1990,0.0758374066,0.0515466882,0.960640132427216,4991.6,1616.0,358.4,80.83551637358346,0.0758374066
1991,0.0762881641,0.0522201978,0.958979725837708,5104.6,1629.1,380.8,84.38783970800705,0.0762881641
1992,0.0828860244,0.0595094441,0.975646138191223,5275.2,1663.0,423.1,96.94683541770888,0.0828860244
1993,0.0884895359,0.0655157545,0.979155540466309,5523.3,1712.1,466.8,108.95269969543148,0.0884895359
1994,0.0996324661,0.0745787772,1.01144421100616,5823.5,1779.5,550.3,127.68632444821202,0.0996324661
1995,0.1070146819,0.0808220064,1.01938092708588,6155.3,1843.1,623.2,143.822760414215,0.1070146819
1996,0.1136419021,0.0911915141,1.04219925403595,6471.8,1915.7,699.5,168.07507968127504,0.1136419021
1997,0.1201056893,0.096897271,1.07182896137238,6832.1,2012.8,777.3,185.62610204552448,0.1201056893
1998,0.1038772852,0.0873822874,1.09457731246948,7219.2,2128.4,709.7,175.88306808717903,0.1038772852
1999,0.1017841312,0.0876118473,1.10842335224152,7651.3,2233.3,734.8,186.47305578218825,0.1017841312
2000,0.088037327,0.078800467,1.11509871482849,8200.9,2348.6,673.6,175.9850829747205,0.088037327
2001,0.0749308003,0.075797158,1.06325256824493,8635.2,2456.8,614.5,178.01720531658236,0.0749308003
