,"Semmler (1984), Table 3.3, p.95; via Weston et al. (1974), Percent","Semmler (1984), Table 3.3, p.95; via Weston et al. (1974), Percent","Semmler (1984), Table 3.3, p.95; via Weston et al. (1974), Percent"
Year,S843-A,S843-B,S843-C
20,37.5,50.0,81.6
50,58.6,44.8,85.2
80,66.7,38.9,84.0
