,"Appendix 6.8.II.7 via S073-I, Rate (decimal)","HP filter via S073-W, Rate (decimal)",Composite final series,Composite final series
Year,S087-A,S087-B,S087,S087-A-EXT
1948,0.3146845373281579,0.1620060260069935,0.3146845373281579,
1949,-0.1193329142047778,0.14325017791879702,-0.1193329142047778,
1950,0.4391864320248649,0.12602111494381232,0.4391864320248649,
1951,0.0742394802643954,0.10921979127401535,0.0742394802643954,
1952,-0.0865276119641254,0.09487881427219255,-0.0865276119641254,
1953,0.0166926363950819,0.08468098819103416,0.0166926363950819,
1954,-0.013296796656494,0.0784950530208673,-0.013296796656494,
1955,0.4683115288190786,0.07550986523405966,0.4683115288190786,
1956,-0.1179289101561937,0.07399636280620528,-0.1179289101561937,
1957,-0.0449562585858918,0.07615350034874835,-0.0449562585858918,
1958,-0.0984397682431357,0.08226097974350906,-0.0984397682431357,
1959,0.3213454719068297,0.0913874052829612,0.3213454719068297,
1960,-0.0051659491143817,0.10079437377971218,-0.0051659491143817,
1961,0.0697966879034338,0.11004306271260811,0.0697966879034338,
1962,0.2458098044092056,0.11763504633155414,0.2458098044092056,
1963,0.1685280262198505,0.12166943513836374,0.1685280262198505,
1964,0.18526608515762,0.12152708721562688,0.18526608515762,
1965,0.2577875737446189,0.11705744655674839,0.2577875737446189,
1966,0.1330682861076214,0.10874734713455293,0.1330682861076214,
1967,-0.002242470632261,0.09849092419374393,-0.002242470632261,
1968,0.1036734759554692,0.08842552236875542,0.1036734759554692,
1969,-0.0090829713397683,0.07968115234576144,-0.0090829713397683,
1970,-0.1106014559446752,0.07354030434680318,-0.1106014559446752,
1971,0.1310239390940835,0.07039782735706655,0.1310239390940835,
1972,0.1680963577361029,0.06880715275882258,0.1680963577361029,
1973,0.1070033704367608,0.0679279730517125,0.1070033704367608,
1974,-0.0766714361440778,0.06791287278515032,-0.0766714361440778,
1975,0.0512066582717176,0.06930519048240062,0.0512066582717176,
1976,0.1788507473506982,0.07120242157743568,0.1788507473506982,
1977,0.134696972032776,0.07252107618212096,0.134696972032776,
1978,0.1313083260557696,0.0732541476660544,0.1313083260557696,
1979,0.0011555534987356,0.07401638835734048,0.0011555534987356,
1980,-0.057693773752115,0.07600309236798088,-0.057693773752115,
1981,0.1101630586613128,0.07968094546139118,0.1101630586613128,
1982,-0.0334140131144302,0.08417966473978604,-0.0334140131144302,
1983,0.2066641506687715,0.08893378843737931,0.2066641506687715,
1984,0.2570833910827757,0.09220191800984269,0.2570833910827757,
1985,0.0826137755618744,0.09341995853516187,0.0826137755618744,
1986,-0.0031225928221011,0.09367262982205181,-0.0031225928221011,
1987,0.1324324364308569,0.09393658984949455,0.1324324364308569,
1988,0.1332554209737922,0.09422054437003058,0.1332554209737922,
1989,0.0697487991037705,0.0949181576020141,0.0697487991037705,
1990,0.0245439045866031,0.09681344252983681,0.0245439045866031,
1991,0.0370140242977081,0.10043871855290802,0.0370140242977081,
1992,0.074990776582276,0.10560360969120455,0.074990776582276,
1993,0.090080624814904,0.11148349302215131,0.090080624814904,
1994,0.1834304860350543,0.11694761729208396,0.1834304860350543,
1995,0.1450524194274638,0.12065120256526575,0.1450524194274638,
1996,0.2349682557005036,0.12191429759338966,0.2349682557005036,
1997,0.1764878588973229,0.12030096329677059,0.1764878588973229,
1998,0.0606996890475686,0.11650580017679464,0.0606996890475686,
1999,0.1225433716858866,0.1117852776908535,0.1225433716858866,
2000,0.0492621083355267,0.1068378041850466,0.0492621083355267,
2001,0.0081704566531175,0.10246936894542366,0.0081704566531175,
2002,0.077220454033274,0.09891020429953926,0.077220454033274,
2003,0.0997683827981149,0.09544755345202491,0.0997683827981149,
2004,0.2339943861598234,0.09115176210484939,0.2339943861598234,
2005,0.1660240209501684,0.08513638425344236,0.1660240209501684,
2006,0.0960843363598162,0.07794340013378316,0.0960843363598162,
2007,-0.074286320232904,0.07092366634881839,-0.074286320232904,
2008,-0.1932362501238225,0.06560944886375497,-0.1932362501238225,
2009,0.1303451452797238,0.06208091377798264,0.1303451452797238,
2010,0.3415192800486044,0.05782977020101535,0.3415192800486044,
2011,0.0808058813126471,0.05103036955738448,0.0808058813126471,
2012,-0.014311307807942028,0.04269395837009724,-0.014311307807942028,-0.014311307807942028
2013,0.0027704486257204546,0.03412953827971352,0.0027704486257204546,0.0027704486257204546
2014,0.00504664921993362,0.026076058265012785,0.00504664921993362,0.00504664921993362
2015,0.0012014656191869611,0.018958876408234595,0.0012014656191869611,0.0012014656191869611
2016,-0.0017366416416030592,0.012993056701167698,-0.0017366416416030592,-0.0017366416416030592
2017,-0.0025792984424353083,0.008216089027710387,-0.0025792984424353083,-0.0025792984424353083
2018,-0.0004642984006057747,0.004518166288333239,-0.0004642984006057747,-0.0004642984006057747
2019,-1.1456341848988632e-05,0.001681527508805373,-1.1456341848988632e-05,-1.1456341848988632e-05
2020,0.007400915292019468,-0.0005614129319934748,0.007400915292019468,0.007400915292019468
2021,0.01603299784818059,-0.0024951704936901128,0.01603299784818059,0.01603299784818059
2022,-0.003969193180358137,-0.004324637353671221,-0.003969193180358137,-0.003969193180358137
2023,-0.011326234333692672,-0.006069424005904771,-0.011326234333692672,-0.011326234333692672
2024,-0.0008831709513538022,-0.007745586502625602,-0.0008831709513538022,-0.0008831709513538022
