,"S073-Y, Billions USD","S073 (calculated), Billions USD",Composite final series,Composite final series,Composite final series
Year,S082-A,S082-B,S082,S082-A-EXT,S082-B-EXT
1949,0.662601626,-0.001932998,0.662601626,,
1950,0.6725559480000001,0.010823562,0.6725559480000001,,
1951,0.6704663209999999,0.072047766,0.6704663209999999,,
1952,0.669087137,0.017216048,0.669087137,,
1953,0.64,0.012132145,0.64,,
1954,0.647357724,0.009019772,0.647357724,,
1955,0.652096343,0.0171556,0.652096343,,
1956,0.608274648,0.034328242,0.608274648,,
1957,0.5929734360000001,0.033208284,0.5929734360000001,,
1958,0.635193133,0.022393119,0.635193133,,
1959,0.638694639,0.011941887,0.638694639,,
1960,0.619707467,0.014044932,0.619707467,,
1961,0.640912436,0.011202242,0.640912436,,
1962,0.6424242419999999,0.013623128,0.6424242419999999,,
1963,0.644444444,0.01066697,0.644444444,,
1964,0.629193643,0.015475964,0.629193643,,
1965,0.602761551,0.018210319,0.602761551,,
1966,0.5776458950000001,0.028335598,0.5776458950000001,,
1967,0.578330893,0.030788801,0.578330893,,
1968,0.570377185,0.042506239,0.570377185,,
1969,0.5334224599999999,0.049387016,0.5334224599999999,,
1970,0.502963976,0.052744369,0.502963976,,
1971,0.5316091949999999,0.049993478,0.5316091949999999,,
1972,0.531465988,0.043127897,0.531465988,,
1973,0.5064391500000001,0.055467073,0.5064391500000001,,
1974,0.4619047619999999,0.090792597,0.4619047619999999,,
1975,0.509737511,0.094511644,0.509737511,,
1976,0.511799036,0.057392868,0.511799036,,
1977,0.488023282,0.063754652,0.488023282,,
1978,0.450880626,0.070161027,0.450880626,,
1979,0.3921354449999999,0.083190634,0.3921354449999999,,
1980,0.359377762,0.091172435,0.359377762,,
1981,0.362186788,0.093718662,0.362186788,,
1982,0.366834917,0.061000925,0.366834917,,
1983,0.450546556000001,0.039545474,0.450546556000001,,
1984,0.463510848,0.037566941,0.463510848,,
1985,0.457749382000001,0.030269484,0.457749382000001,,
1986,0.477640438,0.022104672,0.477640438,,
1987,0.513821892,0.029027572,0.513821892,,
1988,0.528752925,0.034349512,0.528752925,,
1989,0.5198324910000001,0.0377604,0.5198324910000001,,
1990,0.520123362,0.038587852,0.520123362,,
1991,0.543915828,0.035450216,0.543915828,,
1992,0.560272989,0.02370956,0.560272989,,
1993,0.548985115,0.022093664,0.548985115,,
1994,0.551920603,0.021071545,0.551920603,,
1995,0.539039381,0.020830881,0.539039381,,
1996,0.549853448,0.019044097,0.549853448,,
1997,0.543242479,0.017654513,0.543242479,,
1998,0.520753354,0.011297664,0.520753354,,
1999,0.504015461,0.01471226,0.504015461,,
2000,0.479123045,0.021649561,0.479123045,,
2001,0.504059458,0.022592894,0.504059458,,
2002,0.552578221,0.016191383,0.552578221,,
2003,0.566278404,0.021529549,0.566278404,,
2004,0.581880342,0.028373158,0.581880342,,
2005,0.584089646,0.033371953,0.584089646,,
2006,0.57525395,0.03231283,0.57525395,,
2007,0.525265996,0.029014997,0.525265996,,
2008,0.511574415,0.022178854,0.511574415,,
2009,0.5819687330000001,0.010552285,0.5819687330000001,,
2010,0.6231974410000001,0.011512646,0.6231974410000001,,
2011,262.6599999999962,0.0004948078660232339,262.6599999999962,262.6599999999962,0.0004948078660232339
2012,390.34875000000466,-0.0021567841681341907,390.34875000000466,390.34875000000466,-0.0021567841681341907
2013,369.40774999999485,0.00044699624140348733,369.40774999999485,369.40774999999485,0.00044699624140348733
2014,449.54725000000326,0.0010320597571320256,449.54725000000326,449.54725000000326,0.0010320597571320256
2015,537.9077500000021,-0.0001794013933804177,537.9077500000021,537.9077500000021,-0.0001794013933804177
2016,342.0502499999966,-0.0006899940250782045,342.0502499999966,342.0502499999966,-0.0006899940250782045
2017,470.43025000000125,-0.0010169661704314496,470.43025000000125,470.43025000000125,-0.0010169661704314496
2018,581.7927500000005,-0.00048109456898308943,581.7927500000005,581.7927500000005,-0.00048109456898308943
2019,521.776249999999,-0.0004032278266239576,521.776249999999,521.776249999999,-0.0004032278266239576
2020,-431.1715000000004,0.0016905459735065773,-431.1715000000004,-431.1715000000004,0.0016905459735065773
2021,1247.9069999999992,0.00426687164226861,1247.9069999999992,1247.9069999999992,0.00426687164226861
2022,543.5242500000022,-0.0025538532415261377,543.5242500000022,543.5242500000022,-0.0025538532415261377
2023,647.7874999999985,-0.0043961574848629306,647.7874999999985,647.7874999999985,-0.0043961574848629306
2024,634.7160000000003,-0.0004984119019866059,634.7160000000003,634.7160000000003,-0.0004984119019866059
2025,422.9462500000009,,422.9462500000009,422.9462500000009,
