,"IMF IFS via S073-C, Rate (decimal)","Appendix 14.2 via S073-N, Rate (decimal)","Appendix 14.2 via S073-O, Index","S073-H, Rate (decimal)",Composite final series
Year,S084-A,S084-B,S084-C,S084-D,S084
1948,0.05568,0.0374999999999999,0.0320853960396039,0.3354192740926157,0.05568
1949,-0.001932998,0.0605000000025,0.0601505775602413,0.337398374,-0.001932998
1950,0.010823562,0.0520833333325,0.062096053354342,0.327444052,0.010823562
1951,0.072047766,0.0328333333349999,0.0314246424658415,0.329533679,0.072047766
1952,0.017216048,0.03025,0.0252582508250825,0.330912863,0.017216048
1953,0.012132145,0.02925,0.0232165841584158,0.36,0.012132145
1954,0.009019772,0.0559166666674999,0.0653745187028444,0.352642276,0.009019772
1955,0.0171556,0.043666666665,0.0560965346513243,0.347903657,0.0171556
1956,0.034328242,0.0412499999975,0.0461169554427496,0.391725352,0.034328242
1957,0.033208284,0.0429999999975,0.0444900990073144,0.407026564,0.033208284
1958,0.022393119,0.0684166666675,0.0946656353146844,0.364806867,0.022393119
1959,0.011941887,0.0544999999999999,0.077523102310231,0.361305361,0.011941887
1960,0.014044932,0.055416666665,0.0701852997778671,0.380292533,0.014044932
1961,0.011202242,0.0669166666675,0.103687706271918,0.359087564,0.011202242
1962,0.013623128,0.0556666666649999,0.0808360836059405,0.357575758,0.013623128
1963,0.01066697,0.0564166666675,0.0782013201331683,0.355555556,0.01066697
1964,0.015475964,0.0515833333349999,0.0678840071529083,0.370806357,0.015475964
1965,0.018210319,0.045083333335,0.052634419693915,0.397238449,0.018210319
1966,0.028335598,0.0379166666674999,0.0387926292637788,0.422354105,0.028335598
1967,0.030788801,0.0384166666649999,0.0332817656751237,0.421669107,0.030788801
1968,0.042506239,0.0355833333324999,0.0296527777770833,0.429622815,0.042506239
1969,0.049387016,0.0349166666675,0.0272822469753486,0.46657754,0.049387016
1970,0.052744369,0.0498333333349999,0.0427612761290428,0.497036024,0.052744369
1971,0.049993478,0.0594999999975,0.0668638613833292,0.468390805,0.049993478
1972,0.043127897,0.0560000000025,0.066580858088781,0.468534012,0.043127897
1973,0.055467073,0.0485833333324999,0.0481824807472483,0.49356085,0.055467073
1974,0.090792597,0.056416666665,0.0543685368520792,0.538095238,0.090792597
1975,0.094511644,0.0847500000024999,0.119573019805507,0.490262489,0.094511644
1976,0.057392868,0.0769999999999999,0.120264851485148,0.488200964,0.057392868
1977,0.063754652,0.0705,0.0995841584158415,0.511976718,0.063754652
1978,0.070161027,0.0606666666649999,0.0713283828363242,0.549119374,0.070161027
1979,0.083190634,0.0585000000025,0.0626509901016872,0.607864555,0.083190634
1980,0.091172435,0.0717499999999999,0.0847147277227722,0.640622238,0.091172435
1981,0.093718662,0.076166666665,0.10375508800653,0.637813212,0.093718662
