,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series
Year,S026-EXT,S090,S090A,S090AA,S090AB,S090B,S090C,S090D,S090E,S090F,S090G,S090H,S090I,S090J,S090K,S090L,S090M,S090N,S090O,S090P,S090Q,S090R,S090S,S090T,S090U,S090V,S090W,S090X,S090Y,S090Z,S105-EXT
1947,,,0.684669876212078,,,0.2099494097807757,0.1437460364054025,0.885106384754181,0.7735452912840868,0.229449284911671,0.1774894139319239,,,,,,,,0.1437460364054025,,,,,,0.0,,,,24.9,,
1948,,,0.694674106613144,0.1639635207520729,,0.2360294117647059,0.1639635207520729,0.923893213272095,0.7518987006656971,0.229324174783279,0.1724285490507807,-0.0279836111243807,-0.0005452626642099,-0.0285136153702347,0.3146845373281579,0.162021979190928,,0.0104,0.1535635207520729,0.306220765335575,,0.3042845373281579,0.152106226528314,,0.0,91.1,1.0,91.1,32.1,32.099999999999994,
1949,,,0.6005033790022022,0.1369728251198376,,0.2280966767371601,0.1369728251198376,0.869800388813019,0.6903921712678062,0.22900357180577,0.1581022731670685,-0.081801616818111,-0.0013980339308403,-0.0830852893130421,-0.1193329142047778,0.143262907836036,0.162021979190928,0.01102,0.1259528251198376,0.270534302259155,0.306220765335575,-0.1303529142047778,0.131929957098199,0.152106226528314,0.0,88.8,1.0,88.8,30.2,30.200000000000003,
1950,,,0.6569891215660126,0.1622841654864254,,0.2470119521912351,0.1622841654864254,0.879007756710052,0.7474213015195563,0.228358741382195,0.1706801876972479,0.0826039642758758,-0.0028158094587359,0.0795555577932027,0.4391864320248649,0.126030616689233,0.143262907836036,0.01218,0.1501041654864254,0.237222631529379,0.270534302259155,0.4270064320248649,0.113275625402801,0.131929957098199,0.0,98.7,1.0,98.7,37.2,37.2,
1951,,,0.6502339297442505,0.1598319376178753,,0.2458068247541931,0.1598319376178753,0.925842940807343,0.702315588405568,0.227251913197548,0.1596025611336269,-0.0603484447423233,-0.0048468833640773,-0.0649028262335312,0.0742394802643954,0.109226256880253,0.126030616689233,0.01552,0.1443119376178753,0.2052832024703,0.237222631529379,0.0587194802643954,0.0950418696058558,0.113275625402801,0.0,114.6,1.0,114.6,42.5,42.5,
1952,,,0.6068712214783908,0.136202164687798,,0.2244333886124931,0.136202164687798,0.910232961177826,0.6667207707937863,0.225731729522999,0.1505000327001883,-0.0506820839511632,-0.0066894207980882,-0.057032470962778,-0.0865276119641254,0.0948826733719315,0.109226256880253,0.01766,0.118542164687798,0.175972238090677,0.2052832024703,-0.1041876119641254,0.0792645716170687,0.0950418696058558,0.0,123.0,1.0,123.0,40.6,40.6,
1953,,,0.6031519065681555,0.1280451619832189,,0.212293388429752,0.1280451619832189,0.924771666526794,0.6522171130452558,0.224032313497744,0.1461177087383482,-0.0217537211736522,-0.0075284765187689,-0.0291184253133695,0.0166926363950819,0.0846824485583049,0.0948826733719315,0.01931,0.1087351619832189,0.152046129374567,0.175972238090677,-0.002617363604918,0.0676161946500888,0.0792645716170687,0.0,134.0,1.0,134.0,41.1,41.1,
1954,,,0.5556906753806325,0.117617301564283,,0.2116596638655462,0.117617301564283,0.8767209649086,0.6338284330163868,0.222374470965749,0.1409472624750687,-0.0281941084664441,-0.0074000152304444,-0.035385486864828,-0.013296796656494,0.0784943380996895,0.0846824485583049,0.00953,0.108087301564283,0.133864544925119,0.152046129374567,-0.022826796656494,0.0599345562023938,0.0676161946500888,0.0,132.2,1.0,132.2,40.3,40.30000000000001,
1955,,,0.6037407038283239,0.1435878447213399,,0.2378303198887343,0.1435878447213399,0.903114199638367,0.6685098120150021,0.220861684636002,0.1476482032773304,0.054717297603023,-0.006802877700741,0.0475421848185733,0.4683115288190786,0.0755072731708185,0.0784943380996895,0.01753,0.1260578447213399,0.120690692051735,0.133864544925119,0.4507815288190787,0.0553553118249606,0.0599345562023938,0.0,144.6,1.0,144.6,51.3,51.30000000000001,
