,"OECD.Stat, Monthly Monetary and Financial Statistics, Short Term Interest Rates (MEI), Rate (decimal)","From Appendix 6.8.II.7 profit rate data, Rate (decimal)","OECD.Stat MEI, Short Term Interest Rates, Rate (decimal)",Derived from S098-C,"OECD rate combined from OECD.Stat and EU fill-in, in percent, Percent",Composite final series,Composite final series,Composite final series
Year,S098-A,S098-B,S098-C,S098-D,S098-E,S098,S098-A-EXT,S098-E-EXT
1960,0.0411667,0.0491335044072902,,,,0.0411667,,
1961,0.038825,0.0463877065406041,,,,0.038825,,
1962,0.0394583,0.0454359478916593,,,,0.0394583,,
1963,0.040025,0.0460366911505047,,,,0.040025,,
1964,0.0418667,0.0496307782583562,,,,0.0418667,,
1965,0.0434416699999999,0.0546160596921687,,,,0.0434416699999999,,
1966,0.05483333,0.0622550058892803,,,,0.05483333,,
1967,0.0502083299999999,0.0570286015646756,,,,0.0502083299999999,,
1968,0.05859167,0.0593073833616693,,,,0.05859167,,
1969,0.07760833,0.0725309960457766,,,,0.07760833,,
1970,0.07564167,0.0807875347370919,,,,0.07564167,,
1971,0.05005,0.0635912064916753,,,,0.05005,,
1972,0.04665833,0.0582797214645296,,,,0.04665833,,
1973,0.0841583299999999,0.0862542677400199,,,,0.0841583299999999,,
1974,0.1024417,0.1042277738186976,,,,0.1024417,,
1975,0.0643666599999999,0.076860798142148,,,,0.0643666599999999,,
1976,0.05268333,0.0770192087956299,,,,0.05268333,,
1977,0.05640833,0.074388398134272,,,,0.05640833,,
1978,0.08221666,0.0773529343143252,,,,0.08221666,,
1979,0.11225,0.0993964321674032,,,,0.11225,,
1980,0.1306667,0.1200518199734605,,,,0.1306667,,
1981,0.1591083,0.1393095382041335,,,,0.1591083,,
1982,0.1227083,0.1193240301927182,,,,0.1227083,,
1983,0.09066667,0.0950587226682578,,,,0.09066667,,
1984,0.10365,0.0973635510112952,,,,0.10365,,
1985,0.0804749999999999,0.0858817662689047,,,,0.0804749999999999,,
1986,0.06518333,0.0720595429418615,,,6.52,0.06518333,,
1987,0.06860833,0.0694472970220167,,,6.86,0.06860833,,
1988,0.077275,0.0721243628868261,,,7.73,0.077275,,
1989,0.09085,0.0880281550465195,,,9.09,0.09085,,
1990,0.081475,0.0963549158672033,,,8.15,0.081475,,
1991,0.05835,0.0858171086163799,,,5.84,0.05835,,
1992,0.03681667,0.0739627924669794,,,3.68,0.03681667,,
1993,0.03174167,0.0571324341921247,,,3.17,0.03174167,,
1994,0.04629167,0.0579894235462402,0.0653,0.8880463023926535,4.63,0.04629167,,
1995,0.05916667,0.0594004715661502,0.0682,0.8709746563951655,5.92,0.05916667,,
1996,0.0538999999999999,0.0477854553216852,0.0509,0.9388105171254468,5.39,0.0538999999999999,,
1997,0.05615833,0.0444301467781042,0.0438,1.014386912742106,5.62,0.05615833,,
1998,0.05466667,0.0413520921869096,0.0395999999999999,1.0442447521946885,5.47,0.05466667,,
1999,0.0533,0.0395101472196439,0.0296,1.334802270933919,5.33,0.0533,,
2000,0.06455833,0.0487647825644842,0.0438999999999999,1.110815092585063,6.46,0.06455833,,
2001,0.03686667,0.0386887636074971,0.0426,0.9081869391431246,3.69,0.03686667,,
2002,0.01725833,0.0289628430536128,0.0332,0.87237479077147,1.73,0.01725833,,
2003,0.01150833,0.022565492448344,0.0233,0.96847607074438,1.15,0.01150833,,
2004,0.01563333,0.02409742001832,0.0210999999999999,1.142057820773463,1.56,0.01563333,,
2005,0.03511667,0.0278304009176819,0.0218,1.2766238953065114,3.51,0.03511667,,
2006,0.05153333,0.0365737946983375,0.0308,1.1874608668291402,5.15,0.05153333,,
2007,0.05268333,0.0423079663739648,0.0428,0.9885038872421694,5.27,0.05268333,,
2008,0.02965,0.0364971819445161,0.0463,0.7882760679161149,2.97,0.02965,,
2009,0.0055583329999999,0.0136064287545109,0.0123,1.106213719878937,0.56,0.0055583329999999,,
2010,0.0031,0.0089603311310193,0.0081,1.1062137198789368,0.31,0.0031,,
2011,0.003,0.0153763707063172,0.0139,1.106213719878937,0.3,0.003,,
2012,0.0028,0.0063054182033099,0.0056999999999999,1.106213719878937,0.28,0.0028,,
2013,0.0583333333333333,,,,0.2956799999999998,0.0583333333333333,0.0583333333333333,0.2956799999999998
2014,0.0325,,,,0.3025416666666666,0.0325,0.0325,0.3025416666666666
2015,0.0525,,,,0.1419183333333332,0.0525,0.0525,0.1419183333333332
2016,0.3175,,,,-0.016503333334,0.3175,0.3175,-0.016503333334
2017,0.9308333333333332,,,,-0.0077465353709014,0.9308333333333332,0.9308333333333332,-0.0077465353709014
2018,1.9391666666666667,,,,0.1930454698174135,1.9391666666666667,1.9391666666666667,0.1930454698174135
2019,2.060833333333333,,,,0.1290917984545068,2.060833333333333,2.060833333333333,0.1290917984545068
2020,0.365,,,,-0.1296788097652023,0.365,0.365,-0.1296788097652023
2021,0.0441666666666666,,,,,0.0441666666666666,0.0441666666666666,
2022,2.0216666666666665,,,,,2.0216666666666665,2.0216666666666665,
2023,5.068333333333333,,,,,5.068333333333333,5.068333333333333,
2024,4.966666666666667,,,,,4.966666666666667,4.966666666666667,
2025,4.066666666666666,,,,,4.066666666666666,4.066666666666666,
2026,3.5975,,,,,3.5975,3.5975,
