,"MeasuringWorth.com, Williamson 'What Was the U.S. GDP Then?', Current dollars",Composite final series,Composite final series,Composite final series
Year,S003-A,S003,S003-B,S003-EXT
1780,47.61,1024.87,,
1781,50.32,1054.45,,
1782,53.34,1098.47,,
1783,57.83,1150.76,,
1784,70.5,1264.71,,
1785,83.24,1305.38,,
1786,87.78,1307.36,,
1787,83.62,1294.21,,
1788,81.89,1310.26,,
1789,85.09,1361.51,,
1790,89.78,1396.7,,
1791,93.28,1420.78,,
1792,79.28,1420.96,,
1793,83.06,1401.02,,
1794,88.03,1411.21,,
1795,89.92,1440.54,,
1796,95.85,1461.59,,
1797,88.51,1416.53,,
1798,94.11,1376.04,,
1799,97.02,1436.5,,
1800,96.8,1470.97,,
1801,102.19,1494.0,,
1802,101.77,1509.94,,
1803,122.04,1552.06,,
1804,132.07,1573.4,,
1805,110.25,1543.48,,
1806,95.01,1501.46,,
1807,86.62,1492.64,,
1808,80.62,1501.25,,
1809,77.08,1484.73,,
1810,73.09,1498.65,,
1811,73.51,1533.61,,
1812,78.28,1546.46,,
1813,71.71,1556.73,,
1814,69.17,1602.14,,
1815,73.27,1625.62,,
1816,74.93,1634.32,,
1817,76.9,1635.3,,
1818,73.05,1608.2,,
1819,73.51,1620.43,,
1820,78.43,1717.85,,
1821,78.49,1807.01,,
1822,81.79,1872.85,,
1823,81.46,1874.33,,
1824,83.24,1850.94,,
1825,88.98,1895.18,,
1826,95.47,1897.46,,
1827,97.46,1860.29,,
1828,97.53,1885.41,,
1829,98.78,1883.69,,
1830,91.03,1837.66,,
1831,92.9,1826.35,,
1832,88.41,1831.47,,
1833,83.29,1868.92,,
1834,88.01,1921.89,,
1835,93.45,1986.41,,
1836,100.67,2083.89,,
1837,113.72,2154.24,,
1838,110.73,2153.09,,
1839,106.63,2109.35,,
1840,109.9,2131.71,,
1841,111.99,2223.56,,
1842,121.48,2390.64,,
1843,126.55,2495.11,,
1844,136.92,2490.43,,
1845,141.99,2512.8,,
1846,140.67,2543.06,,
1847,141.31,2486.22,,
1848,134.82,2520.57,,
1849,142.39,2640.56,,
1850,137.88,2605.51,,
1851,142.75,2594.13,,
1852,175.98,2856.71,,
1853,226.88,3010.65,,
1854,275.11,2976.69,,
1855,280.86,2991.78,,
1856,249.49,2785.64,,
1857,225.69,2763.06,,
1858,215.01,2801.48,,
1859,201.83,2804.78,,
1860,193.89,2813.59,,
1861,185.12,2868.02,,
1862,195.64,3030.0,,
1863,202.49,3200.3,,
1864,190.9,3170.2,,
1865,179.38,3090.61,,
1866,178.82,3151.56,,
1867,179.77,3242.69,,
1868,173.41,3283.23,,
1869,189.98,3595.59,,
1870,206.16,3816.27,,
1871,225.93,4193.03,,
1872,230.91,4296.41,,
1873,226.25,4290.16,,
1874,211.05,4114.3,,
1875,202.92,4034.45,,
1876,209.07,4277.96,,
1877,221.48,4503.77,,
1878,228.76,4663.95,,
1879,223.82,4698.82,,
1880,239.11,5060.21,,
1881,239.16,5010.71,,
1882,248.13,5147.16,,
1883,228.5,4737.01,,
1884,205.24,4418.2,,
1885,222.66,4841.13,,
1886,217.64,4686.77,,
1887,222.98,4804.22,,
1888,245.76,5245.57,,
1889,260.79,5514.89,,
1890,270.29,5556.85,,
1891,287.03,5739.42,,
1892,303.95,5913.87,,
1893,321.58,5975.56,,
1894,312.54,5656.37,,
1895,343.44,6170.23,,
1896,363.21,6300.18,,
1897,389.06,6346.36,,
1898,339.68,5551.62,,
1899,356.16,5835.8,,
1900,361.7,5776.26,,
1901,365.89,5870.91,,
1902,392.14,6051.07,,
1903,402.57,6167.66,,
1904,368.06,5587.06,,
1905,384.65,5657.46,,
1906,486.83,6352.56,,
1907,577.31,6108.39,,
1908,725.35,6586.95,,
1909,745.59,6607.38,,
1910,830.29,6459.68,,
1911,678.13,6190.81,,
1912,667.26,6444.86,,
1913,762.98,7169.82,,
1914,761.96,7250.57,,
1915,781.97,7310.68,,
1916,825.82,7684.37,,
1917,802.66,7651.82,,
1918,807.95,7644.85,,
1919,850.03,8016.21,,
1920,740.33,7247.46,,
1921,616.2,6724.98,,
1922,469.79,5808.77,,
1923,448.72,5699.74,,
1924,521.8,6280.59,,
1925,575.53,6791.67,,
1926,653.76,7629.06,,
1927,712.62,7971.4,,
1928,662.47,7637.21,,
1929,703.67,8187.56,,
1930,767.47,8831.99,,
1931,949.76,10240.48,,
1932,1200.5,11999.11,,
1933,1452.4,13771.49,,
1934,1588.19,14705.52,,
1935,1593.68,14381.68,,
1936,1571.55,12675.67,,
1937,1693.66,12323.25,,
1938,1835.22,12645.35,,
1939,1791.03,12364.94,,
1940,1936.26,13224.86,,
1941,2199.15,14007.01,,
1942,2282.83,14296.55,,
1943,2377.09,14709.99,,
1944,2342.49,14362.87,,
1945,2509.15,15128.12,,
1946,2600.15,15156.85,,
1947,2692.18,15186.78,,
1948,2682.88,14801.8,,
1949,2860.05,15595.89,,
1950,2912.15,15661.1,,
1951,2965.03,15766.13,,
1952,3138.97,16466.05,,
1953,3263.6,16939.78,,
1954,3457.57,17674.95,,
1955,3700.08,18575.54,,
1956,4006.63,19559.1,,
1957,4188.13,19836.28,,
1958,4532.12,20590.3,,
1959,4855.58,21021.43,,
1960,5062.68,20819.74,,
1961,5425.34,21249.25,,
1962,5896.9,22139.92,,
1963,6522.16,23200.07,,
1964,7010.35,22860.9,,
1965,7582.61,22592.27,,
1966,8366.42,23574.65,,
1967,9215.62,24412.02,,
1968,10303.24,25502.52,,
1969,11382.19,26009.97,,
1970,12243.22,25640.46,,
1971,13594.31,26030.4,,
1972,14009.25,25281.85,,
1973,15083.66,26185.81,,
1974,16628.6,27822.62,,
1975,17682.99,28717.52,,
1976,18531.01,29443.29,,
1977,19503.96,30115.34,,
1978,20812.78,31069.41,,
1979,22160.02,31876.78,,
1980,23185.21,32112.35,,
1981,23634.68,31614.01,,
1982,24685.7,32255.32,,
1983,25616.06,32746.79,,
1984,26893.4,33670.65,,
1985,27813.33,34111.44,,
1986,29062.27,34977.42,,
1987,30526.31,36101.89,,
1988,31842.74,37238.28,,
1989,33485.72,38591.91,,
1990,35236.78,39749.59,,
1991,36049.56,39767.99,,
1992,36935.37,40061.71,,
1993,38309.75,40696.59,,
1994,40385.76,41726.8,,
1995,42612.3,42612.3,,
1996,44732.02,43331.93,,
1997,46448.8,43726.18,,
1998,46883.36,43177.7,,
1999,45332.59,41313.18,,
2000,46843.66,42204.92,42204.92,49915.37
2001,,42185.9124958665,42185.9124958665,49892.89
2002,,42496.551594781326,42496.551594781326,50260.28
2003,,43283.105452440795,43283.105452440795,51190.53
2004,,44544.67780752902,44544.67780752902,52682.58
2005,,45671.10072041537,45671.10072041537,54014.79
2006,,46498.7811350612,46498.7811350612,54993.68
2007,,46978.09492256994,46978.09492256994,55560.56
2008,,46591.95849073341,46591.95849073341,55103.88
2009,,44992.9944819802,44992.9944819802,53212.8
2010,,45818.22286095044,45818.22286095044,54188.79
2011,,46168.87241785446,46168.87241785446,54603.5
2012,,46861.23428438975,46861.23428438975,55422.35
2013,,47495.389897163936,47495.389897163936,56172.36
2014,,48312.763306676876,48312.763306676876,57139.06
2015,,49347.95358184062,49347.95358184062,58363.37
2016,,49859.591963789906,49859.591963789906,58968.48
2017,,50733.06625850113,50733.06625850113,60001.53
2018,,51930.80958836526,51930.80958836526,61418.09
2019,,52995.25518572736,52995.25518572736,62677.0
2020,,51684.68439360461,51684.68439360461,61127.0
2021,,54754.802165345056,54754.802165345056,64758.0
2022,,55823.55150808258,55823.55150808258,66022.0
2023,,56989.53674830017,56989.53674830017,67401.0
2024,,58052.36738423455,58052.36738423455,68658.0
