,"MeasuringWorth CPI, Index","Calculated from MeasuringWorth CPI, Rate (decimal)",Composite final series,Composite final series,Composite final series
Year,S076-A,S076-B,S076,S076-COMBINED,S076-EXT
1774,7.82,,7.82,7.82,
1775,7.41,-0.0524296675191816,7.41,7.41,
1776,8.46,0.1417004048582997,8.46,8.46,
1777,10.31,0.218676122931442,10.31,10.31,
1778,13.38,0.2977691561590689,13.38,13.38,
1779,11.84,-0.1150971599402093,11.84,11.84,
1780,13.29,0.1224662162162162,13.29,13.29,
1781,10.72,-0.1933784800601955,10.72,10.72,
1782,11.76,0.0970149253731342,11.76,11.76,
1783,10.31,-0.1232993197278911,10.31,10.31,
1784,9.91,-0.0387972841901067,9.91,9.91,
1785,9.43,-0.0484359233097881,9.43,9.43,
1786,9.19,-0.0254506892895015,9.19,9.19,
1787,9.02,-0.0184983677910772,9.02,9.02,
1788,8.62,-0.0443458980044346,8.62,8.62,
1789,8.54,-0.0092807424593968,8.54,8.54,
1790,8.86,0.0374707259953162,8.86,8.86,
1791,9.1,0.0270880361173815,9.1,9.1,
1792,9.27,0.0186813186813186,9.27,9.27,
1793,9.59,0.034519956850054,9.59,9.59,
1794,10.64,0.1094890510948904,10.64,10.64,
1795,12.17,0.143796992481203,12.17,12.17,
1796,12.81,0.0525883319638456,12.81,12.81,
1797,12.33,-0.0374707259953162,12.33,12.33,
1798,11.92,-0.0332522303325223,11.92,11.92,
1799,11.92,0.0,11.92,11.92,
1800,12.17,0.020973154362416,12.17,12.17,
1801,12.33,0.0131470829909614,12.33,12.33,
1802,10.39,-0.1573398215733982,10.39,10.39,
1803,10.96,0.0548604427333976,10.96,10.96,
1804,11.44,0.0437956204379561,11.44,11.44,
1805,11.36,-0.0069930069930069,11.36,11.36,
1806,11.84,0.0422535211267605,11.84,11.84,
1807,11.2,-0.054054054054054,11.2,11.2,
1808,12.17,0.0866071428571428,12.17,12.17,
1809,11.92,-0.0205423171733771,11.92,11.92,
1810,11.92,0.0,11.92,11.92,
1811,12.73,0.0679530201342282,12.73,12.73,
1812,12.89,0.0125687352710133,12.89,12.89,
1813,15.47,0.2001551590380139,15.47,15.47,
1814,17.0,0.0989010989010987,17.0,17.0,
1815,14.91,-0.1229411764705882,14.91,14.91,
1816,13.62,-0.0865191146881287,13.62,13.62,
1817,12.89,-0.0535976505139499,12.89,12.89,
1818,12.33,-0.04344453064391,12.33,12.33,
1819,12.33,0.0,12.33,12.33,
1820,11.36,-0.0786699107866991,11.36,11.36,
1821,10.96,-0.0352112676056336,10.96,10.96,
1822,11.36,0.0364963503649633,11.36,11.36,
1823,10.15,-0.1065140845070421,10.15,10.15,
1824,9.35,-0.0788177339901478,9.35,9.35,
1825,9.59,0.0256684491978609,9.59,9.59,
1826,9.59,0.0,9.59,9.59,
1827,9.67,0.008342022940563,9.67,9.67,
1828,9.19,-0.0496380558428128,9.19,9.19,
1829,9.02,-0.0184983677910772,9.02,9.02,
1830,8.94,-0.0088691796008869,8.94,8.94,
1831,8.38,-0.0626398210290826,8.38,8.38,
1832,8.3,-0.0095465393794749,8.3,8.3,
1833,8.14,-0.0192771084337349,8.14,8.14,
1834,8.3,0.0196560196560195,8.3,8.3,
1835,8.54,0.0289156626506021,8.54,8.54,
1836,9.02,0.0562060889929743,9.02,9.02,
1837,9.27,0.0277161862527717,9.27,9.27,
1838,9.02,-0.0269687162891046,9.02,9.02,
1839,9.02,0.0,9.02,9.02,
1840,8.38,-0.0709534368070952,8.38,8.38,
