,"S013AO: delta_GOScorp / (IGcorpbea + delta_INVcorp) - 1, Rate (decimal)","S013AZ: nominal IROP adjusted for inflation, Rate (decimal)",Composite final series,Composite final series,Composite final series
Year,S105-A,S105-B,CS105-D,CS105-N,S105
1947,,,,20.213215633931828,
1948,0.7166666667,0.3412974616,0.4304114772018438,21.405676671938977,0.7166666667
1949,-0.076433121,-0.1300334573,-0.051388237655762,15.924672733977683,-0.076433121
1950,0.4269662921,0.4004315509,0.4898059841039955,24.975526490249,0.4269662921
1951,0.3888888889,0.0848927127,0.2762704523043353,28.238214156521483,0.3888888889
1952,-0.0674157303,-0.104170772,-0.0354130043230462,24.711146460385965,-0.0674157303
1953,0.0552995392,0.0116777021,0.0566545952145242,26.653449622981167,0.0552995392
1954,-0.0044052863,-0.0169374804,0.0,24.03637221633459,-0.0044052863
1955,0.4475806452,0.4306074609,0.495083030537904,33.34637040260096,0.4475806452
1956,0.0290456432,-0.1468235495,0.032987098347417,38.2443249172842,0.0290456432
1957,0.0526315789,-0.0657126578,0.0601396417631765,37.62766677421664,0.0526315789
1958,-0.099378882,-0.1092680893,-0.0717557114609643,33.029353950926065,-0.099378882
1959,0.3495702006,0.3467106106,0.3723960213776792,40.20199563854864,0.3495702006
1960,-0.0264900662,-0.0244595276,-0.004974877411514,38.84441165259006,-0.0264900662
1961,0.0489296636,0.0528494643,0.0617849491830311,40.01982174741741,0.0489296636
1962,0.2415730337,0.2495935489,0.2423798901759468,43.94748911199444,0.2415730337
1963,0.1931818182,0.1736846342,0.1729336568155779,47.087915699918575,0.1931818182
1964,0.2167101828,0.1898017825,0.1996265891211711,52.55298093019186,0.2167101828
1965,0.3217821782,0.2584960462,0.2778148782729137,67.03609046772152,0.3217821782
1966,0.1995661605,0.137552752,0.1581237796840791,77.46723556474761,0.1995661605
1967,0.0145190563,-0.0299872836,0.0374351811944569,77.80266950742224,0.0145190563
1968,0.1567398119,0.0889261389,0.1619481706703903,84.62723151717239,0.1567398119
1969,0.0123266564,-0.059871875,0.0614459424794584,99.48092212752589,0.0123266564
1970,-0.1070422535,-0.1669864796,-0.0351826252224851,90.79861303359728,-0.1070422535
1971,0.2222222222,0.1405523559,0.2004435904022633,96.40772165355838,0.2222222222
1972,0.2285012285,0.1623755924,0.2136758305940077,121.53544692699948,0.2285012285
1973,0.1761229314,0.0827917347,0.170320680290364,152.58909930153652,0.1761229314
1974,0.0,-0.1398393243,0.0596372876021582,181.5746520277958,0.0
1975,0.318815331,0.0837243881,0.216439902602616,147.6148390195325,0.318815331
1976,0.2789634146,0.1729905818,0.2357486566468785,185.71125752510287,0.2789634146
1977,0.3059701493,0.1556035121,0.2336961182556934,223.7362188795889,0.3059701493
1978,0.263795424,0.1134925218,0.2176670377459517,263.8997054927478,0.263795424
1979,0.0901916573,-0.0427336743,0.1170899374150654,322.90286061958534,0.0901916573
1980,0.0,-0.1036966425,0.0535764841686591,328.2408013741871,0.0
1981,0.2154142582,0.0735925961,0.2312326794299884,386.96929875567287,0.2154142582
1982,0.0098383696,-0.0558174675,0.0416053677947341,341.3312868789848,0.0098383696
1983,0.1874229346,0.2016469558,0.1672861592094371,364.5217207044473,0.1874229346
1984,0.2130846836,0.2236145129,0.252659841015823,455.7986230580765,0.2130846836
1985,0.0963855422,0.0762560762,0.0886356341512081,483.6231630678708,0.0963855422
1986,-0.0041710115,-0.0165800047,0.0107521731734554,449.4241908310194,-0.0041710115
1987,0.1495757576,0.1442609622,0.1404018770848165,540.6500691882106,0.1495757576
1988,0.1794680587,0.1382927396,0.1701655197013822,465.1536886788383,0.1794680587
1989,0.0267790727,-0.0053960959,0.1029767175146968,523.8888322989876,0.0267790727
1990,0.0514773777,0.0223506457,0.0528738127103104,534.5399280998089,0.0514773777
1991,0.087804878,0.063416421,0.058555027145055,501.1545442304693,0.087804878
1992,0.1039633539,0.1253592839,0.0526783610044636,555.8861274307944,0.1039633539
1993,0.1281094527,0.1254320193,0.0912057299114948,596.3740671505449,0.1281094527
1994,0.2186553604,0.1923162781,0.1903167931870334,849.8289709349242,0.2186553604
1995,0.1923359003,0.1680854591,0.1497948462029402,576.261539297999,0.1923359003
1996,0.175461961,0.1854516209,0.1926208716535547,798.5718178102595,0.175461961
1997,0.1670124481,0.1840965926,0.1485151333354209,866.8255296887871,0.1670124481
1998,-0.0410772579,0.0051045063,0.0149972509516042,926.0729628825704,-0.0410772579
1999,0.08925,0.1066096874,0.0998841384074937,1051.9611432910292,0.08925
2000,-0.0045924225,-0.0032652472,0.0493364230523114,1164.142007101207,-0.0045924225
2001,-0.017013632,-0.0097739931,0.0017180034633234,962.2716608548708,-0.017013632
2002,0.1194835228,0.1313546098,0.0700425906132606,972.5572350327716,0.1194835228
2003,0.1176767167,0.1355018627,0.0966524093534015,996.342677549914,0.1176767167
2004,0.2990622529,0.2732286576,0.2590474199446004,1168.412929408432,0.2990622529
2005,0.2549899081,0.1766808375,0.2192717947153447,1272.2564404500938,0.2549899081
2006,0.2057291667,0.1115348518,0.1614454393544544,1377.005512032329,0.2057291667
2007,-0.125516335,-0.1483428064,-0.0324617436963101,1393.4233885458364,-0.125516335
2008,-0.222883487,-0.2352928366,-0.1512820882244477,1311.1785379549951,-0.222883487
2009,0.11549448,0.1350260103,0.0992999780205896,935.9710916637798,0.11549448
2010,0.2344643538,0.3041547041,0.3396472421331965,1228.8331018183408,0.2344643538
2011,0.1167841494,0.0688860458,0.1295538017037686,1392.9334184927493,0.1167841494
2012,-0.0206833201,-0.0122002185,,,-0.0206833201
2013,0.004003972,0.0023617743,,,0.004003972
2014,0.0072936354,0.004302208,,,0.0072936354
2015,0.00173641,0.001024235,,,0.00173641
2016,-0.0025098695,-0.0014804662,,,-0.0025098695
2017,-0.0037277135,-0.002198821,,,-0.0037277135
2018,-0.0006710241,-0.0003958088,,,-0.0006710241
2019,-1.65572e-05,-9.7664e-06,,,-1.65572e-05
