,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series
Year,S010,S010A,S010AA,S010AB,S010AC,S010AD,S010AE,S010AF,S010AG,S010AH,S010AI,S010AJ,S010AK,S010AL,S010AM,S010AN,S010AO,S010AP,S010AQ,S010AR,S010AS,S010B,S010C,S010D,S010E,S010F,S010G,S010H,S010I,S010J,S010K,S010L,S010M,S010N,S010O,S010P,S010Q,S010R,S010S,S010T,S010U,S010V,S010W,S010X,S010Y,S010Z
1780,,13.7,,,,,,,,,,,,,,,,,,,,,,94.2633795052502,82.03592814371258,115.04847986852918,,122.05002671490398,,,,,,99.5,88.3,,,88.3,88.74371859296483,2.25701128332362,-8.30104375461705,-3.02201623564672,-9.35285850579582,,,
1781,-0.0891240354300658,11.1,,,,,,,,,,,,,,,,,0.0158550396375991,0.0136157496575762,-0.189781656352131,,,94.2633795052502,66.46706586826348,93.21446179129006,,98.88724792229446,,,,,,99.5,89.7,,,89.7,90.15075376884424,-19.4865650260893,-8.71738528711854,-14.1019751566039,-11.5444806403057,,,
1782,-0.076019359231887,12.1,,,,,,,,,,,,,,,,,0.0936454849498326,0.0112861757153457,0.0900937627395026,,,94.5475906997384,72.45508982035929,101.61216105176666,,107.47197289718756,,,,,,99.8,98.1,,,98.1,98.29659318637276,-9.52060249055698,-2.30428498037479,-5.91244373546588,-13.6727943521142,,,
1783,-0.0639212592429289,10.6,,,,,,,,,,,,,,,,,-0.0275229357798164,0.0089789946729155,-0.123961736802739,,,94.5475906997384,63.47305389221557,89.01561216105178,,94.14900105042877,,,,,,99.8,95.4,,,95.4,95.59118236472946,-21.4848188160418,-6.66376737343858,-14.0742930947402,-15.7000661636827,,,
1784,-0.0521751804526982,10.2,,,,,,,,,,,,,,,,,-0.0555555555555556,0.0075401925224307,-0.0377347892513706,,,94.73706482939718,61.07784431137724,85.65653245686113,,90.41501614084382,,,,,,100.0,90.1,,,90.1,90.1,-23.8889317085063,-13.7178378448398,-18.803384776673,-17.5109590913063,,,
1785,-0.0407269726262999,9.7,,,,,,,,,,,,,,,,,-0.0088790233074361,0.0074507359515089,-0.04902109576567,,,94.73706482939718,58.08383233532935,81.45768282662286,,85.98290750648874,,,,,,100.0,89.3,,,89.3,89.3,-27.0326588739126,-15.998482612585,-21.5155707432488,-18.9738784205907,,,
1786,-0.0293780816168255,9.19,,,,,,,,,,,,,,,,,0.0145576707726763,0.0085606341669883,-0.0525792432910211,31.77731673582296,19.49,94.2912433478471,55.02994011976048,77.1748562037798,,81.84732056090964,4.23,,,,4.23,99.5294117647059,90.6,,,90.6,91.02836879432624,-29.8957180182234,-15.6676687341582,-22.7816933761908,-19.970153693995,,,
1787,-0.0180128945087603,9.02,,,,,,,,,,,,,,,,,0.0584988962472407,0.0105565987831172,-0.0185034013605441,31.18948824343015,19.49,94.2912433478471,54.01197604790419,75.74724732949878,,80.33327872245972,4.23,,,,4.23,99.5294117647059,95.9,,,95.9,96.35342789598108,-30.1778268474007,-11.6673441065201,-20.9225854769604,-20.4065313772052,,,
1788,-0.0067478100033318,8.62,,,,,,,,,,,,,,,,,-0.05422314911366,0.0131853117802011,-0.0443449905606822,29.80636237897648,19.49,94.2912433478471,51.616766467065865,72.38816762530814,,76.77082733787171,4.23,,,,4.23,99.5294117647059,90.7,,,90.7,91.128841607565,-32.5287030674071,-18.1294374661084,-25.3290702667578,-20.2178733327292,,,
