,"S041-A, Percent","Ch6 S013/S026, Rate (decimal)",Composite final series,Composite final series
Year,S051-A,S051-B,S051,S051-B-EXT
1947,0.1532607736431828,,0.1532607736431828,
1948,0.1668219627040593,,0.1668219627040593,
1949,0.1399264465965497,,0.1399264465965497,
1950,0.167657174387081,,0.167657174387081,
1951,0.1681878731731527,,0.1681878731731527,
1952,0.1464735622462787,,0.1464735622462787,
1953,0.1379249238372822,,0.1379249238372822,
1954,0.1301467147752734,,0.1301467147752734,
1955,0.1586783266434318,1.79,0.1586783266434318,
1956,0.1399365360490001,2.73,0.1399365360490001,
1957,0.1258352924827127,3.11,0.1258352924827127,
1958,0.1082832882949313,1.57,0.1082832882949313,
1959,0.1322956944640844,3.31,0.1322956944640844,
1960,0.1235448116065948,3.21,0.1235448116065948,
1961,0.1234322412463831,1.95,0.1234322412463831,
1962,0.1367940042707784,2.71,0.1367940042707784,
1963,0.1441026105799619,3.18,0.1441026105799619,
1964,0.1535994088939882,3.5,0.1535994088939882,
1965,0.16562060705459,4.07,0.16562060705459,
1966,0.1657943900464663,5.11,0.1657943900464663,
1967,0.1473738918618074,4.22,0.1473738918618074,
1968,0.1452228248079587,5.66,0.1452228248079587,
1969,0.1256366408086168,8.21,0.1256366408086168,
1970,0.0977888057071085,7.17,0.0977888057071085,
1971,0.103477393832546,4.67,0.103477393832546,
1972,0.1078530524527568,4.44,0.1078530524527568,
1973,0.1067493579674883,8.74,0.1067493579674883,
1974,0.0833658970464559,10.51,0.0833658970464559,
1975,0.0830048182992271,5.82,0.0830048182992271,
1976,0.0911866325996162,5.05,0.0911866325996162,
1977,0.0982730142878131,5.54,0.0982730142878131,
1978,0.0994316245376604,7.94,0.0994316245376604,
1979,0.0851163062575728,11.2,0.0851163062575728,
1980,0.0634882153132117,13.35,0.0634882153132117,
1981,0.0638712346730378,16.39,0.0638712346730378,
1982,0.0502704655305658,12.24,0.0502704655305658,
1983,0.0612448221733194,9.09,0.0612448221733194,
1984,0.0750589320808985,10.23,0.0750589320808985,
1985,0.0739388020093958,8.1,0.0739388020093958,
1986,0.0654872418116021,6.8,0.0654872418116021,
1987,0.0727068942045989,6.66,0.0727068942045989,
1988,0.0803905180164477,7.57,0.0803905180164477,
1989,0.0736318125929837,9.21,0.0736318125929837,
1990,0.0697852777003198,8.1,0.0697852777003198,
1991,0.070401937119076,5.69,0.070401937119076,
1992,0.0772304729075707,3.52,0.0772304729075707,
1993,0.0829830070761049,3.02,0.0829830070761049,
1994,0.0937040556773933,4.21,0.0937040556773933,
1995,0.1008842247026456,5.83,0.1008842247026456,
1996,0.1084685786758945,5.3,0.1084685786758945,
1997,0.114804900392909,5.46,0.114804900392909,
1998,0.1001235817349183,5.35,0.1001235817349183,
1999,0.0985571757223445,4.97,0.0985571757223445,
2000,0.0859503756322684,6.24,0.0859503756322684,
2001,0.0751236746117429,3.88,0.0751236746117429,
2002,0.0833725002102658,1.67,0.0833725002102658,
2003,0.0915024997808944,1.13,0.0915024997808944,
2004,0.1147366644104363,1.35,0.1147366644104363,
2005,0.1234104296665064,3.22,0.1234104296665064,
2006,0.1262311943425712,4.97,0.1262311943425712,
2007,0.1002403797726792,5.02,0.1002403797726792,
2008,0.0700204699393572,1.92,0.0700204699393572,
2009,0.0765690655028979,0.16,0.0765690655028979,
2010,0.1040980737055071,0.18,0.1040980737055071,
2011,0.1088527987902215,0.1,0.1088527987902215,
2012,,0.0858333333333333,,0.0858333333333333
2013,,0.0583333333333333,,0.0583333333333333
2014,,0.0325,,0.0325
2015,,0.0525,,0.0525
2016,,0.3175,,0.3175
2017,,0.9308333333333332,,0.9308333333333332
2018,,1.9391666666666667,,1.9391666666666667
2019,,2.060833333333333,,2.060833333333333
2020,,0.365,,0.365
2021,,0.0441666666666666,,0.0441666666666666
2022,,2.0216666666666665,,2.0216666666666665
2023,,5.068333333333333,,5.068333333333333
2024,,4.966666666666667,,4.966666666666667
2025,,4.066666666666666,,4.066666666666666
2026,,3.5975,,3.5975
