,"Same as S057-A, Rate (decimal)","Ch6 S026-A, Rate (decimal)",Composite final series,Composite final series,Composite final series
Year,S058-A,S058-B,S058,S058-A-EXT,S058-B-EXT
1947,,0.1437460364054025,,,
1948,-0.0478107930284371,0.1639635207520729,-0.0478107930284371,,
1949,0.0806479857463557,0.1369728251198376,0.0806479857463557,,
1950,0.1660048030068903,0.1622841654864254,0.1660048030068903,,
1951,0.2182757428964552,0.1598319376178753,0.2182757428964552,,
1952,0.1821233368893925,0.136202164687798,0.1821233368893925,,
1953,0.1219443686647473,0.1280451619832189,0.1219443686647473,,
1954,0.0250464487834321,0.117617301564283,0.0250464487834321,,
1955,0.4460996511389986,0.1435878447213399,0.4460996511389986,,
1956,0.1968600873127938,0.1255092604432955,0.1968600873127938,,
1957,0.0123862609805985,0.112054004990328,0.0123862609805985,,
1958,-0.0655978379976237,0.0950543175924886,-0.0655978379976237,,
1959,0.3648293771355134,0.113812255694978,0.3648293771355134,,
1960,0.078391596309302,0.1057030783088954,0.078391596309302,,
1961,0.0678932177312168,0.1051665795581391,0.0678932177312168,,
1962,0.1948597285952914,0.1160778924931702,0.1948597285952914,,
1963,-0.0266313898515492,0.1214306920317796,-0.0266313898515492,,
1964,0.2057717841874075,0.1281373859191596,0.2057717841874075,,
1965,0.1508565199764084,0.1381820900694508,0.1508565199764084,,
1966,0.1020297141760062,0.1378025025973034,0.1020297141760062,,
1967,-0.0845293308481708,0.1247415943691693,-0.0845293308481708,,
1968,0.124619519939739,0.1238522972669269,0.124619519939739,,
1969,0.0648974239701732,0.112493428653347,0.0648974239701732,,
1970,-0.1252326649896963,0.0933168237273528,-0.1252326649896963,,
1971,0.0231873325088298,0.0956335405737125,0.0231873325088298,,
1972,0.104381044002058,0.0984145512000635,0.104381044002058,,
1973,0.1327848059404331,0.0985066320738372,0.1327848059404331,,
1974,-0.2345379658394069,0.0845081359668314,-0.2345379658394069,,
1975,-0.3020498843975132,0.0802629035249366,-0.3020498843975132,,
1976,0.3160020997572549,0.0828224734011403,0.3160020997572549,,
1977,0.0511154988816886,0.0861588528600379,0.0511154988816886,,
1978,-0.1348358389731357,0.0878592468885134,-0.1348358389731357,,
1979,0.0819775502415023,0.0801045969941688,0.0819775502415023,,
1980,0.082421887930189,0.0673608836384091,0.082421887930189,,
1981,0.1496183607287285,0.0696323145728343,0.1496183607287285,,
1982,-0.11456499163788,0.0598760205203428,-0.11456499163788,,
1983,0.3048890450826951,0.0652764851094288,0.3048890450826951,,
1984,0.2115630795806339,0.0770929556450637,0.2115630795806339,,
1985,0.0751401155753427,0.0756996486776697,0.0751401155753427,,
1986,0.2497054963256819,0.0689925510699552,0.2497054963256819,,
1987,0.3051616596369942,0.0725227229251036,0.3051616596369942,,
1988,-0.0393844268929201,0.0773267097108481,-0.0393844268929201,,
1989,0.161651801539874,0.0759369492482878,0.161651801539874,,
1990,0.2137326789855477,0.0720007351053663,0.2137326789855477,,
1991,-0.0189569247074198,0.0693757254495146,-0.0189569247074198,,
1992,0.3295073060826866,0.0691007114859273,0.3295073060826866,,
1993,0.0766554239629949,0.0696181531750524,0.0766554239629949,,
1994,0.1132144463927188,0.075209740086175,0.1132144463927188,,
1995,0.0091728775525323,0.0787771925426098,0.0091728775525323,,
1996,0.3747962509179108,0.0829978108581585,0.3747962509179108,,
1997,0.2941433695217549,0.0860398752645587,0.2941433695217549,,
1998,0.3124527789127719,0.0793794459822517,0.3124527789127719,,
1999,0.3343193231478548,0.0787578405987496,0.3343193231478548,,
2000,0.1553992622473405,0.0737550490621073,0.1553992622473405,,
2001,-0.0511591784712691,0.0659292913870848,-0.0511591784712691,,
2002,-0.1275055760415611,0.0655206788884379,-0.1275055760415611,,
2003,-0.1974301885918649,0.0671296416385874,-0.1974301885918649,,
2004,0.2139869668788172,0.0775171954142376,0.2139869668788172,,
2005,0.098767290641154,0.082195330303336,0.098767290641154,,
2006,0.0359602687101504,0.0822217499484464,0.0359602687101504,,
2007,0.1210914429217756,0.0710242193356606,0.1210914429217756,,
2008,0.0422571142585177,0.0559493146881688,0.0422571142585177,,
2009,-0.3915214195075628,0.0579402451178832,-0.3915214195075628,,
2010,0.331041179638837,0.0728765477472786,0.331041179638837,,
2011,0.1416207336209286,0.0753731040793664,0.1416207336209286,,
2012,9.653156897588905,0.06183455382588559,9.653156897588905,9.653156897588905,0.06183455382588559
2013,20.554229316494386,0.06464043545593919,20.554229316494386,20.554229316494386,0.06464043545593919
2014,17.807707408431604,0.07111887362929367,17.807707408431604,17.807707408431604,0.07111887362929367
2015,8.145778039822435,0.06999273647764422,8.145778039822435,8.145778039822435,0.06999273647764422
2016,3.8729290710636666,0.0656615108867201,3.8729290710636666,3.8729290710636666,0.0656615108867201
2017,17.795754095767975,0.05927781806854309,17.795754095767975,17.795754095767975,0.05927781806854309
2018,12.469854312607811,0.05625789465891939,12.469854312607811,12.469854312607811,0.05625789465891939
2019,6.739340119973967,0.05372675581108886,6.739340119973967,6.739340119973967,0.05372675581108886
2020,11.342995662237911,0.06433863898247646,11.342995662237911,11.342995662237911,0.06433863898247646
2021,29.82444012429205,0.09112261533370293,29.82444012429205,29.82444012429205,0.09112261533370293
2022,-9.219089311216438,0.07509158591441369,-9.219089311216438,-9.219089311216438,0.07509158591441369
2023,1.9956044518690068,0.04749605739079668,1.9956044518690068,1.9956044518690068,0.04749605739079668
2024,,0.04436742974150527,,,0.04436742974150527
